date X Y Z
1999-01-01 18520.0 -4270.0 -34660.0
1999-01-02 18518.0 -4266.0 -34661.0
1999-01-03 18523.0 -4267.0 -34666.0
1999-01-04 18526.0 -4271.0 -34663.0
1999-01-05 18520.0 -4264.0 -34653.0
1999-01-06 18538.0 -4272.0 -34668.0
1999-01-07 18528.0 -4260.0 -34670.0
1999-01-08 18538.0 -4265.0 -34676.0
1999-01-09 18526.0 -4264.0 -34666.0
1999-01-10 18525.0 -4265.0 -34669.0
1999-01-11 18525.0 -4263.0 -34668.0
1999-01-12 18527.0 -4266.0 -34667.0
1999-01-13 18585.0 -4297.0 -34623.0
1999-01-14 18501.0 -4260.0 -34677.0
1999-01-15 18500.0 -4264.0 -34662.0
1999-01-16 18510.0 -4257.0 -34664.0
1999-01-17 18519.0 -4268.0 -34665.0
1999-01-18 18530.0 -4266.0 -34678.0
1999-01-19 18511.0 -4267.0 -34664.0
1999-01-20 18527.0 -4266.0 -34673.0
1999-01-21 18516.0 -4265.0 -34659.0
1999-01-22 18543.0 -4270.0 -34681.0
1999-01-23 18540.0 -4272.0 -34668.0
1999-01-24 18512.0 -4259.0 -34661.0
1999-01-25 18507.0 -4259.0 -34661.0
1999-01-26 18518.0 -4269.0 -34666.0
1999-01-27 18517.0 -4266.0 -34658.0
1999-01-28 18521.0 -4267.0 -34659.0
1999-01-29 18519.0 -4267.0 -34668.0
1999-01-30 18518.0 -4269.0 -34663.0
1999-01-31 18518.0 -4268.0 -34659.0
1999-02-01 18521.0 -4268.0 -34662.0
1999-02-02 18518.0 -4240.0 -34663.0
1999-02-03 18525.0 -4243.0 -34647.0
1999-02-04 18529.0 -4240.0 -34655.0
1999-02-05 18521.0 -4238.0 -34658.0
1999-02-06 18515.0 -4232.0 -34651.0
1999-02-07 18515.0 -4235.0 -34645.0
1999-02-08 18516.0 -4236.0 -34647.0
1999-02-09 18518.0 -4240.0 -34651.0
1999-02-10 18516.0 -4239.0 -34653.0
1999-02-11 18516.0 -4241.0 -34638.0
1999-02-12 18507.0 -4238.0 -34637.0
1999-02-13 18512.0 -4239.0 -34638.0
1999-02-14 18517.0 -4240.0 -34642.0
1999-02-15 18508.0 -4244.0 -34635.0
1999-02-16 18513.0 -4242.0 -34644.0
1999-02-17 18507.0 -4241.0 -34637.0
1999-02-18 18469.0 -4239.0 -34597.0
