date,X,Y,Z
1915-01-01,24373.607250212663,-4463.867226114678,-6438.0
1915-01-02,24349.61063694083,-4461.668614921777,-6447.0
1915-01-03,24352.042142283448,-4465.042832991761,-6446.0
1915-01-04,24335.710180203205,-4459.853251526808,-6453.0
1915-01-05,24363.121614715965,-4465.60927383485,-6449.0
1915-01-06,24363.51121987226,-4463.483173392566,-6440.0
1915-01-07,24348.49722326301,-4462.196652855366,-6446.0
1915-01-08,24335.37493725939,-4456.133600219772,-6443.0
1915-01-09,24310.990101712614,-4456.0538904316745,-6449.0
1915-01-10,24324.76069005312,-4458.577953972136,-6447.0
1915-01-11,24344.22774139986,-4457.754667414678,-6442.0
1915-01-12,24338.790773599834,-4459.686051610763,-6442.0
1915-01-13,24348.96145600191,-4465.210075028194,-6442.0
1915-01-14,24348.107730433978,-4464.321443084177,-6444.0
1915-01-15,24347.048979267278,-4459.003251979116,-6440.0
1915-01-16,24335.78513457317,-4464.988900757485,-6449.0
1915-01-17,24337.882179980148,-4464.641866197632,-6450.0
1915-01-18,24337.082917580123,-4457.909719008411,-6449.0
1915-01-19,24328.824849324847,-4458.5914200422,-6440.0
1915-01-20,NA,NA,-6444.0
1915-01-21,24306.92603724157,-4456.039791122589,-6440.0
1915-01-22,24302.473040048073,-4458.14626697426,-6445.0
1915-01-23,24307.261257404687,-4459.755504988268,-6443.0
1915-01-24,24332.294384297616,-4456.301044126026,-6444.0
1915-01-25,24366.926137932398,-4467.039241885719,-6443.0
1915-01-26,24378.729436428956,-4469.203068265352,-6442.0
1915-01-27,24369.746995606052,-4468.289087575889,-6450.0
1915-01-28,24364.772273798597,-4473.237758708473,-6455.0
1915-01-29,24362.935252263578,-4472.167918807692,-6454.0
1915-01-30,24354.41622452749,-4474.265790324942,-6451.0
1915-01-31,24363.51121987226,-4463.483173392566,-6454.0
1915-02-01,24370.396624149344,-4464.744604302725,-6446.0
1915-02-02,24368.243339626963,-4470.944144219007,-6445.0
1915-02-03,NA,NA,NA
1915-02-04,24361.284266322815,-4464.5400541839235,-6442.0
1915-02-05,NA,NA,NA
1915-02-06,24336.898592759815,-4464.461432885872,-6453.0
1915-02-07,24338.60597317936,-4466.238269765486,-6452.0
1915-02-08,24372.43777724865,-4470.248068524032,-6451.0
1915-02-09,24383.980651168193,-4473.8315349882305,-6453.0
1915-02-10,24370.803782018043,-4473.61230085656,-6448.0
1915-02-11,24359.52109882753,-4468.611399056359,-6448.0
1915-02-12,24349.165325193262,-4469.640250222173,-6447.0
1915-02-13,24343.189715622142,-4463.419705699697,-6458.0
1915-02-14,24337.362530561564,-4467.473677148871,-6454.0
1915-02-15,24343.78370330216,-4465.724466068194,-6450.0
1915-02-16,24350.66881384451,-4466.9874992505165,-6445.0
1915-02-17,24365.682617171453,-4468.276468535586,-6445.0
1915-02-18,24367.909746140445,-4467.219560750689,-6445.0
1915-02-19,24366.47909106166,-4475.016503305313,-6450.0
1915-02-20,24372.567801182442,-4469.539101156276,-6449.0
1915-02-21,24370.210503569615,-4471.30506806516,-6446.0
1915-02-22,24374.534996614155,-4469.899853333616,-6443.0
1915-02-23,24374.404962185672,-4470.608877924615,-6448.0
1915-02-24,24377.745828220908,-4469.022749400382,-6444.0
1915-02-25,24351.465604679597,-4473.723717900623,NA
1915-02-26,24335.46882180612,-4472.24845272512,-6451.0
1915-02-27,24331.66476517317,-4470.817683067652,-6448.0
1915-02-28,24350.278902926995,-4469.1124789681135,NA
1915-03-01,24344.32058672534,-4473.875184975636,-6446.0
1915-03-02,24339.08425198089,-4480.232334932629,-6454.0
1915-03-03,24337.56597332997,-4471.9019995759345,-6450.0
1915-03-04,24330.60747351073,-4465.502096063102,-6441.0
1915-03-05,24335.655243014902,-4465.696798162766,-6437.0
1915-03-06,24324.186421290302,-4467.249259031391,-6434.0
1915-03-07,24346.938139430098,-4470.695609719374,-6443.0
1915-03-08,24361.04058712831,-4476.947901448834,-6438.0
1915-03-09,24349.75873324508,-4471.945732313297,-6438.0
1915-03-10,24320.585856416594,-4470.244691364111,-6443.0
1915-03-11,24321.365690871273,-4465.999880307857,-6441.0
1915-03-12,24330.087724049095,-4468.333060557985,-6438.0
1915-03-13,24337.956127727488,-4469.77812926011,-6439.0
1915-03-14,24326.41339608674,-4466.19528040274,-6434.0
1915-03-15,24322.01498697459,-4462.462433834415,-6438.0
1915-03-16,24347.198192754648,-4469.279154709956,-6442.0
1915-03-17,24350.68442170251,-4477.973782265216,-6443.0
1915-03-18,24349.238233902684,-4474.778925114812,-6458.0
1915-03-19,24344.392596385776,-4479.013073550616,-6479.0
1915-03-20,24334.55767027727,-4477.20359062994,-6482.0
1915-03-21,24358.94329933152,-4477.29498022545,-6482.0
1915-03-22,24372.451970864033,-4481.243792511847,-6479.0
1915-03-23,24369.63175789553,-4479.992408985707,-6480.0
1915-03-24,24384.063010438836,-4489.97851920791,-6478.0
1915-03-25,24359.867690082196,-4483.325453465256,-6485.0
1915-03-26,24343.74089285281,-4482.553774540348,-6483.0
1915-03-27,NA,NA,NA
1915-03-28,NA,NA,NA
1915-03-29,NA,NA,NA
1915-03-30,24304.662563407295,-4473.89614082714,-6458.0
1915-03-31,24305.83299375701,-4467.533041802057,-6457.0
1915-04-01,24278.62851773663,-4466.183303195896,-6477.0
1915-04-02,24292.990908503383,-4471.017078850389,-6485.0
1915-04-03,24305.182960334816,-4471.068134646365,-6480.0
1915-04-04,24308.59647067285,-4474.620277296339,-6473.0
1915-04-05,24303.085906730048,-4471.413245283775,-6464.0
1915-04-06,24314.75767647136,-4474.291914311933,-6463.0
1915-04-07,24323.86941994095,-4474.505608630029,-6465.0
1915-04-08,24330.825497162034,-4480.907344126836,-6468.0
1915-04-09,24314.95985062984,-4478.716720474614,-6472.0
1915-04-10,24314.829559754296,-4479.424012091132,-6470.0
1915-04-11,24321.12116835333,-4478.38867387318,-6468.0
1915-04-12,24322.03256146945,-4473.436271907757,-6466.0
1915-04-13,24323.94127006098,-4479.639504538764,-6468.0
1915-04-14,24327.41278137483,-4477.352271666864,-6470.0
1915-04-15,24342.75742657022,-4482.372683206993,-6466.0
1915-04-16,24360.59029110558,-4484.923708257784,-6472.0
1915-04-17,24347.935543328385,-4481.8616419883265,-6467.0
1915-04-18,24345.70782541798,-4482.915957207058,-6474.0
1915-04-19,24346.299974974816,-4485.221681092383,-6480.0
1915-04-20,24327.22321427846,-4483.902282908414,-6478.0
1915-04-21,24339.61627226757,-4488.382750921291,-6471.0
1915-04-22,24348.136385274374,-4486.292295880666,-6465.0
1915-04-23,24338.953917007704,-4480.940328298896,-6464.0
1915-04-24,24327.152258408863,-4478.767575594047,-6461.0
1915-04-25,24330.232960633395,-4478.603027876932,-6464.0
1915-04-26,24336.33504281443,-4484.117826717141,-6475.0
1915-04-27,24290.70588519744,-4477.902142614841,-6487.0
1915-04-28,24291.689314585503,-4478.083434199562,-6480.0
1915-04-29,24312.009483393475,-4478.17327482822,-6474.0
1915-04-30,24319.023964988795,-4478.7339048329995,-6468.0
1915-05-01,24333.384707199442,-4483.574209426259,-6469.0
1915-05-02,24339.41582164533,-4483.953440998359,-6469.0
1915-05-03,24315.682693509527,-4480.31250568097,-6466.0
1915-05-04,24309.782022279556,-4479.225271099208,-6465.0
1915-05-05,24294.900117610305,-4477.213896536412,-6476.0
1915-05-06,24298.774553458716,-4483.774771349173,-6480.0
1915-05-07,24307.033052607887,-4483.105305413604,-6470.0
1915-05-08,24295.420900642315,-4474.387026245326,-6465.0
1915-05-09,24291.877364794247,-4471.542697302244,-6464.0
1915-05-10,24268.737430593454,-4470.202738681121,-6471.0
1915-05-11,24278.311775719703,-4473.42668666314,-6469.0
1915-05-12,24299.09435214404,-4476.525177590507,-6467.0
1915-05-13,NA,NA,NA
1915-05-14,NA,NA,NA
1915-05-15,24311.55872397128,-4486.133793245143,-6464.0
1915-05-16,24299.627507910052,-4484.663083980912,-6471.0
1915-05-17,24301.46381841423,-4485.732970463587,-6480.0
1915-05-18,24311.488259699145,-4481.002075262922,NA
1915-05-19,24278.123201092265,-4479.964043671066,NA
1915-05-20,24282.44771351677,-4478.570870302736,-6455.0
1915-05-21,24293.525890369536,-4479.152689286786,-6454.0
1915-05-22,24289.85269715259,-4477.01428975037,-6450.0
1915-05-23,24294.17709976583,-4475.619291809061,-6452.0
1915-05-24,24287.104134781057,-4480.890731350298,-6455.0
1915-05-25,NA,NA,-6452.0
1915-05-26,24304.473896630345,-4480.440224800938,-6449.0
1915-05-27,24324.734496753495,-4486.370098693429,-6452.0
1915-05-28,24320.469555881755,-4481.925990177521,-6450.0
1915-05-29,24298.833877344376,-4477.93883401966,-6444.0
1915-05-30,24306.701396812514,-4479.388708986155,-6450.0
1915-05-31,24306.701396812514,-4479.388708986155,-6445.0
1915-06-01,24300.40985916817,-4480.421930626907,-6446.0
1915-06-02,24272.092519232534,-4479.581312780934,-6454.0
1915-06-03,24252.685029435575,-4474.540519761957,-6450.0
1915-06-04,24262.649261154114,-4475.649095965604,-6446.0
1915-06-05,24273.336492642862,-4478.350646714962,-6445.0
1915-06-06,24293.395586821243,-4479.859357414491,-6471.0
1915-06-07,24265.670904004284,-4481.315831154938,-6489.0
1915-06-08,NA,NA,NA
1915-06-09,24268.41947759351,-4477.443473630913,-6483.0
1915-06-10,24269.272621506643,-4478.330874666163,-6478.0
1915-06-11,24269.793534678436,-4475.506986262082,-6481.0
1915-06-12,24306.049639044242,-4482.92392800917,-6483.0
1915-06-13,24286.84340602406,-4482.303690209494,-6483.0
1915-06-14,24232.36644516169,-4474.436329572904,-6490.0
1915-06-15,24220.696008278264,-4471.552848236656,-6485.0
1915-06-16,24230.456781107096,-4468.253034341401,-6479.0
1915-06-17,24319.425905825166,-4487.585499027279,-6498.0
1915-06-18,24287.104134781057,-4480.890731350298,-6486.0
1915-06-19,24273.206212433586,-4479.056727557231,-6482.0
1915-06-20,24279.56852248365,-4483.152056535791,-6483.0
1915-06-21,24254.924564314886,-4484.438691675285,-6489.0
1915-06-22,24283.441259862,-4489.711079661119,-6489.0
1915-06-23,24289.6631723386,-4483.554725252938,-6486.0
1915-06-24,24265.27974302758,-4483.433393351065,-6488.0
1915-06-25,24280.882918027804,-4487.046770541351,-6489.0
1915-06-26,24294.519213520012,-4490.29756073102,-6482.0
1915-06-27,24294.91097339699,-4488.1774468836,-6472.0
