date X Y Z
1919-01-01 24888.820233064347 -1909.9925146991666 -50769.0
1919-01-02 24889.76172923132 -1910.7930453327508 -50766.0
1919-01-03 24900.451157208583 -1915.2566844863684 -50764.0
1919-01-04 24852.369927851876 -1914.4672807869033 -50772.0
1919-01-05 24857.466517585945 -1913.4051654298632 -50775.0
1919-01-06 24863.281709748513 -1916.035391553361 -50778.0
1919-01-07 24865.943158657665 -1907.5093264270217 -50778.0
1919-01-08 24874.916793864686 -1908.197709439085 -50774.0
1919-01-09 24876.799869579834 -1909.7979602232156 -50779.0
1919-01-10 24889.817301417566 -1910.069030704082 -50774.0
1919-01-11 24887.103608022106 -1906.219820370465 -50772.0
1919-01-12 24901.61526174245 -1913.1603059219951 -50771.0
1919-01-13 24892.03167817658 -1894.2161789652675 -50780.0
1919-01-14 24885.109449079155 -1906.0670783976789 -50781.0
1919-01-15 24883.668151643895 -1911.7814516474568 -50772.0
1919-01-16 24881.451431822796 -1914.5233469047594 -50769.0
1919-01-17 24868.601028388413 -1912.0792062147405 -50778.0
1919-01-18 24874.916793864686 -1908.197709439085 -50769.0
1919-01-19 24870.261016480206 -1916.573236833101 -50774.0
1919-01-20 24877.63017298737 -1912.045495292476 -50770.0
1919-01-21 24878.185311946392 -1904.8088052228907 -50770.0
1919-01-22 24879.957654577218 -1907.856416621682 -50771.0
1919-01-23 24891.755861485395 -1910.9461353496024 -50770.0
1919-01-24 24886.051070556485 -1906.8673560723942 -50771.0
1919-01-25 24891.866993700172 -1909.497988461871 -50770.0
1919-01-26 24889.983891611584 -1907.896977123187 -50767.0
1919-01-27 24899.78798494976 -1910.8341907532363 -50766.0
1919-01-28 24905.10651764647 -1906.870038750245 -50764.0
1919-01-29 24888.76466310428 -1910.7165003243251 -50769.0
1919-01-30 24882.837822945028 -1909.533418669674 -50772.0
1919-01-31 24894.02255985227 -1920.5896983911912 -50769.0
1919-02-01 24872.589257243897 -1912.3858503020172 -50774.0
1919-02-02 24867.881797646736 -1908.3856785959424 -50769.0
1919-02-03 24865.776602384092 -1909.6792820596722 -50773.0
1919-02-04 24867.881797646736 -1908.3856785959424 -50764.0
1919-02-05 24870.149472680725 -1918.020126724058 -50770.0
1919-02-06 24876.35726644165 -1902.485256803775 -50765.0
1919-02-07 24868.159098064076 -1904.768771628997 -50763.0
1919-02-08 24876.30191486414 -1903.208879899106 -50766.0
1919-02-09 24881.674028299614 -1911.6282456169524 -50766.0
1919-02-10 24877.741369184227 -1910.5981702021284 -50763.0
1919-02-11 24883.890429071707 -1908.8860924511482 -50760.0
1919-02-12 24895.744125993544 -1911.2523153833056 -50760.0
1919-02-13   
1919-02-14   
1919-02-15 24876.35726644165 -1902.485256803775 -50768.0
1919-02-16 24869.764857984137 -1909.9855781071576 -50778.0
1919-02-17 24876.135733835876 -1905.3797395201414 -50770.0
1919-02-18   
1919-02-19   
1919-02-20   
1919-02-21   
1919-02-22   
1919-02-23   
1919-02-24   
1919-02-25   
1919-02-26   
1919-02-27   
1919-02-28   
1919-03-01   
1919-03-02   
1919-03-03   
1919-03-04   
1919-03-05   
1919-03-06   
1919-03-07   
1919-03-08 24848.77099311893 -1909.1003461136322 -50760.0
1919-03-09 24862.840943801315 -1908.7263301052546 -50754.0
1919-03-10 24874.972290561953 -1907.4741266331794 -50755.0
1919-03-11 24884.05691605746 -1906.7145560919405 -50758.0
1919-03-12 24870.928511550454 -1907.8917614337236 -50757.0
1919-03-13 24879.237793975924 -1904.1614403196138 -50753.0
1919-03-14 24852.425606933124 -1913.7443538400914 -50767.0
1919-03-15 24862.951946921992 -1907.2798654230007 -50760.0
1919-03-16 24849.4344620715 -1913.514022737567 -50764.0
1919-03-17   
1919-03-18   
1919-03-19 24867.881797646736 -1908.3856785959424 -50755.0
1919-03-20 24840.351521373927 -1901.1852341568826 -50758.0
1919-03-21 24835.920158371307 -1906.6596148777587 -50766.0
1919-03-22 24833.815068036805 -1907.95130088485 -50769.0
1919-03-23 24835.920158371307 -1906.6596148777587 -50764.0
1919-03-24 24853.368933821137 -1901.454348485515 -50762.0
1919-03-25 24857.191223877846 -1903.9286907786734 -50767.0
1919-03-26 24863.007416925317 -1906.5566306607727 -50761.0
1919-03-27 24875.913864443246 -1908.2741964404254 -50761.0
1919-03-28 24853.479513891103 -1900.00843487477 -50766.0
1919-03-29 24856.19414440637 -1903.8523197922805 -50764.0
1919-03-30 24851.319444415512 -1902.02467692073 -50764.0
1919-03-31 24853.424234371098 -1900.7313924843038 -50761.0
1919-04-01 24858.354364482657 -1901.8357683580348 -50760.0
1919-04-02 24859.40676447646 -1901.1889223067744 -50757.0
1919-04-03 24870.31939807031 -1902.7511760520822 -50757.0
1919-04-04 24855.52895795218 -1899.437869581594 -50763.0
1919-04-05 24863.284451369975 -1902.9404326631088 -50759.0
1919-04-06 24861.34562287957 -1902.0646202815467 -50758.0
1919-04-07 24840.62777482026 -1897.5723313824565 -50757.0
1919-04-08 24840.406814101178 -1900.4626568169638 -50761.0
1919-04-09 24842.511517636074 -1899.1699492459638 -50761.0
1919-04-10 24844.45043921306 -1900.0450977505975 -50762.0
1919-04-11 24844.173826077003 -1903.6585564828658 -50762.0
1919-04-12 24840.019323615157 -1905.5206643921726 -50760.0
1919-04-13 24859.517329094342 -1899.7426574297297 -50755.0
1919-04-14 24864.39220623093 -1901.5701971588335 -50756.0
1919-04-15 24869.432962989322 -1901.2280503348518 -50754.0
1919-04-16 24863.062865890577 -1905.833394285294 -50760.0
1919-04-17 24830.104014424574 -1904.0335167366547 -50772.0
1919-04-18 24835.2001308314 -1902.970956570824 -50769.0
1919-04-19 24842.400986365785 -1900.6152247659716 -50769.0
1919-04-20 24849.435880967525 -1900.4263726026566 -50766.0
1919-04-21 24840.185517078957 -1903.3529565219583 -50772.0
1919-04-22 24843.784579592968 -1895.6328132786375 -50770.0
1919-04-23 24844.22919074867 -1902.935867955564 -50769.0
1919-04-24 24858.243678094488 -1903.2819655729986 -50766.0
1919-04-25 24859.462057302935 -1900.4657906723007 -50763.0
1919-04-26 24861.51151466542 -1899.8950513537975 -50766.0
1919-04-27 24865.389294581822 -1901.6464521292453 -50763.0
1919-04-28 24868.325225805704 -1902.5986081030744 -50762.0
1919-04-29 24863.229086557465 -1903.6636754854717 -50764.0
1919-04-30 24862.508607450964 -1899.9712483158314 -50765.0
1919-05-01 24866.331053541093 -1902.4460401540664 -50767.0
1919-05-02 24835.86468538375 -1907.3820617035315 -50766.0
1919-05-03 24788.888958643667 -1892.1694416817165 -50781.0
1919-05-04 24831.045688408136 -1904.8322813801094 -50772.0
1919-05-05 24819.57843455738 -1897.4167520220965 -50778.0
1919-05-06 24832.319554087007 -1901.297074028139 -50774.0
1919-05-07 24842.235031805718 -1902.7831259827778 -50773.0
1919-05-08 24854.19998546342 -1903.6995778194944 -50768.0
1919-05-09 24859.185382820797 -1904.0814327514595 -50769.0
1919-05-10 24852.316528328385 -1902.1009898992615 -50768.0
1919-05-11 24864.39220623093 -1901.5701971588335 -50765.0
1919-05-12 24863.45041957749 -1900.770694537321 -50762.0
1919-05-13 24837.581287812453 -1898.0663242649835 -50769.0
1919-05-14 24841.569658954613 -1898.3711121131191 -50769.0
