date,X,Y,Z
1936-01-01,19723.899070435225,-3323.046892297943,41341.87096774193
1936-02-01,19732.5427612727,-3317.134546516428,41350.65517241379
1936-03-01,19738.613593375467,-3312.767003717108,41343.77419354839
1936-04-01,19732.12108198173,-3304.8582329815367,41354.1
1936-05-01,19737.36602042368,-3302.255596149727,41358.51612903226
1936-06-01,19740.000715615945,-3298.3643198978016,41367.03333333333
1936-07-01,19736.128217538488,-3293.6145618304836,41372.06451612903
1936-08-01,19744.276455317442,-3289.6618365331296,41376.709677419356
1936-09-01,19738.500030773528,-3286.292055940862,41390.0
1936-10-01,19734.99632073701,-3279.989188986928,41400.3870967742
1936-11-01,19739.82559069503,-3273.4335700376573,41410.6
1936-12-01,19745.00639989243,-3270.3074671797517,41420.096774193546
1937-01-01,19739.884676059675,-3265.1007903336076,41409.48387096774
1937-02-01,19737.93339012293,-3258.7897089218263,41414.92857142857
1937-03-01,19746.65525274504,-3257.9591809475332,41421.6129032258
1937-04-01,19748.961663120914,-3250.641256770205,41428.6
1937-05-01,19750.40552326239,-3244.5119896489355,41435.903225806454
1937-06-01,19763.020645579807,-3244.4456322297588,41427.26666666667
1937-07-01,19753.77408322199,-3238.3270807387344,41432.8064516129
1937-08-01,19748.313129411476,-3233.5493059454298,41419.903225806454
1937-09-01,19752.6628948432,-3230.3555318624703,41410.76666666667
1937-10-01,19732.286394404146,-3221.8198198362666,41425.22580645161
1937-11-01,19745.85199779172,-3220.3568964876904,41416.566666666666
1937-12-01,19747.366010043665,-3217.3379789409455,41415.290322580644
1938-01-01,19731.938743708386,-3204.683308241279,41443.67741935484
1938-02-01,19752.287782819203,-3206.480720096835,41451.92857142857
1938-03-01,19765.368012199528,-3206.109246191655,41460.3870967742
1938-04-01,19763.282099713764,-3200.1690086290214,41478.36666666667
1938-05-01,19765.46186045283,-3194.228863247661,41489.1935483871
1938-06-01,19774.04579514017,-3192.701941874982,41478.76666666667
1938-07-01,19766.90649649312,-3187.9138274288075,41474.12903225807
1938-08-01,19760.673106576236,-3182.798908776815,41462.54838709677
1938-09-01,19756.08643451553,-3176.126493978956,41462.066666666666
1938-10-01,19756.14101162061,-3171.971697067594,41457.25806451613
1938-11-01,19765.985638913422,-3169.1440393754874,41463.26666666667
1938-12-01,19764.057232560524,-3164.1676792965313,41463.06451612903
1939-01-01,19783.325776269976,-3165.634279528719,41454.967741935485
1939-02-01,19770.19932831686,-3158.3778238562877,41468.03571428572
1939-03-01,19776.270894439705,-3153.1468230356077,41475.6129032258
1939-04-01,19774.796206930696,-3145.253253825849,41487.933333333334
1939-05-01,19782.889102120258,-3142.76069321265,41494.77419354839
1939-06-01,19789.74185627427,-3143.810367669039,41491.23333333333
1939-07-01,19782.080536523375,-3138.3876958627216,41488.290322580644
1939-08-01,19779.564205907427,-3131.3907697384534,41485.83870967742
1939-09-01,19780.24768909177,-3125.984054354639,41485.0
1939-10-01,19767.202256438835,-3118.480685515227,41492.645161290326
1939-11-01,19782.664943645366,-3120.5074579465722,41484.13333333333
1939-12-01,19789.326230933333,-3117.763689539888,41499.32258064516
1940-01-01,19789.780355034673,-3114.2566764042713,41518.354838709674
1940-02-01,19801.59774753362,-3111.837814507299,41521.58620689655
1940-03-01,19782.61937303471,-3100.7864539019592,41511.87096774193
1940-04-01,19789.048330244434,-3097.2725705250314,41517.86666666667
1940-05-01,19802.041126222543,-3095.8346379822347,41522.51612903226
1940-06-01,19801.769598741263,-3092.5159319113404,41517.833333333336
1940-07-01,19809.422745811018,-3089.542757789587,41508.77419354839
1940-08-01,19810.419632027995,-3087.3372299932967,41520.0
1940-09-01,19804.780938321514,-3081.8536492505477,41512.96666666667
1940-10-01,19799.80003331717,-3077.119883199045,41504.67741935484
1940-11-01,19799.973641338533,-3069.1504713501286,41497.0
1940-12-01,19808.190055131414,-3068.0694197094435,41500.93548387097
1941-01-01,19814.749949801222,-3065.1252371855608,41508.93548387097
1941-02-01,19816.562660139123,-3063.0444195393093,41518.142857142855
1941-03-01,19798.09178496015,-3050.3972412036032,41549.25806451613
1941-04-01,19814.99968568677,-3050.922081031383,41532.73333333333
1941-05-01,19825.651681198182,-3049.0412974775654,41529.967741935485
1941-06-01,19828.145971493326,-3044.601870136433,41527.0
1941-07-01,19807.38428455982,-3034.9521984184375,41543.1935483871
1941-08-01,19817.91246775459,-3036.5267459086735,41536.16129032258
1941-09-01,19807.570595846882,-3025.689591531403,41552.333333333336
1941-10-01,19818.78606340128,-3026.7631857624865,41567.709677419356
1941-11-01,19817.722280201666,-3020.6028933997172,41577.7
1941-12-01,19830.227518146996,-3021.066397574009,41569.032258064515
1942-01-01,19836.98844388434,-3020.3810663739714,41559.032258064515
1942-02-01,19843.023956861627,-3016.2864291956403,41546.607142857145
1942-03-01,19839.268479846905,-3008.5964254235478,41552.45161290323
1942-04-01,19839.849697486403,-3002.7784298062666,41550.666666666664
1942-05-01,19851.719133496896,-3002.214595978349,41539.93548387097
1942-06-01,19854.9997450358,-2999.1239151549353,41535.333333333336
1942-07-01,19851.512678396983,-2994.942730036034,41537.74193548387
1942-08-01,19851.580901758934,-2989.2956342580537,41527.967741935485
1942-09-01,19845.47523973369,-2982.6900132231817,41530.166666666664
1942-10-01,19837.91993508017,-2976.009314453422,41551.096774193546
1942-11-01,19843.316651658217,-2974.6143781246556,41567.76666666667
1942-12-01,19849.259898703847,-2972.6049056933007,41576.0
1943-01-01,19850.41310094733,-2969.6930905108693,41580.54838709677
1943-02-01,19853.30757836316,-2966.5074968098666,41576.392857142855
1943-03-01,19850.727677079725,-2960.599271072967,41565.22580645161
1943-04-01,19852.681115338793,-2955.924760887702,41562.26666666667
1943-05-01,19853.93382173442,-2953.3074397858086,41563.6129032258
1943-06-01,19862.823066660967,-2949.363490300837,41568.63333333333
1943-07-01,19860.72420858301,-2945.1364201699776,41564.25806451613
1943-08-01,19846.48073967982,-2938.7042206824663,41561.354838709674
1943-09-01,19846.56800525174,-2934.4422659114925,41558.0
1943-10-01,19850.121127631097,-2930.621999098225,41559.967741935485
1943-11-01,19850.929872351484,-2923.603220435694,41568.36666666667
1943-12-01,19856.746533302914,-2921.5101944922726,41589.096774193546
1944-01-01,19861.47929481361,-2917.4841097702247,41606.58064516129
1944-02-01,19862.542147471424,-2919.081330704943,41613.51724137931
1944-03-01,19869.57933508828,-2913.6081019181097,41610.67741935484
1944-04-01,19869.977723376785,-2909.0664602192523,41613.26666666667
1944-05-01,19881.43836590237,-2907.209196777935,41611.67741935484
1944-06-01,19882.859456989903,-2904.14003546768,41606.166666666664
1944-07-01,19884.864222669756,-2900.7165956400704,41599.87096774193
1944-08-01,19879.53202929943,-2894.357283130738,41605.41935483871
1944-09-01,19877.59145108109,-2889.4347849106707,41603.333333333336
1944-10-01,19875.432579253084,-2883.7625683089695,41618.41935483871
1944-11-01,19885.08691949801,-2883.2790045384127,41621.13333333333
1944-12-01,19874.026680292372,-2873.8889967065957,41621.354838709674
1945-01-01,19878.74118804983,-2870.3604115461785,41633.41935483871
1945-02-01,19884.628944150376,-2868.4978534102784,41633.53571428572
1945-03-01,19882.748050305097,-2864.272582842554,41629.354838709674
1945-04-01,19886.925495602434,-2861.2225959902084,41627.9
1945-05-01,19894.051508262524,-2859.5553044013063,41625.77419354839
1945-06-01,19898.0222228027,-2855.946751050779,41630.166666666664
1945-07-01,19896.67052951911,-2850.843004509108,41644.25806451613
1945-08-01,19897.771861300684,-2847.018754729305,41645.3870967742
1945-09-01,19895.901741952282,-2843.948226799481,41633.96666666667
1945-10-01,19885.54844161924,-2837.007412472985,41630.290322580644
1945-11-01,19891.324439267777,-2831.8993434125246,41628.03333333333
1945-12-01,19887.873285778696,-2828.0093366383344,41637.06451612903
1946-01-01,19882.850820934047,-2822.0797016050356,41630.45161290323
1946-02-01,19872.876191870404,-2815.949778567165,41635.392857142855
1946-03-01,19867.50802364088,-2811.2521937382726,41647.709677419356
1946-04-01,19875.027724564876,-2806.9756465650007,41666.3
1946-05-01,19893.225422409956,-2807.937700099558,41657.903225806454
1946-06-01,19901.588473373824,-2805.3100571523605,41655.066666666666
1946-07-01,19897.52790314129,-2800.516488322953,41666.22580645161
1946-08-01,19903.454728108376,-2799.381610646784,41674.48387096774
1946-09-01,19878.747404691363,-2787.7226093732506,41670.2
1946-10-01,19895.797037250122,-2788.72972598325,41673.77419354839
1946-11-01,19896.829855646465,-2784.790012217791,41669.833333333336
1946-12-01,19896.171629846718,-2782.099681868648,41650.93548387097
1947-01-01,19890.04808508088,-2774.870227831689,41646.45161290323
1947-02-01,19892.548492629223,-2772.2026697437896,41646.07142857143
1947-03-01,19877.54616475887,-2763.604455460913,41665.3870967742
1947-04-01,19905.98937359055,-2764.2319209726097,41670.433333333334
1947-05-01,19923.619023918953,-2762.744749208244,41687.8064516129
1947-06-01,19925.23534040197,-2758.1821155390726,41703.4
1947-07-01,19928.1104665854,-2755.0025501829946,41698.0
1947-08-01,19910.60116283179,-2747.6161309154973,41692.48387096774
1947-09-01,19897.16972890101,-2736.250038818371,41701.46666666667
1947-10-01,19899.75658767281,-2734.149091380653,41707.25806451613
1947-11-01,19904.420475189123,-2733.1943557905734,41688.96666666667
1947-12-01,19912.413215715493,-2731.849789232624,41679.41935483871
1948-01-01,19909.022156057694,-2729.7476348993214,41678.3870967742
1948-02-01,19916.16020605779,-2729.1110103321416,41675.34482758621
1948-03-01,19919.364967253496,-2725.071890857326,41683.354838709674
1948-04-01,19933.715248296696,-2719.98754500162,41697.63333333333
1948-05-01,19933.86821643668,-2713.9863688673395,41710.93548387097
1948-06-01,19942.60418975178,-2714.503332039598,41693.1
1948-07-01,19943.39062217949,-2710.5167944734944,41689.87096774193
1948-08-01,19924.598241107506,-2703.146427482688,41700.096774193546
1948-09-01,19931.086132843506,-2701.2250942756805,41700.36666666667
1948-10-01,19912.570026612535,-2691.9657735172823,41712.41935483871
1948-11-01,19919.711972603156,-2690.3227518548456,41706.833333333336
1948-12-01,19921.36005705095,-2687.3834240281076,41687.967741935485
1949-01-01,19911.36592915352,-2678.672659574322,41689.54838709677
1949-02-01,19921.026887881217,-2678.194733426107,41694.07142857143
1949-03-01,19928.802720734646,-2677.061427315272,41704.032258064515
1949-04-01,19949.58895381842,-2675.7489003444516,41714.73333333333
1949-05-01,19946.58977238156,-2670.8764516752226,41742.0
1949-06-01,19955.86292269507,-2669.3385145708835,41734.566666666666
1949-07-01,19969.656187522796,-2668.5074126821746,41724.67741935484
1949-08-01,19958.508999847316,-2663.758651705072,41724.45161290323
1949-09-01,19956.384573035528,-2659.6391296279626,41723.3
1949-10-01,19932.64812433668,-2648.7616599188973,41727.93548387097
1949-11-01,19940.550334463762,-2649.2452653306955,41709.63333333333
1949-12-01,19954.484579135787,-2649.5007831729217,41691.22580645161
1950-01-01,19949.70411541729,-2643.343220173531,41672.903225806454
1950-02-01,19950.84908365654,-2639.91294061262,41686.57142857143
1950-03-01,19954.03989777011,-2636.6404027702874,41702.096774193546
1950-04-01,19961.23923979473,-2628.577150908811,41710.2
1950-05-01,19971.101781432157,-2627.6649201065493,41721.83870967742
1950-06-01,19981.69655095021,-2628.4542463415632,41731.86666666667
1950-07-01,19982.562881607726,-2623.888104145672,41737.22580645161
1950-08-01,19972.3321875008,-2618.7915992422572,41742.0
1950-09-01,19972.31593635768,-2615.1432388927474,41737.86666666667
1950-10-01,19962.676068408997,-2608.3036144418743,41726.645161290326
1950-11-01,19964.9870480498,-2606.6622120007482,41711.7
1950-12-01,19968.3281193311,-2604.756555598082,41702.32258064516
1951-01-01,19975.7680297944,-2602.4626127374418,41701.12903225807
1951-02-01,19974.555896780883,-2596.205495448911,41707.642857142855
1951-03-01,19978.03625510826,-2594.27556404183,41709.1935483871
1951-04-01,19982.190683433662,-2588.358558254257,41717.36666666667
1951-05-01,19994.581431480172,-2586.5809435461347,41726.3870967742
1951-06-01,20005.24930401761,-2586.5330175263784,41738.066666666666
1951-07-01,20005.709002913092,-2580.766607670252,41743.32258064516
1951-08-01,20004.69760232839,-2577.258668080577,41744.8064516129
1951-09-01,19990.95194326768,-2568.3726099089963,41753.1
1951-10-01,19992.741792270797,-2565.268428841076,41753.096774193546
1951-11-01,19998.104843469257,-2561.876315966642,41749.26666666667
1951-12-01,20001.417899039592,-2558.979807306593,41741.967741935485
1952-01-01,20002.892185583172,-2556.860080690207,41742.6129032258
1952-02-01,20004.545265082335,-2550.24493019988,41743.724137931036
1952-03-01,20010.31777218346,-2546.5712001491597,41747.12903225807
1952-04-01,20015.932935931945,-2543.8250452714665,41752.7
1952-05-01,20026.990591037447,-2541.7796731259687,41765.74193548387
1952-06-01,20035.830096418395,-2540.6085141822655,41770.76666666667
1952-07-01,20036.808216248137,-2538.2101676093025,41770.48387096774
1952-08-01,20038.575439281783,-2536.0649876314546,41759.032258064515
1952-09-01,20026.95038659342,-2529.7958706929944,41752.96666666667
1952-10-01,20026.147357728398,-2525.8260757704834,41748.0
1952-11-01,20032.096071575397,-2522.296469141998,41742.0
1952-12-01,20032.133940266416,-2519.3428318294723,41742.06451612903
1953-01-01,20032.074422442343,-2515.936417122269,41742.45161290323
1953-02-01,20043.619980767246,-2514.0983114592373,41739.607142857145
1953-03-01,20043.04684995591,-2510.3623349615214,41758.903225806454
1953-04-01,20057.84397682274,-2511.2150403131614,41767.066666666666
1953-05-01,20060.546462983486,-2505.3463186441477,41773.032258064515
1953-06-01,20067.016198936213,-2504.7549055496825,41771.8
1953-07-01,20063.325768448856,-2500.5299180741536,41772.0
1953-08-01,20061.51170599515,-2494.4734103921974,41772.48387096774
1953-09-01,20057.78942861587,-2488.2000407365867,41773.066666666666
1953-10-01,20058.61573367712,-2483.489700174049,41771.41935483871
1953-11-01,20061.543033343183,-2481.2188806058375,41770.23333333333
1953-12-01,20066.463784929227,-2480.7499792390668,41763.12903225807
1954-01-01,20066.05234378307,-2477.2391820957355,41756.48387096774
1954-02-01,20060.012187313463,-2469.0686120579526,41750.92857142857
1954-03-01,20067.15462286756,-2466.7085146454797,41752.354838709674
1954-04-01,20073.444406461476,-2467.77255922633,41760.03333333333
1954-05-01,20090.15187166344,-2466.549940151478,41765.74193548387
1954-06-01,20098.94882721034,-2464.1020026681367,41771.6
1954-07-01,20097.840367130615,-2460.8326242953353,41779.32258064516
1954-08-01,20095.162119520322,-2456.16004525077,41780.45161290323
1954-09-01,20085.317060822083,-2450.0768597597894,41781.86666666667
1954-10-01,20079.737177205818,-2448.0795741752027,41780.6129032258
1954-11-01,20089.02503659392,-2446.931516170206,41775.4
1954-12-01,20093.915925899906,-2444.526755306087,41762.51612903226
1955-01-01,20088.14788241288,-2439.043862813639,41765.354838709674
1955-02-01,20090.783134745405,-2435.4241508171694,41767.21428571428
1955-03-01,20093.074543891045,-2432.4476034889854,41778.12903225807
