date,X,Y,Z
1926-01-01,14107.828874349745,-3820.0364663093087,46702.8064516129
1926-02-01,14115.159883829221,-3814.51185215195,46710.5
1926-03-01,14109.054243014698,-3809.120038673493,46684.903225806454
1926-04-01,14110.850810863856,-3805.1254309824003,46680.8275862069
1926-05-01,14119.440974571009,-3805.894118760148,46725.48275862069
1926-06-01,14125.751995634735,-3797.5817685007396,46696.7
1926-07-01,14132.657020976163,-3798.1219037241326,46704.45161290323
1926-08-01,14127.449535099759,-3787.7809725500547,46706.8
1926-09-01,14119.242731269569,-3781.6304685313853,46693.36666666667
1926-10-01,14108.82873261215,-3772.3763480222765,46692.10344827586
1926-11-01,14116.97367685211,-3772.2595553441774,46691.230769230766
1926-12-01,14109.943375066292,-3768.3423700849726,46687.16
1927-01-01,14112.961171906292,-3764.545194018603,46674.0
1927-02-01,14117.094506003148,-3761.7908096750207,46706.82142857143
1927-03-01,14116.119646872536,-3756.449075069974,46678.290322580644
1927-04-01,14121.540926077752,-3751.595545884184,46726.6
1927-05-01,14125.49739972795,-3744.514616885815,46745.93548387097
1927-06-01,14142.238695728076,-3747.105526709986,46738.84
1927-07-01,14127.194733809181,-3736.21370244037,46686.6129032258
1927-08-01,14115.39939588201,-3729.9526551347412,46709.3870967742
1927-09-01,14115.311850239546,-3726.8931867651713,46736.933333333334
1927-10-01,14108.134901561143,-3717.8930724682914,46715.12903225807
1927-11-01,14120.45562578248,-3716.1422005506656,46707.13333333333
1927-12-01,14119.375710014629,-3712.4780119575435,46731.06451612903
1928-01-01,14123.858193709275,-3709.337300009781,46725.48275862069
1928-02-01,14128.176285411546,-3705.1102874389007,46739.51724137931
1928-03-01,14122.908032259802,-3699.504794402564,46719.03333333333
1928-04-01,14114.550856621605,-3693.0711760003474,46698.4
1928-05-01,14113.498144819565,-3689.0131204438403,46707.5
1928-06-01,14121.213320080631,-3686.43161521756,46700.86666666667
1928-07-01,14107.458145315793,-3672.109952968699,46687.903225806454
1928-08-01,14106.486201136417,-3670.8647902965436,46667.74193548387
1928-09-01,14110.365323690121,-3664.4633084655015,46714.166666666664
1928-10-01,14101.393816355236,-3661.346315091388,46685.333333333336
1928-11-01,14100.165920763051,-3659.485526540176,46699.066666666666
1928-12-01,14104.482824439998,-3655.0960888270474,46670.54838709677
1929-01-01,14108.07571787226,-3649.9689178371455,46678.83870967742
1929-02-01,14094.35701659883,-3638.495841537554,46635.82142857143
1929-03-01,14091.94379091454,-3629.605771908808,46607.16129032258
1929-04-01,14105.446445320167,-3629.5516162098725,46617.666666666664
1929-05-01,14113.589168532619,-3628.723145039433,46663.096774193546
1929-06-01,14111.145066676796,-3625.4605296804903,46640.9
1929-07-01,14101.113206503833,-3616.4763323312905,46634.41935483871
1929-08-01,14099.884045181745,-3609.450772893218,46645.354838709674
1929-09-01,14094.11655319435,-3606.6509924957595,46683.9
1929-10-01,14086.643630382947,-3601.0737085063556,46648.06451612903
1929-11-01,14091.696650425294,-3594.169616339678,46665.192307692305
1929-12-01,14089.188275861488,-3589.276824925093,46688.73333333333
1930-01-01,14091.576632518427,-3583.817132018532,46698.51612903226
1930-02-01,14087.041951513394,-3576.3305382920657,46650.03571428572
1930-03-01,14087.855993369563,-3572.643424577867,46623.87096774193
1930-04-01,14077.860470113768,-3569.049306566559,46619.7
1930-05-01,14084.446467593612,-3565.72091525297,46587.93548387097
1930-06-01,14084.505680096592,-3565.3528792911134,46620.36666666667
1930-07-01,14092.229337204097,-3560.496341050361,46644.0
1930-08-01,14084.145016960412,-3556.4124138141597,46616.096774193546
