date,X,Y,Z
1926-01-15,27688.103723254382,-2082.5199224867783,35744.06896551724
1926-02-15,27678.016229135745,-2085.833646033238,35756.642857142855
1926-03-15,27671.822251583922,-2087.8635487381443,35758.857142857145
1926-04-15,NA,NA,NA
1926-05-15,27654.8518392342,-2096.8353402909825,35766.5
1926-06-15,27676.35814919714,-2099.323775296164,35736.59090909091
1926-07-15,27660.674152697542,-2103.5970089152106,35722.354838709674
1926-08-15,27650.908395495215,-2109.0134843174524,35717.96153846154
1926-09-15,27639.354315533106,-2114.680483216628,35717.73333333333
1926-10-15,27629.70998777771,-2118.294778806185,35720.74193548387
1926-11-15,27634.46682059738,-2121.8467124316408,35725.53571428572
1926-12-15,27626.264414871293,-2127.941257334133,35733.6129032258
1927-01-15,27609.879193541212,-2132.918040205367,35732.93103448276
1927-02-15,27612.326063110082,-2136.3375854062147,35736.230769230766
1927-03-15,27607.777001714887,-2140.2517275046303,35745.32258064516
1927-04-15,27608.153631452722,-2144.709181372352,35764.433333333334
1927-05-15,27612.677728756724,-2152.4527705971564,35770.565217391304
1927-06-15,NA,NA,35787.25
1927-07-15,NA,NA,35808.4375
1927-08-15,NA,NA,NA
1927-09-15,NA,NA,NA
1927-10-15,NA,NA,NA
1927-11-15,NA,NA,NA
1927-12-15,NA,NA,NA
1928-01-15,NA,NA,NA
1928-02-15,27625.59256239876,-2195.2632496588217,35858.71428571428
1928-03-15,27615.324054830133,-2198.691606226495,35856.392857142855
1928-04-15,27602.025641893204,-2200.901182507483,35864.933333333334
1928-05-15,27572.29597843592,-2204.976451924126,35865.58064516129
1928-06-15,27558.458324112402,-2207.538629246172,35855.46666666667
1928-07-15,27539.005648911894,-2213.0356640889195,35838.54838709677
1928-08-15,27544.194524334092,-2214.43307438898,35836.0
1928-09-15,27513.50664103826,-2220.9346160910213,35798.166666666664
1928-10-15,27492.262333658626,-2226.2113115812263,35792.67857142857
1928-11-15,27492.16563843245,-2227.1679562270974,35782.46428571428
1928-12-15,27497.390261476783,-2228.572187499421,35771.54838709677
1929-01-15,27488.775402622447,-2231.212112198034,35844.0
1929-02-15,27471.22758047066,-2236.883232738038,35846.59259259259
1929-03-15,27463.584813777692,-2237.329611315687,35846.86666666667
1929-04-15,27476.10760779561,-2243.62691437022,35845.82608695652
1929-05-15,27475.846479900334,-2250.103158980837,35855.34482758621
1929-06-15,27473.550800578978,-2253.2928258334437,35858.1
1929-07-15,27459.232777367546,-2255.9804955854984,35863.92857142857
1929-08-15,27456.612632527693,-2260.5867635599193,35871.290322580644
1929-09-15,27445.509787841987,-2267.26852274831,35867.48275862069
1929-10-15,27433.9162379586,-2273.5953866008786,35865.06451612903
1929-11-15,27430.37694522075,-2280.3598339100286,35865.833333333336
1929-12-15,27422.902613785514,-2284.2126477616885,35871.096774193546
1930-01-15,27423.07746203421,-2291.041410803635,35863.93548387097
1930-02-15,27416.545255457127,-2294.5149733051935,35864.03571428572
1930-03-15,27412.21549077827,-2298.21562125443,35863.1935483871
1930-04-15,27403.599027388704,-2305.372613382105,35866.6
1930-05-15,27400.019058216283,-2311.4730244713905,35869.65517241379
1930-06-15,27397.173413020573,-2316.7664156886003,35877.27272727273
1930-07-15,27401.247331125873,-2323.864193580705,35871.3870967742
1930-08-15,27393.725080360335,-2328.778418268685,35872.933333333334
1930-09-15,27380.089597481714,-2335.2940447389865,35873.566666666666
1930-10-15,27370.18205039751,-2342.3122396410345,35879.709677419356
1930-11-15,27373.55281734592,-2346.7940839506437,35876.166666666664
1930-12-15,27372.68039330373,-2350.935542371282,35879.3870967742
1931-01-15,27379.326231554413,-2357.614167146689,35872.54838709677
1931-02-15,27373.81618370588,-2363.563851307343,35870.0
1931-03-15,27370.582677086964,-2366.5681649696066,35857.37037037037
1931-04-15,27375.226900879876,-2374.755353212946,35852.148148148146
1931-05-15,27364.866603983683,-2377.298721702647,35853.54838709677
1931-06-15,27361.43001051048,-2381.0104329165747,35849.933333333334
1931-07-15,27357.964422971716,-2386.656668521872,35841.8064516129
1931-08-15,27346.301377335338,-2392.28437566874,35838.22580645161
1931-09-15,27333.27766904804,-2396.1313200408663,35837.51724137931
1931-10-15,27317.016682816928,-2402.4930119828337,35836.307692307695
1931-11-15,27316.731449485746,-2407.8510055736338,35829.882352941175
1931-12-15,27319.672360607197,-2414.628790155363,35822.793103448275
1932-01-15,27316.72644212419,-2415.058693683242,35808.75862068965
1932-02-15,27308.26982900007,-2419.4736237324328,35805.75862068965
1932-03-15,27304.086466917117,-2424.4852532345258,35804.03448275862
1932-04-15,27302.06287641778,-2428.9861773222888,35808.76666666667
