date,X,Y,Z
1997-01-01,25553.711550750562,-1607.0293471700068,35714.06451612903
1997-02-01,25552.278066945677,-1600.5512933372024,35715.28571428572
1997-03-01,25559.240375499685,-1596.686643481845,35714.16129032258
1997-04-01,25562.680872860517,-1589.208064890018,35714.76666666667
1997-05-01,25566.030645955896,-1585.2141474229027,35714.096774193546
1997-06-01,25572.00726391901,-1580.4528204200244,35714.13333333333
1997-07-01,25577.886638504573,-1576.9380416140355,35713.06451612903
1997-08-01,25574.48279130116,-1570.80254490261,35714.06451612903
1997-09-01,25568.328095484,-1564.2494944881362,35717.76666666667
1997-10-01,25564.201849572157,-1558.1814888883691,35719.32258064516
1997-11-01,25564.41161682599,-1551.7945274284054,35722.3
1997-12-01,25576.575951102895,-1549.2028646449169,35721.032258064515
1998-01-01,25574.54717585434,-1543.2033816803246,35721.74193548387
1998-02-01,25574.80068734651,-1536.7292351189824,35722.357142857145
1998-03-01,25572.58631100236,-1530.6591365429504,35726.41935483871
1998-04-01,25584.740587460732,-1525.839980598302,35723.86666666667
1998-05-01,25574.4253178649,-1517.6929118512824,35731.48387096774
1998-06-01,25587.586386817446,-1515.601825393869,35728.36666666667
1998-07-01,25588.74268634101,-1510.5657520136865,35729.74193548387
1998-08-01,25575.309197674957,-1503.2734876906125,35733.8064516129
1998-09-01,25578.789148519758,-1499.4277141005048,35734.933333333334
1998-10-01,25575.720950006358,-1493.49419309332,35737.645161290326
1998-11-01,25574.118082858327,-1487.359303485213,35741.2
1998-12-01,25583.94449797275,-1484.8923796006504,35738.93548387097
1999-01-01,25585.78651995817,-1479.8689419807467,35740.096774193546
1999-02-01,25590.071371519396,-1476.6893738158494,35738.25
1999-03-01,25594.762005346893,-1470.4612037382633,35739.32258064516
1999-04-01,25603.69078653349,-1465.5396240757036,35737.36666666667
1999-05-01,25613.028937795272,-1462.3703111270806,35734.22580645161
1999-06-01,25618.5833030246,-1458.4922395731642,35733.566666666666
1999-07-01,25612.77217902405,-1450.9753487592245,35736.74193548387
1999-08-01,25602.70340219467,-1444.4770422370907,35740.48387096774
1999-09-01,25594.665235707478,-1438.0614753508576,35747.333333333336
1999-10-01,25587.842867342428,-1432.9466979957626,35751.58064516129
1999-11-01,25592.83631449392,-1427.8009255032257,35752.76666666667
1999-12-01,25606.718633987366,-1426.4561276339887,35749.967741935485
2000-01-01,25601.988558555484,-1419.1325650735619,35752.645161290326
2000-02-01,25607.568415107427,-1416.0213611064357,35751.275862068964
2000-03-01,25620.951546356886,-1412.7314605561894,35747.45161290323
2000-04-01,25613.55423711571,-1403.2777038447946,35753.63333333333
2000-05-01,25626.322382981045,-1400.2222207096702,35752.096774193546
2000-06-01,25629.01347305044,-1397.738932195517,35754.46666666667
2000-07-01,25619.2953976529,-1389.8362193301532,35760.096774193546
2000-08-01,25618.00267558255,-1385.6866227946061,35762.48387096774
2000-09-01,25614.11373989758,-1378.8440118758156,35764.86666666667
2000-10-01,25608.7735240146,-1374.7054686857168,35768.354838709674
2000-11-01,25612.695130970846,-1370.4486769995808,35768.4
2000-12-01,25628.317112454537,-1368.685887720828,35766.32258064516
2001-01-01,25634.0201660482,-1364.7212066747654,35764.0
2001-02-01,25641.909536053066,-1360.2644175789658,35761.78571428572
2001-03-01,25634.128544210183,-1352.9137034631594,35765.967741935485
2001-04-01,25628.419190555094,-1343.9308749937652,35775.73333333333
2001-05-01,25654.138408557457,-1344.0437685964655,35768.290322580644
2001-06-01,25657.994651641307,-1340.0888165783977,35768.76666666667
