date,dx,dy,dz
1964-02-01,28.73330259040813,-0.023265185331865723,-15.765517241408816
1964-03-01,13.236849478678778,10.736964631980982,-5.486095661792206
1964-04-01,35.238414265739266,21.193239559888525,44.85161290320684
1964-05-01,75.35563273131265,3.2260786904689667,20.567741935432423
1964-06-01,61.46091954183066,15.929345656589703,30.23225806452683
1964-07-01,51.90364673701697,5.646193779251007,18.541935483925045
1964-08-01,-9.346271417554817,2.4510822661027305,32.12903225800255
1964-09-01,-41.01162164544803,12.774149763657078,-7.070967741950881
1964-10-01,-43.02698712985148,5.822345986180608,52.36129032258759
1964-11-01,31.160831430679536,6.2614859793666255,5.638709677441511
1964-12-01,47.72788274074264,15.897901802019533,-31.961290322535206
1965-01-01,9.581684963253792,4.45761868891077,26.322580645093694
1965-02-01,-40.91272610645683,26.728294191430905,33.98156682032277
1965-03-01,65.50103623140603,-0.44587119055540825,75.56682027649367
1965-04-01,-3.7026366592326667,17.850251509671125,40.09032258062507
1965-05-01,89.1767327120615,3.9467431325533653,42.36129032255849
1965-06-01,-44.08230160070525,37.382087096910254,-11.96129032256431
1965-07-01,37.90667949174531,13.984482294809823,14.670967741927598
1965-08-01,-5.077786035995814,2.011802645125954,1.9354838709987234
1965-09-01,-57.846600927688996,29.258176383103546,42.19354838709114
1965-10-01,46.96425674961938,-10.12228202390088,-2.709677419363288
1965-11-01,-4.350270473616547,19.041919514741494,28.309677419340005
1965-12-01,0.992436376051046,9.818339926405315,27.045161290385295
1966-01-01,NA,NA,NA
1966-02-01,NA,NA,NA
1966-03-01,NA,NA,NA
1966-04-01,NA,NA,NA
1966-05-01,NA,NA,NA
1966-06-01,NA,NA,NA
1966-07-01,NA,NA,NA
1966-08-01,NA,NA,NA
1966-09-01,NA,NA,NA
1966-10-01,NA,NA,NA
1966-11-01,NA,NA,NA
1966-12-01,NA,NA,NA
1967-01-01,NA,NA,NA
1967-02-01,NA,NA,NA
1967-03-01,NA,NA,NA
1967-04-01,NA,NA,NA
1967-05-01,NA,NA,NA
1967-06-01,NA,NA,NA
1967-07-01,NA,NA,NA
1967-08-01,NA,NA,NA
1967-09-01,NA,NA,NA
1967-10-01,NA,NA,NA
1967-11-01,NA,NA,NA
1967-12-01,NA,NA,NA
1968-01-01,NA,NA,NA
1968-02-01,NA,NA,NA
1968-03-01,NA,NA,NA
1968-04-01,NA,NA,NA
1968-05-01,NA,NA,NA
1968-06-01,NA,NA,NA
1968-07-01,NA,NA,NA
1968-08-01,NA,NA,NA
1968-09-01,NA,NA,NA
1968-10-01,NA,NA,NA
1968-11-01,NA,NA,NA
1968-12-01,NA,NA,NA
1969-01-01,NA,NA,NA
1969-02-01,NA,NA,NA
1969-03-01,NA,NA,NA
1969-04-01,NA,NA,NA
1969-05-01,NA,NA,NA
1969-06-01,NA,NA,NA
1969-07-01,NA,NA,NA
1969-08-01,NA,NA,NA
1969-09-01,NA,NA,NA
1969-10-01,NA,NA,NA
1969-11-01,NA,NA,NA
1969-12-01,NA,NA,NA
1970-01-01,NA,NA,NA
1970-02-01,NA,NA,NA
1970-03-01,NA,NA,NA
1970-04-01,NA,NA,NA
1970-05-01,NA,NA,NA
1970-06-01,NA,NA,NA
1970-07-01,NA,NA,NA
1970-08-01,NA,NA,NA
1970-09-01,NA,NA,NA
1970-10-01,NA,NA,NA
1970-11-01,NA,NA,NA
1970-12-01,NA,NA,NA
1971-01-01,NA,NA,NA
1971-02-01,NA,NA,NA
1971-03-01,NA,NA,NA
1971-04-01,NA,NA,NA
1971-05-01,NA,NA,NA
1971-06-01,NA,NA,NA
1971-07-01,NA,NA,NA
1971-08-01,NA,NA,NA
1971-09-01,NA,NA,NA
1971-10-01,NA,NA,NA
1971-11-01,NA,NA,NA
1971-12-01,NA,NA,NA
1972-01-01,NA,NA,NA
1972-02-01,NA,NA,NA
1972-03-01,NA,NA,NA
1972-04-01,NA,NA,NA
1972-05-01,NA,NA,NA
1972-06-01,NA,NA,NA
1972-07-01,NA,NA,NA
1972-08-01,NA,NA,NA
1972-09-01,NA,NA,NA
1972-10-01,NA,NA,NA
1972-11-01,NA,NA,NA
1972-12-01,NA,NA,NA
1973-01-01,NA,NA,NA
1973-02-01,NA,NA,NA
1973-03-01,NA,NA,NA
1973-04-01,NA,NA,NA
1973-05-01,NA,NA,NA
1973-06-01,NA,NA,NA
1973-07-01,NA,NA,NA
1973-08-01,NA,NA,NA
1973-09-01,NA,NA,NA
1973-10-01,NA,NA,NA
1973-11-01,NA,NA,NA
1973-12-01,NA,NA,NA
1974-01-01,NA,NA,NA
1974-02-01,NA,NA,NA
1974-03-01,NA,NA,NA
1974-04-01,NA,NA,NA
1974-05-01,NA,NA,NA
1974-06-01,NA,NA,NA
1974-07-01,NA,NA,NA
1974-08-01,NA,NA,NA
1974-09-01,NA,NA,NA
1974-10-01,NA,NA,NA
1974-11-01,NA,NA,NA
1974-12-01,NA,NA,NA
1975-01-01,NA,NA,NA
1975-02-01,NA,NA,NA
1975-03-01,NA,NA,NA
1975-04-01,NA,NA,NA
1975-05-01,NA,NA,NA
1975-06-01,NA,NA,NA
1975-07-01,NA,NA,NA
1975-08-01,NA,NA,NA
1975-09-01,NA,NA,NA
1975-10-01,NA,NA,NA
1975-11-01,NA,NA,NA
1975-12-01,NA,NA,NA
1976-01-01,NA,NA,NA
1976-02-01,NA,NA,NA
1976-03-01,NA,NA,NA
1976-04-01,NA,NA,NA
1976-05-01,NA,NA,NA
1976-06-01,NA,NA,NA
1976-07-01,NA,NA,NA
1976-08-01,NA,NA,NA
1976-09-01,NA,NA,NA
1976-10-01,NA,NA,NA
1976-11-01,NA,NA,NA
1976-12-01,NA,NA,NA
1977-01-01,NA,NA,NA
1977-02-01,NA,NA,NA
1977-03-01,NA,NA,NA
1977-04-01,NA,NA,NA
1977-05-01,NA,NA,NA
1977-06-01,NA,NA,NA
1977-07-01,NA,NA,NA
1977-08-01,NA,NA,NA
1977-09-01,NA,NA,NA
1977-10-01,NA,NA,NA
1977-11-01,NA,NA,NA
1977-12-01,NA,NA,NA
1978-01-01,NA,NA,NA
1978-02-01,NA,NA,NA
1978-03-01,NA,NA,NA
1978-04-01,NA,NA,NA
1978-05-01,NA,NA,NA
1978-06-01,NA,NA,NA
1978-07-01,NA,NA,NA
1978-08-01,NA,NA,NA
1978-09-01,NA,NA,NA
1978-10-01,NA,NA,NA
1978-11-01,NA,NA,NA
1978-12-01,NA,NA,NA
1979-01-01,NA,NA,NA
1979-02-01,NA,NA,NA
1979-03-01,NA,NA,NA
1979-04-01,NA,NA,NA
1979-05-01,NA,NA,NA
1979-06-01,NA,NA,NA
1979-07-01,NA,NA,NA
