date,dx,dy,dz
1947-02-01,56.55760368663596,-28.56221198156345,-26.059907834103797
1947-03-01,182.6682027649763,131.1428571428587,87.60829493092024
1947-04-01,84.90322580645216,-73.59999999999854,-639.5225806451635
1947-05-01,198.4516129032254,-132.33548387096744,-427.7032258064719
1947-06-01,159.14838709677406,-43.6645161290362,-562.6967741935223
1947-07-01,-287.277419354838,181.08387096774095,626.1806451612501
1947-08-01,-118.83870967742041,167.6129032258068,704.5161290322721
1947-09-01,-101.48387096774104,-73.09677419354193,152.10322580646607
1947-10-01,-63.0322580645161,-102.2580645161288,241.57419354835292
1947-11-01,-0.1677419354837184,-10.94193548387193,-97.57419354835292
1947-12-01,63.26451612903202,23.329032258065126,-66.55483870964963
1948-01-01,29.032258064515645,46.451612903227215,-22.838709677453153
1948-02-01,32.9032258064517,1.6952169076721475,-58.35817575082183
1948-03-01,82.45161290322585,-20.662958843160595,-30.286985539540183
1948-04-01,125.1483870967736,-75.21290322580899,-592.7612903225818
1948-05-01,89.69032258064544,86.82580645161579,-4.52903225805494
1948-06-01,59.90967741935492,-53.6258064516187,-331.87096774193924
1948-07-01,-33.587096774193014,76.07741935484592,151.09677419357467
1948-08-01,6.5806451612897945,139.74193548386393,586.0645161290013
1948-09-01,-109.79354838709651,-44.21935483870766,210.43870967742987
1948-10-01,-125.56129032258104,-20.0387096774175,375.6258064516587
1948-11-01,57.1612903225805,2.0387096774175006,-6.025806451623794
1948-12-01,-3.199999999999818,-17.599999999994907,-168.0
1949-01-01,17.200000000000728,-10.400000000001455,148.86451612898964
1949-02-01,81.71428571428487,-1.7714285714246216,-47.35023041474051
1949-03-01,13.188940092166376,80.37788018432184,-236.39170506907976
1949-04-01,171.89677419354894,-60.60645161289722,-295.9225806451868
1949-05-01,126.94193548387011,-74.87741935484155,-228.59354838708532
1949-06-01,-38.541935483871384,88.87741935484519,185.39354838710278
1949-07-01,-42.74838709677351,57.058064516120794,-176.49032258064835
1949-08-01,-30.193548387096598,61.16129032257959,330.19354838709114
1949-09-01,-17.894428152492765,-7.601173020520946,207.09677419354557
1949-10-01,-99.00879765395894,-43.495601173024625,323.20000000001164
1949-11-01,-70.66518353726315,42.780867630699504,97.62758620685781
1949-12-01,83.05228031145634,-49.36151279198384,-67.0211345939606
1950-01-01,41.91323692992273,-20.155728587320482,40.9521690767433
1950-02-01,54.789272030650864,48.41379310344564,-45.47290640391293
1950-03-01,114.65232974910396,78.19354838710206,-95.06349206354935
1950-04-01,32.9032258064517,-50.59354838709987,-47.42222222223063
1950-05-01,-35.22580645161224,207.75483870967946,-83.10769230761798
1950-06-01,26.42580645161206,-44.55483870968601,-45.692307692341274
1950-07-01,-9.00645161290322,28.683870967743132,-75.9310344827827
1950-08-01,-24.193548387096598,66.20843672456976,197.9310344827536
1950-09-01,-22.551724137930705,-53.96816976127593,203.20000000001164
1950-10-01,-62.41601779755365,-73.78865406006662,133.7032258064719
1950-11-01,12.167741935483718,23.264516129038384,29.496774193510646
1950-12-01,85.02222222222235,34.355555555546744,-128.1777777777461
1951-01-01,25.906810035842227,13.60573476702848,-53.835125448036706
1951-02-01,64.31541218638085,-0.7168458781306981,109.39068100356963
1951-03-01,86.03831417624542,81.07279693486635,-20.812260536360554
1951-04-01,64.71724137931005,52.08275862068331,-76.96551724139135
1951-05-01,-57.52258064516218,-42.6322580645101,-174.9677419354557
1951-06-01,205.52258064516127,-18.967741935488448,-418.23225806455594
1951-07-01,-104.10322580645106,38.709677419352374,-50.92903225807822
1951-08-01,-105.2903225806449,1.5483870967727853,219.48387096772785
1951-09-01,7.793548387096507,-19.45806451612225,525.4451612903795
1951-10-01,-3.9225806451618155,-5.3161290322641435,35.07096774189267
1951-11-01,-3.2774193548384574,-3.88387096774386,170.12903225808986
1951-12-01,55.92258064516227,62.72258064516427,147.2903225806367
1952-01-01,-13.122580645161634,93.27741935483573,-84.89032258067164
1952-02-01,35.2137931034481,-30.634482758614467,62.77241379316547
1952-03-01,51.98620689655172,50.634482758618105,69.62758620682871
1952-04-01,83.19999999999936,-10.400000000001455,-249.19999999995343
1952-05-01,72.2709677419366,-70.74838709676987,-122.30967741936911
