date,X,Y,Z
1960-01-01,23545.62394811472,-664.5433725247418,38448.0
1960-01-02,23542.6251422627,-664.4587352877402,38447.0
1960-01-03,23542.56706765573,-666.5132143715376,38448.0
1960-01-04,23547.71956507493,-661.1749273735039,38446.0
1960-01-05,23528.78461251912,-658.5883825907373,38449.0
1960-01-06,23525.74743700363,-659.8731168316691,38450.0
1960-01-07,23537.704270047645,-661.5789414581737,38451.0
1960-01-08,23541.72192881435,-661.0065252185503,38449.0
1960-01-09,23550.660587785802,-663.3143138154685,38447.0
1960-01-10,23522.844330045584,-656.3677509158264,38450.0
1960-01-11,23511.84860985051,-656.0609327422723,38456.0
1960-01-12,23525.90035944026,-654.3984089900513,38452.0
1960-01-13,23531.898039582884,-654.5652409617505,38452.0
1960-01-14,NA,NA,NA
1960-01-15,NA,NA,NA
1960-01-16,23527.78500403019,-658.5604027971018,38452.0
1960-01-17,23546.54606425683,-667.3113544900671,38448.0
1960-01-18,23536.704664821074,-661.5508453549988,38450.0
1960-01-19,23537.685015538005,-662.2636252412984,38449.0
1960-01-20,23541.625540312027,-664.4305228754063,38450.0
1960-01-21,23518.94108617167,-652.8354962668592,38454.0
1960-01-22,23520.768583608195,-659.0487359443601,38455.0
1960-01-23,23527.899586154468,-654.4540196472843,38457.0
1960-01-24,23528.82288781986,-657.2195322753643,38455.0
1960-01-25,23538.857200861694,-656.1293145727133,38453.0
1960-01-26,23540.760737100423,-659.6089133654773,38451.0
1960-01-27,23544.72074694464,-661.0907262960271,38449.0
1960-01-28,23547.73878791139,-660.489951697626,38448.0
1960-01-29,23551.64088556166,-664.0275578169443,38445.0
1960-01-30,23555.65860573737,-663.4550851044785,38442.0
1960-01-31,23557.59982092494,-665.5671845554772,38440.0
1960-02-01,23550.56386353469,-666.7396115231584,38443.0
1960-02-02,23537.56907023138,-666.3717161517746,38445.0
1960-02-03,23522.80610430959,-657.7362534142486,38448.0
1960-02-04,23530.783829496988,-658.6443421780082,38450.0
1960-02-05,23527.669705208595,-662.6667658860221,38451.0
1960-02-06,23531.84082838701,-656.618783966916,38450.0
1960-02-07,23544.72074694464,-661.0907262960271,38449.0
1960-02-08,23547.700322313347,-661.8599024899222,38447.0
1960-02-09,23558.618773473478,-664.9101338850824,38445.0
1960-02-10,23559.61837542415,-664.9383462974163,38443.0
1960-02-11,23550.718383205218,-661.2591284509807,38445.0
1960-02-12,23548.699927539918,-661.8879985930971,38447.0
1960-02-13,23553.7939926843,-658.6027256161797,38443.0
1960-02-14,23522.863413057472,-655.683498833238,38457.0
1960-02-15,23530.841217460184,-656.5908914056838,38452.0
1960-02-16,23544.778348342057,-659.0360592889042,38451.0
1960-02-17,23539.74193303584,-660.2656481100053,38452.0
1960-02-18,23529.91784182704,-653.8251730161281,NA
1960-02-19,23531.06897733259,-648.3770384705109,38450.0
1960-02-20,23532.97365899859,-651.8548648882336,38450.0
1960-02-21,23536.877051835258,-655.3889278823378,38450.0
1960-02-22,23548.834214143033,-657.0929575078632,38446.0
1960-02-23,23543.7978996602,-658.3232184542665,38446.0
1960-02-24,23549.814700235707,-657.8058866885592,38446.0
1960-02-25,23553.77482474246,-659.287877431623,38442.0
1960-02-26,23554.736035927494,-660.6862173367941,38439.0
1960-02-27,23548.79594617225,-658.4629720352231,38440.0
1960-02-28,23549.66098419549,-663.2861595576665,38441.0
1960-02-29,23540.89455979682,-654.8154889192992,38440.0
1960-03-01,23537.895719725508,-654.7320729334497,38442.0
1960-03-02,23529.97480924169,-651.7717978338344,38444.0
1960-03-03,23527.937620929217,-653.0852208276549,38447.0
1960-03-04,23526.93800595616,-653.0574736542331,38449.0
1960-03-05,23541.894173153923,-654.8432942479158,38443.0
1960-03-06,23547.92992039043,-653.6401642960899,38443.0
1960-03-07,23552.75602919576,-659.9450198181476,38439.0
1960-03-08,23548.738394770833,-660.5179896460786,38438.0
1960-03-09,23555.774041720328,-659.3438370188939,38439.0
1960-03-10,23539.856812599457,-656.1571780564304,38438.0
1960-03-11,23536.934155686766,-653.3349453884507,38440.0
1960-03-12,23542.817429430426,-657.6104352174942,38438.0
1960-03-13,23546.930305417372,-653.6124171226681,38438.0
1960-03-14,23556.773650209263,-659.3718168125293,38438.0
1960-03-15,23542.79829035779,-658.295267738075,38440.0
1960-03-16,23502.617898889093,-627.7522591102492,38447.0
1960-03-17,23523.015360603822,-650.2094622479045,38445.0
1960-03-18,23543.950460930348,-652.8443101212553,NA
1960-03-19,23546.854094763803,-656.3522224424509,38438.0
1960-03-20,23549.910125137143,-654.3806980367459,38436.0
1960-03-21,23551.852153452623,-656.4915398610369,38438.0
1960-03-22,23558.868527888106,-656.001284818268,38432.0
1960-03-23,23560.714443639517,-661.5397987092366,38431.0
1960-03-24,23560.772084164997,-659.483735987071,38431.0
1960-03-25,23556.869302792395,-655.9456160059107,38437.0
1960-03-26,23557.792429893936,-658.714528480945,38432.0
