date,X,Y,Z
1964-01-01,NA,NA,-2680.0
1964-01-02,26965.48659181672,1699.674635497202,-2684.0
1964-01-03,26963.836059104073,1694.0584339859458,-2682.0
1964-01-04,26954.85376926686,1693.4941031606925,-2686.0
1964-01-05,26953.46092785284,1699.7038008754237,-2691.0
1964-01-06,26954.90301960941,1692.7100175315409,-2692.0
1964-01-07,26968.43119163326,1700.6478360149479,-2702.0
1964-01-08,26980.901179253764,1693.554709875901,-2681.0
1964-01-09,26961.741400039053,1695.5016005360073,-2696.0
1964-01-10,26956.553830733075,1698.3243420471952,-2698.0
1964-01-11,26973.52019190014,1699.393261477584,-2696.0
1964-01-12,26984.794735390897,1695.3752059115375,-2697.0
1964-01-13,NA,NA,-2700.0
1964-01-14,NA,NA,-2678.0
1964-01-15,NA,NA,-2685.0
1964-01-16,26977.61111255063,1698.0752810122412,-2681.0
1964-01-17,26969.67628231718,1696.7882092406353,-2685.0
1964-01-18,NA,NA,-2680.0
1964-01-19,NA,NA,-2681.0
1964-01-20,26991.583461171685,1698.9547547251698,-2683.0
1964-01-21,NA,NA,-2682.0
1964-01-22,NA,NA,-2687.0
1964-01-23,NA,NA,-2682.0
1964-01-24,26998.520190677722,1700.1798474183247,-2688.0
1964-01-25,NA,NA,-2677.0
1964-01-26,NA,NA,-2697.0
1964-01-27,NA,NA,-2684.0
1964-01-28,NA,NA,-2687.0
1964-01-29,NA,NA,-2685.0
1964-01-30,NA,NA,-2689.0
1964-01-31,NA,NA,NA
1964-02-01,26958.500455907077,1699.2342889836937,-2682.0
1964-02-02,NA,NA,NA
1964-02-03,26977.808509961957,1694.9362819363403,-2675.0
1964-02-04,26979.458863636013,1700.5553285242186,-2679.0
1964-02-05,NA,NA,-2679.0
1964-02-06,NA,NA,-2685.0
1964-02-07,26974.171607715,1704.9487023197623,-2680.0
1964-02-08,26972.3242620025,1702.4687678166813,-2684.0
1964-02-09,26971.028711425373,1707.1131325920737,-2681.0
1964-02-10,26988.143725611553,1705.8318339548252,-2689.0
1964-02-11,26982.15567508446,1705.4533489683697,-2690.0
1964-02-12,26995.12978455983,1706.2733997723565,-2685.0
1964-02-13,26974.468766557693,1700.2407953002842,-2677.0
1964-02-14,26979.91134308864,1709.2512744113985,-2678.0
1964-02-15,26997.571610580708,1699.3316720307107,-2683.0
1964-02-16,NA,NA,-2684.0
1964-02-17,26998.123809823377,1706.4626422655842,-2684.0
1964-02-18,NA,NA,-2681.0
1964-02-19,NA,NA,-2684.0
1964-02-20,NA,NA,NA
1964-02-21,NA,NA,NA
1964-02-22,NA,NA,NA
1964-02-23,NA,NA,NA
1964-02-24,NA,NA,NA
1964-02-25,NA,NA,NA
1964-02-26,NA,NA,NA
1964-02-27,NA,NA,NA
1964-02-28,NA,NA,NA
1964-02-29,NA,NA,NA
1964-03-01,26927.709867475438,1694.934303466068,-2674.0
1964-03-02,26921.86949358467,1692.2080162896834,-2676.0
1964-03-03,NA,NA,NA
1964-03-04,NA,NA,NA
1964-03-05,NA,NA,NA
1964-03-06,26925.76310626634,1694.0254263813456,-2669.0
1964-03-07,26911.39599032942,1699.4089712843409,-2683.0
1964-03-08,26917.778892438913,1693.523102225111,-2674.0
1964-03-09,26917.828143640694,1692.740095060398,-2676.0
1964-03-10,26919.82420074971,1692.8656180365622,-2672.0
1964-03-11,26933.747320093764,1694.52775053758,-2674.0
1964-03-12,26920.625065908698,1696.060747959313,-2674.0
1964-03-13,26940.634852401094,1696.5346296469856,-2670.0
1964-03-14,26929.75521318005,1694.2765884594628,-2672.0
1964-03-15,26935.940373083467,1691.5192040565298,-2677.0
1964-03-16,26945.723640834905,1695.2812367719318,-2675.0
1964-03-17,26942.383844335807,1700.5789556715433,-2674.0
1964-03-18,26948.66839040702,1696.2535140354607,-2671.0
1964-03-19,26958.549873223317,1698.4500972742999,-2680.0
