date,X,Y,Z
2006-01-01,20874.0,247.0,43095.0
2006-01-02,20873.0,244.0,43096.0
2006-01-03,20869.0,245.0,43097.0
2006-01-04,20873.0,245.0,43096.0
2006-01-05,20873.0,245.0,43096.0
2006-01-06,20866.0,244.0,43097.0
2006-01-07,20872.0,245.0,43096.0
2006-01-08,20869.0,245.0,43098.0
2006-01-09,20875.0,244.0,43095.0
2006-01-10,20876.0,245.0,43095.0
2006-01-11,20878.0,244.0,43094.0
2006-01-12,20877.0,245.0,43094.0
2006-01-13,20873.0,245.0,43094.0
2006-01-14,20878.0,246.0,43094.0
2006-01-15,20876.0,245.0,43094.0
2006-01-16,20871.0,245.0,43095.0
2006-01-17,20871.0,247.0,43095.0
2006-01-18,20873.0,248.0,43095.0
2006-01-19,20868.0,248.0,43096.0
2006-01-20,20871.0,246.0,43096.0
2006-01-21,20874.0,247.0,43095.0
2006-01-22,20876.0,244.0,43095.0
2006-01-23,20869.0,247.0,43097.0
2006-01-24,20869.0,247.0,43097.0
2006-01-25,20868.0,253.0,43097.0
2006-01-26,20862.0,258.0,43097.0
2006-01-27,20860.0,253.0,43097.0
2006-01-28,20867.0,251.0,43098.0
2006-01-29,20869.0,249.0,43096.0
2006-01-30,20875.0,249.0,43095.0
2006-01-31,20880.0,247.0,43094.0
2006-02-01,20877.0,249.0,43096.0
2006-02-02,20872.0,250.0,43096.0
2006-02-03,20875.0,251.0,43097.0
2006-02-04,20872.0,249.0,43096.0
2006-02-05,20882.0,246.0,43094.0
2006-02-06,20868.0,247.0,43097.0
2006-02-07,20872.0,249.0,43096.0
2006-02-08,20878.0,248.0,43095.0
2006-02-09,20882.0,248.0,43093.0
2006-02-10,20884.0,247.0,43092.0
2006-02-11,20881.0,247.0,43093.0
2006-02-12,20878.0,250.0,43092.0
2006-02-13,20879.0,249.0,43094.0
2006-02-14,20881.0,248.0,43093.0
2006-02-15,20882.0,248.0,43093.0
2006-02-16,20877.0,251.0,43093.0
2006-02-17,20874.0,250.0,43094.0
2006-02-18,20880.0,248.0,43094.0
2006-02-19,20877.0,250.0,43094.0
2006-02-20,20866.0,254.0,43099.0
2006-02-21,20866.0,253.0,43097.0
2006-02-22,20867.0,256.0,43099.0
2006-02-23,20873.0,252.0,43097.0
2006-02-24,20871.0,251.0,43097.0
2006-02-25,20878.0,252.0,43096.0
2006-02-26,20874.0,251.0,43096.0
2006-02-27,20877.0,251.0,43095.0
2006-02-28,20878.0,249.0,43094.0
2006-03-01,20879.0,249.0,43095.0
2006-03-02,20883.0,251.0,43094.0
2006-03-03,20881.0,250.0,43093.0
2006-03-04,20879.0,250.0,43094.0
2006-03-05,20883.0,249.0,43094.0
2006-03-06,20879.0,252.0,43096.0
2006-03-07,20869.0,257.0,43096.0
2006-03-08,20877.0,252.0,43097.0
2006-03-09,20880.0,251.0,43095.0
2006-03-10,20882.0,251.0,43096.0
2006-03-11,20869.0,253.0,43098.0
2006-03-12,20877.0,251.0,43098.0
2006-03-13,20879.0,252.0,43096.0
2006-03-14,20881.0,250.0,43095.0
2006-03-15,20886.0,251.0,43093.0
2006-03-16,20881.0,249.0,43095.0
2006-03-17,20885.0,251.0,43093.0
2006-03-18,20872.0,255.0,43099.0
2006-03-19,20860.0,262.0,43098.0
2006-03-20,20863.0,259.0,43100.0
2006-03-21,20863.0,258.0,43100.0
2006-03-22,20869.0,256.0,43098.0
2006-03-23,20870.0,257.0,43101.0
2006-03-24,20877.0,252.0,43098.0
2006-03-25,20874.0,255.0,43100.0
2006-03-26,20875.0,252.0,43100.0
2006-03-27,20873.0,258.0,43098.0
2006-03-28,20877.0,255.0,43095.0
2006-03-29,20880.0,255.0,43097.0
2006-03-30,20878.0,255.0,43096.0
2006-03-31,20881.0,252.0,43095.0
2006-04-01,20881.0,254.0,43094.0
2006-04-02,20889.0,252.0,43094.0
2006-04-03,20888.0,251.0,43093.0
2006-04-04,20875.0,255.0,43099.0
2006-04-05,20848.0,252.0,43105.0
2006-04-06,20858.0,261.0,43103.0
2006-04-07,20868.0,257.0,43101.0
2006-04-08,20876.0,254.0,43100.0
2006-04-09,20862.0,258.0,43102.0
2006-04-10,20857.0,261.0,43106.0
2006-04-11,20869.0,260.0,43105.0
2006-04-12,20872.0,259.0,43102.0
2006-04-13,20880.0,254.0,43099.0
2006-04-14,20837.0,269.0,43111.0
2006-04-15,20854.0,269.0,43108.0
2006-04-16,20858.0,261.0,43107.0
2006-04-17,20865.0,259.0,43103.0
2006-04-18,20869.0,263.0,43104.0
2006-04-19,20873.0,259.0,43100.0
2006-04-20,20878.0,254.0,43102.0
2006-04-21,20876.0,254.0,43101.0
2006-04-22,20867.0,255.0,43102.0
2006-04-23,20870.0,260.0,43104.0
2006-04-24,20875.0,259.0,43102.0
2006-04-25,20876.0,260.0,43101.0
2006-04-26,20879.0,259.0,43100.0
2006-04-27,20882.0,256.0,43099.0
2006-04-28,20880.0,259.0,43101.0
2006-04-29,20878.0,260.0,43101.0
2006-04-30,20879.0,256.0,43101.0
2006-05-01,20883.0,257.0,43099.0
2006-05-02,20888.0,257.0,43097.0
2006-05-03,20890.0,252.0,43097.0
2006-05-04,20874.0,253.0,43104.0
2006-05-05,20876.0,262.0,43099.0
2006-05-06,20875.0,255.0,43103.0
2006-05-07,20869.0,260.0,43103.0
2006-05-08,20876.0,261.0,43101.0
2006-05-09,20878.0,261.0,43102.0
2006-05-10,20886.0,258.0,43097.0
2006-05-11,20879.0,264.0,43104.0
2006-05-12,20872.0,262.0,43101.0
2006-05-13,20878.0,260.0,43102.0
2006-05-14,20880.0,262.0,43102.0
2006-05-15,20879.0,260.0,43101.0
2006-05-16,20882.0,260.0,43100.0
2006-05-17,20888.0,256.0,43100.0
2006-05-18,20884.0,264.0,43103.0
2006-05-19,20879.0,260.0,43104.0
2006-05-20,20881.0,260.0,43104.0
2006-05-21,20883.0,261.0,43104.0
2006-05-22,20883.0,261.0,43101.0
2006-05-23,20883.0,263.0,43103.0
2006-05-24,20888.0,259.0,43101.0
2006-05-25,20889.0,261.0,43098.0
2006-05-26,20884.0,260.0,43103.0
2006-05-27,20886.0,261.0,43099.0
2006-05-28,20886.0,262.0,43103.0
2006-05-29,20883.0,267.0,43103.0
2006-05-30,20891.0,254.0,43100.0
2006-05-31,20890.0,258.0,43099.0
2006-06-01,20889.0,259.0,43103.0
2006-06-02,20885.0,260.0,43101.0
2006-06-03,20884.0,262.0,43101.0
2006-06-04,20887.0,262.0,43097.0
2006-06-05,20894.0,261.0,43102.0
2006-06-06,20882.0,262.0,43104.0
2006-06-07,20872.0,268.0,43105.0
2006-06-08,20875.0,265.0,43105.0
2006-06-09,20877.0,264.0,43106.0
2006-06-10,20876.0,263.0,43106.0
2006-06-11,20879.0,264.0,43105.0
2006-06-12,20879.0,264.0,43104.0
2006-06-13,20882.0,262.0,43104.0
2006-06-14,20890.0,265.0,43104.0
2006-06-15,20879.0,261.0,43108.0
2006-06-16,20874.0,269.0,43108.0
2006-06-17,20877.0,262.0,43108.0
2006-06-18,20875.0,262.0,43108.0
2006-06-19,20877.0,268.0,43106.0
2006-06-20,20882.0,261.0,43103.0
2006-06-21,20888.0,265.0,43103.0
2006-06-22,20886.0,260.0,43103.0
2006-06-23,20886.0,262.0,43103.0
2006-06-24,20888.0,260.0,43103.0
2006-06-25,20884.0,265.0,43104.0
2006-06-26,20888.0,262.0,43101.0
2006-06-27,20897.0,261.0,43100.0
2006-06-28,20886.0,264.0,43106.0
2006-06-29,20883.0,262.0,43107.0
2006-06-30,20881.0,267.0,43107.0
2006-07-01,20887.0,260.0,43107.0
2006-07-02,20886.0,265.0,43100.0
2006-07-03,20891.0,266.0,43105.0
2006-07-04,20895.0,260.0,43104.0
2006-07-05,20875.0,272.0,43109.0
2006-07-06,20876.0,266.0,43106.0
2006-07-07,20875.0,267.0,43107.0
2006-07-08,20876.0,267.0,43105.0
2006-07-09,20882.0,264.0,43106.0
2006-07-10,20886.0,266.0,43108.0
2006-07-11,20885.0,261.0,43108.0
2006-07-12,20881.0,264.0,43107.0
2006-07-13,20878.0,270.0,43107.0
2006-07-14,20880.0,264.0,43111.0
2006-07-15,20875.0,268.0,43112.0
2006-07-16,20881.0,266.0,43109.0
2006-07-17,20886.0,270.0,43105.0
2006-07-18,20885.0,264.0,43106.0
2006-07-19,20889.0,266.0,43106.0
2006-07-20,20893.0,263.0,43105.0
2006-07-21,20888.0,265.0,43105.0
2006-07-22,20891.0,263.0,43106.0
2006-07-23,20892.0,264.0,43104.0
2006-07-24,20889.0,267.0,43104.0
2006-07-25,20887.0,263.0,43105.0
2006-07-26,20885.0,267.0,43106.0
2006-07-27,20891.0,263.0,43106.0
2006-07-28,20869.0,271.0,43107.0
2006-07-29,20873.0,267.0,43109.0
2006-07-30,20884.0,268.0,43107.0
2006-07-31,20887.0,269.0,43104.0
2006-08-01,20881.0,267.0,43106.0
2006-08-02,20879.0,274.0,43108.0
2006-08-03,20878.0,270.0,43104.0
2006-08-04,20883.0,270.0,43105.0
2006-08-05,20885.0,266.0,43105.0
2006-08-06,20888.0,267.0,43105.0
2006-08-07,20872.0,264.0,43112.0
2006-08-08,20870.0,270.0,43111.0
2006-08-09,20874.0,270.0,43111.0
2006-08-10,20875.0,272.0,43107.0
2006-08-11,20876.0,267.0,43109.0
2006-08-12,20875.0,269.0,43108.0
2006-08-13,20882.0,269.0,43108.0
2006-08-14,20882.0,267.0,43106.0
2006-08-15,20893.0,267.0,43107.0
2006-08-16,20889.0,268.0,43105.0
2006-08-17,20895.0,265.0,43101.0
2006-08-18,20886.0,269.0,43107.0
2006-08-19,20867.0,274.0,43116.0
2006-08-20,20862.0,284.0,43112.0
2006-08-21,20870.0,276.0,43113.0
2006-08-22,20868.0,273.0,43116.0
2006-08-23,20874.0,274.0,43113.0
2006-08-24,20879.0,269.0,43112.0
2006-08-25,20878.0,272.0,43113.0
2006-08-26,20883.0,270.0,43112.0
2006-08-27,20881.0,263.0,43113.0
2006-08-28,20877.0,276.0,43116.0
2006-08-29,20878.0,270.0,43112.0
2006-08-30,20884.0,269.0,43108.0
2006-08-31,20877.0,273.0,43113.0
2006-09-01,20870.0,277.0,43116.0
2006-09-02,20875.0,272.0,43114.0
2006-09-03,20882.0,273.0,43111.0
2006-09-04,20877.0,276.0,43110.0
2006-09-05,20875.0,275.0,43112.0
2006-09-06,20875.0,271.0,43111.0
2006-09-07,20878.0,271.0,43113.0
2006-09-08,20883.0,272.0,43111.0
2006-09-09,20885.0,270.0,43108.0
2006-09-10,20885.0,269.0,43107.0
2006-09-11,20882.0,272.0,43110.0
2006-09-12,20884.0,271.0,43109.0
2006-09-13,20884.0,274.0,43109.0
2006-09-14,20881.0,272.0,43110.0
2006-09-15,20887.0,271.0,43108.0
2006-09-16,20889.0,269.0,43107.0
2006-09-17,20881.0,273.0,43110.0
2006-09-18,20879.0,275.0,43110.0
2006-09-19,20872.0,275.0,43112.0
2006-09-20,20880.0,275.0,43111.0
2006-09-21,20885.0,271.0,43111.0
2006-09-22,20888.0,271.0,43109.0
2006-09-23,20892.0,271.0,43108.0
2006-09-24,20876.0,277.0,43110.0
2006-09-25,20875.0,276.0,43113.0
2006-09-26,20883.0,272.0,43110.0
2006-09-27,20883.0,275.0,43111.0
2006-09-28,20884.0,272.0,43111.0
2006-09-29,20889.0,270.0,43109.0
2006-09-30,20890.0,267.0,43110.0
2006-10-01,20874.0,276.0,43111.0
2006-10-02,20876.0,277.0,43115.0
2006-10-03,20880.0,275.0,43114.0
2006-10-04,20881.0,273.0,43113.0
2006-10-05,20881.0,276.0,43112.0
2006-10-06,20888.0,272.0,43110.0
2006-10-07,20892.0,272.0,43108.0
2006-10-08,20880.0,275.0,43111.0
2006-10-09,20886.0,274.0,43111.0
2006-10-10,20886.0,275.0,43109.0
2006-10-11,20888.0,274.0,43110.0
2006-10-12,20886.0,273.0,43110.0
2006-10-13,20871.0,281.0,43114.0
2006-10-14,20868.0,283.0,43116.0
2006-10-15,20870.0,280.0,43115.0
2006-10-16,20878.0,276.0,43115.0
2006-10-17,20880.0,275.0,43113.0
2006-10-18,20885.0,275.0,43113.0
2006-10-19,20887.0,274.0,43112.0
2006-10-20,20887.0,270.0,43112.0
2006-10-21,20876.0,283.0,43114.0
2006-10-22,20877.0,279.0,43115.0
2006-10-23,20882.0,276.0,43115.0
2006-10-24,20885.0,275.0,43113.0
2006-10-25,20884.0,276.0,43113.0
2006-10-26,20884.0,276.0,43113.0
2006-10-27,20892.0,276.0,43110.0
2006-10-28,20879.0,279.0,43113.0
2006-10-29,20870.0,281.0,43116.0
2006-10-30,20872.0,280.0,43116.0
2006-10-31,20877.0,280.0,43117.0
2006-11-01,20880.0,279.0,43115.0
2006-11-02,20877.0,282.0,43117.0
2006-11-03,20882.0,275.0,43115.0
2006-11-04,20883.0,279.0,43115.0
2006-11-05,20880.0,278.0,43115.0
2006-11-06,20886.0,277.0,43113.0
2006-11-07,20887.0,276.0,43113.0
2006-11-08,20889.0,276.0,43112.0
2006-11-09,20889.0,283.0,43114.0
2006-11-10,20862.0,283.0,43118.0
2006-11-11,20868.0,283.0,43119.0
2006-11-12,20876.0,282.0,43118.0
2006-11-13,20880.0,281.0,43117.0
2006-11-14,20880.0,281.0,43117.0
2006-11-15,20881.0,282.0,43117.0
2006-11-16,20878.0,281.0,43117.0
2006-11-17,20878.0,280.0,43119.0
2006-11-18,20881.0,280.0,43119.0
2006-11-19,20885.0,280.0,43119.0
2006-11-20,20886.0,280.0,43117.0
2006-11-21,20889.0,279.0,43115.0
2006-11-22,20890.0,280.0,43114.0
2006-11-23,20874.0,281.0,43119.0
2006-11-24,20874.0,282.0,43117.0
2006-11-25,20875.0,284.0,43119.0
2006-11-26,20879.0,283.0,43118.0
2006-11-27,20878.0,281.0,43119.0
