date,X,Y,Z
1957-01-01,29741.205129756996,-2948.471880435037,46480.0
1957-01-02,29727.444829087246,-2945.3612568875087,46478.0
1957-01-03,29709.498311007075,-2954.0558742629937,46481.0
1957-01-04,29724.11657134493,-2948.5240465523793,46479.0
1957-01-05,NA,NA,46476.0
1957-01-06,29751.413623239845,-2946.8621309621144,46475.0
1957-01-07,29750.07541994023,-2950.225162232237,46475.0
1957-01-08,29736.143754972367,-2948.84360107786,46476.0
1957-01-09,29725.935203488272,-2950.450860125745,46474.0
1957-01-10,NA,NA,46477.0
1957-01-11,NA,NA,46476.0
1957-01-12,NA,NA,46473.0
1957-01-13,29740.12423067747,-2949.2383328362534,46472.0
1957-01-14,29745.09982530885,-2949.731747534245,46471.0
1957-01-15,29742.11446853002,-2949.43569871545,46470.0
1957-01-16,29741.119349603745,-2949.337015775852,46470.0
1957-01-17,29745.014008505903,-2950.596996166628,46467.0
1957-01-18,29745.185616942697,-2948.8664964059185,46467.0
1957-01-19,29745.61419757291,-2944.5402033507576,46465.0
1957-01-20,29748.170982331972,-2949.16245838408,46465.0
1957-01-21,29681.583404800498,-2941.6892398538043,46468.0
1957-01-22,29602.7312551317,-2956.4847769688877,46484.0
1957-01-23,29644.817262299428,-2947.624549509943,46484.0
1957-01-24,29680.640612352894,-2951.186513988556,46482.0
1957-01-25,29670.34620991672,-2953.649400941239,46482.0
1957-01-26,29692.01571290852,-2947.9563945882287,46482.0
1957-01-27,29695.08678385423,-2947.3889969540824,46481.0
1957-01-28,29708.846725340234,-2950.500169503621,46479.0
1957-01-29,29690.36828436368,-2944.304185856336,46478.0
1957-01-30,29668.699495668407,-2949.999192495685,46482.0
1957-01-31,29692.75344093523,-2950.6463861040793,46482.0
1957-02-01,29702.052556029656,-2948.0803854122,46479.0
1957-02-02,29712.17517868152,-2947.339503915666,46478.0
1957-02-03,29718.31732843922,-2946.202838602467,46478.0
1957-02-04,29695.08678385423,-2947.3889969540824,46484.0
1957-02-05,29663.55238496817,-2951.2302357236226,46492.0
1957-02-06,29697.557194322588,-2952.8685527701227,46493.0
1957-02-07,29711.917861653685,-2949.932369113725,46492.0
1957-02-08,29713.822248154727,-2950.994307867296,46496.0
1957-02-09,29719.055223764208,-2948.8949806416394,46495.0
1957-02-10,29734.977034699423,-2950.4748339712983,46493.0
1957-02-11,29727.016129231815,-2949.6849073064686,46494.0
1957-02-12,29723.773293783714,-2951.982584594646,46490.0
1957-02-13,29710.922754216426,-2949.8335703874504,46496.0
1957-02-14,29711.57442030927,-2953.3894877621374,46495.0
1957-02-15,29716.069884213855,-2948.5987581423283,46495.0
1957-02-16,29724.20232785706,-2947.65940580268,46494.0
1957-02-17,29730.68715555479,-2943.0625644945717,46494.0
1957-02-18,29722.949872555946,-2950.1545507865517,46493.0
1957-02-19,29710.579324374503,-2953.2905732505237,46490.0
1957-02-20,29708.108978746244,-2947.8088314774986,46495.0
1957-02-21,29697.728934993498,-2951.1408139311015,46495.0
1957-02-22,29705.51793877891,-2953.660100432037,46496.0
1957-02-23,29716.069884213855,-2948.5987581423283,46493.0
1957-02-24,29651.267883661596,-2953.492321191711,46504.0
1957-02-25,29700.71423142846,-2951.4374706273147,46494.0
1957-02-26,29715.898291402715,-2950.3275640188244,46496.0
1957-02-27,29719.87872115175,-2950.7227589239237,46496.0
1957-02-28,29727.101919510784,-2948.8201822115575,46495.0
1957-03-01,29727.530493596143,-2944.496519324054,46496.0
1957-03-02,29593.038559794397,-2952.9085320276977,46515.0
1957-03-03,29653.995231289886,-2956.3774831094615,46511.0
1957-03-04,29692.75344093523,-2950.6463861040793,46507.0
1957-03-05,29703.87120252574,-2950.0060311399457,46504.0
1957-03-06,29704.86630708864,-2950.104858812681,46504.0
1957-03-07,29712.17517868152,-2947.339503915666,46501.0
1957-03-08,29714.64561479161,-2952.8218685429774,46502.0
1957-03-09,29708.589132504967,-2953.0927442272964,46502.0
1957-03-10,29655.849047962252,-2947.8502751117694,46508.0
1957-03-11,29669.007266352517,-2957.002507459452,46511.0
1957-03-12,29695.73873737019,-2950.9430428002925,46505.0
1957-03-13,29708.93253934191,-2949.6359729349006,46503.0
1957-03-14,29727.101919510784,-2948.8201822115575,46499.0
1957-03-15,29740.295760078712,-2947.5081175535856,46499.0
1957-03-16,29719.398142098333,-2945.4369915926463,46500.0
1957-03-17,29711.265781815473,-2946.3765275879014,46500.0
1957-03-18,29716.155642902657,-2947.734351461237,46499.0
1957-03-19,29721.611306473187,-2953.514067500809,46502.0
1957-03-20,29723.51557152649,-2954.5764619015017,46503.0
1957-03-21,29719.569450381576,-2943.707982111367,46502.0
1957-03-22,29706.03299727276,-2948.475464531124,46504.0
1957-03-23,29718.71190307711,-2952.352929766864,46502.0
1957-03-24,29725.8493657753,-2951.315551281573,46499.0
1957-03-25,29700.80007269856,-2950.573510622856,46504.0
1957-03-26,29720.050336947657,-2948.993721474743,46503.0
1957-03-27,29713.993879758964,-2949.265622768972,46509.0
1957-03-28,29659.793554114724,-2958.698248773412,46509.0
1957-03-29,29690.36828436368,-2944.304185856336,46506.0
1957-03-30,29686.43939284654,-2953.5072667676227,46497.0
1957-03-31,29706.684824298383,-2952.0307840197415,46494.0
1957-04-01,29676.831859948772,-2949.0642170576075,46497.0
1957-04-02,29685.44430554748,-2953.4082654178837,46493.0
1957-04-03,29714.988990069738,-2949.3643925487036,46492.0
1957-04-04,29708.503217950034,-2953.9569308052546,46493.0
1957-04-05,29714.73149632632,-2951.9575032904177,46494.0
1957-04-06,29705.260070200326,-2956.2523846522527,46499.0
1957-04-07,29739.523085082954,-2955.294007678089,46495.0
1957-04-08,29726.021016048366,-2949.586166473365,46493.0
1957-04-09,29687.60626375218,-2951.8791181927304,46494.0
1957-04-10,29666.758983539985,-2959.393081790536,46505.0
1957-04-11,29709.584228439733,-2953.19165873891,46498.0
1957-04-12,29731.905865352925,-2951.043478804131,46496.0
1957-04-13,29729.006355598718,-2949.8823889726764,46494.0
1957-04-14,29754.05589564533,-2950.6198939906303,46493.0
1957-04-15,29751.979820892895,-2951.2879793713773,46476.0
1957-04-16,29730.001468782168,-2949.98112980578,46506.0
1957-04-17,29746.266508073106,-2948.0998678281394,46505.0
1957-04-18,29704.299949331544,-2945.685747010713,46502.0
1957-04-19,29671.992476367242,-2957.3000325306343,46508.0
1957-04-20,29713.993879758964,-2949.265622768972,46510.0
1957-04-21,29724.11657134493,-2948.5240465523793,46507.0
1957-04-22,29753.79829218999,-2953.216413958214,46502.0
1957-04-23,NA,NA,NA
1957-04-24,NA,NA,NA
1957-04-25,NA,NA,NA
1957-04-26,NA,NA,46504.0
1957-04-27,NA,NA,NA
1957-04-28,NA,NA,NA
1957-04-29,NA,NA,NA
1957-04-30,NA,NA,46503.0
1957-05-01,29711.57442030927,-2953.3894877621374,46503.0
1957-05-02,29728.83468808707,-2951.6119474603975,46502.0
1957-05-03,29727.495955265564,-2954.972119947957,46503.0
1957-05-04,29710.321488023972,-2955.883299161362,46502.0
1957-05-05,29736.279803254165,-2957.592342189564,46503.0
1957-05-06,29695.481105936848,-2953.5344736345405,46503.0
1957-05-07,29741.85696846068,-2952.0311766014415,46493.0
1957-05-08,29759.288910181574,-2948.516332046361,46491.0
1957-05-09,29733.15839819354,-2948.547552259065,46495.0
1957-05-10,29743.023776395334,-2950.399572393842,46497.0
1957-05-11,NA,NA,NA
1957-05-12,NA,NA,NA
1957-05-13,29736.05796400834,-2949.7085891890924,46496.0
1957-05-14,29749.680394189196,-2944.068858500948,46498.0
1957-05-15,29753.97005300346,-2951.485403144163,46500.0
1957-05-16,29754.141713110523,-2949.754382340402,46496.0
1957-05-17,29758.208004061897,-2949.2833683772474,46488.0
1957-05-18,29753.403884043488,-2947.059265265286,46485.0
1957-05-19,29754.399014445306,-2947.1578324168718,46488.0
1957-05-20,29734.80533271062,-2952.204739818046,46494.0
1957-05-21,29741.94282698358,-2951.166019803024,46493.0
1957-05-22,29760.19825339336,-2949.4806184687654,46494.0
1957-05-23,29749.251882070304,-2948.3957429654165,46491.0
1957-05-24,29750.81296125766,-2952.920104619021,46492.0
1957-05-25,29753.97005300346,-2951.485403144163,46495.0
1957-05-26,29721.697208140202,-2952.6494996241986,46497.0
1957-05-27,29739.043312174195,-2950.004724848271,46496.0
1957-05-28,29743.933053350484,-2951.3635014692313,46494.0
1957-05-29,29748.085182087678,-2950.0277963530402,46493.0
1957-05-30,29736.537788647995,-2954.997350981876,46497.0
1957-05-31,29742.901021056914,-2961.745912736513,46498.0
1957-06-01,29752.459369634453,-2956.5795200283474,46498.0
1957-06-02,29765.653663265624,-2955.2675003325658,46497.0
1957-06-03,29754.191426466645,-2959.3738454576232,46494.0
1957-06-04,29728.711466647026,-2962.9530088831025,46499.0
1957-06-05,29726.72132663721,-2962.754658835647,46495.0
1957-06-06,29704.226333720722,-2966.62129620421,46498.0
1957-06-07,29724.127329522493,-2968.6088489954495,46490.0
1957-06-08,29735.234398978446,-2947.8799564787146,46491.0
1957-06-09,29752.49446466586,-2946.095234378439,46493.0
1957-06-10,29753.060776719056,-2950.521211051032,46491.0
1957-06-11,29757.5208688973,-2956.208337912215,46479.0
1957-06-12,29757.692803767557,-2954.477110522367,46481.0
1957-06-13,29751.550258771116,-2955.6151981975454,46481.0
1957-06-14,29755.70258889304,-2954.2795130698178,46479.0
1957-06-15,29747.22579521735,-2958.681038631156,46482.0
1957-06-16,29763.491479023483,-2956.801477626884,46481.0
1957-06-17,29755.923222159832,-2962.168495701978,46484.0
1957-06-18,29739.69496679009,-2953.563827358406,46483.0
1957-06-19,29722.778189220815,-2951.883756921911,46488.0
1957-06-20,29745.75151452046,-2953.2915258070693,46485.0
1957-06-21,29737.274893432637,-2957.6913145933454,46489.0
1957-06-22,29738.442010548013,-2956.0601795757075,46493.0
