date,X,Y,Z
1973-01-01,2506.0,1535.0,NA
1973-01-02,2498.0,1525.0,NA
1973-01-03,2506.0,1533.0,NA
1973-01-04,2519.0,1533.0,59990.0
1973-01-05,NA,NA,60049.0
1973-01-06,NA,NA,60047.0
1973-01-07,NA,NA,60048.0
1973-01-08,NA,NA,60085.0
1973-01-09,NA,NA,60095.0
1973-01-10,NA,NA,60062.0
1973-01-11,NA,NA,60055.0
1973-01-12,NA,NA,60079.0
1973-01-13,NA,NA,60077.0
1973-01-14,NA,NA,60045.0
1973-01-15,NA,NA,60039.0
1973-01-16,2509.0,1552.0,60049.0
1973-01-17,2513.0,1554.0,60050.0
1973-01-18,2514.0,1554.0,60047.0
1973-01-19,NA,NA,NA
1973-01-20,NA,NA,NA
1973-01-21,NA,NA,NA
1973-01-22,2521.0,1558.0,60059.0
1973-01-23,2500.0,1551.0,60065.0
1973-01-24,2489.0,1534.0,60059.0
1973-01-25,2482.0,1540.0,60080.0
1973-01-26,2481.0,1543.0,60064.0
1973-01-27,2470.0,1544.0,60071.0
1973-01-28,2474.0,1540.0,60080.0
1973-01-29,2471.0,1542.0,60057.0
1973-01-30,2485.0,1545.0,60060.0
1973-01-31,2492.0,1546.0,60033.0
1973-02-01,2477.0,1527.0,60065.0
1973-02-02,2473.0,1531.0,60040.0
1973-02-03,2467.0,1522.0,60050.0
1973-02-04,2504.0,1544.0,60036.0
1973-02-05,2520.0,1544.0,60047.0
1973-02-06,2521.0,1558.0,60058.0
1973-02-07,2511.0,1532.0,60040.0
1973-02-08,2484.0,1530.0,60050.0
1973-02-09,2497.0,1526.0,60061.0
1973-02-10,2518.0,1550.0,60030.0
1973-02-11,2517.0,1546.0,60048.0
1973-02-12,2515.0,1543.0,60037.0
1973-02-13,2515.0,1546.0,60028.0
1973-02-14,2530.0,1556.0,60028.0
1973-02-15,2530.0,1560.0,60031.0
1973-02-16,2509.0,1551.0,60015.0
1973-02-17,2492.0,1531.0,60047.0
1973-02-18,2501.0,1552.0,60047.0
1973-02-19,2485.0,1540.0,60028.0
1973-02-20,2492.0,1553.0,60021.0
1973-02-21,2476.0,1553.0,60029.0
1973-02-22,2454.0,1546.0,60094.0
1973-02-23,2463.0,1544.0,60090.0
1973-02-24,2470.0,1540.0,60109.0
1973-02-25,2506.0,1520.0,60116.0
1973-02-26,2472.0,1542.0,60082.0
1973-02-27,2459.0,1531.0,60117.0
1973-02-28,2505.0,1541.0,60061.0
1973-03-01,2475.0,1540.0,60080.0
1973-03-02,2466.0,1550.0,60108.0
1973-03-03,2519.0,1539.0,60071.0
1973-03-04,2508.0,1539.0,60040.0
1973-03-05,2438.0,1534.0,60045.0
1973-03-06,2522.0,1546.0,60057.0
1973-03-07,2529.0,1544.0,60048.0
1973-03-08,2522.0,1552.0,60044.0
1973-03-09,2526.0,1544.0,60057.0
1973-03-10,2532.0,1552.0,60037.0
1973-03-11,2537.0,1552.0,60034.0
1973-03-12,2522.0,1554.0,60047.0
1973-03-13,2504.0,1542.0,60054.0
1973-03-14,2516.0,1545.0,60044.0
1973-03-15,2521.0,1548.0,60041.0
1973-03-16,2519.0,1554.0,60019.0
1973-03-17,2533.0,1561.0,60023.0
1973-03-18,2502.0,1563.0,60053.0
1973-03-19,2455.0,1552.0,60126.0
1973-03-20,2466.0,1530.0,60145.0
1973-03-21,2456.0,1538.0,60152.0
1973-03-22,2465.0,1537.0,60112.0
1973-03-23,2469.0,1523.0,60143.0
1973-03-24,2474.0,1552.0,60133.0
1973-03-25,2473.0,1533.0,60122.0
1973-03-26,2495.0,1546.0,60064.0
1973-03-27,2502.0,1552.0,60097.0
1973-03-28,2480.0,1542.0,60094.0
1973-03-29,2491.0,1532.0,60062.0
1973-03-30,2504.0,1544.0,60070.0
1973-03-31,2488.0,1540.0,60076.0
1973-04-01,2485.0,1573.0,60118.0
1973-04-02,2541.0,1551.0,60096.0
1973-04-03,2544.0,1556.0,60099.0
1973-04-04,2535.0,1554.0,60061.0
1973-04-05,2529.0,1543.0,60075.0
1973-04-06,2521.0,1544.0,60057.0
1973-04-07,2519.0,1542.0,60052.0
1973-04-08,2542.0,1556.0,60043.0
1973-04-09,2529.0,1546.0,60048.0
1973-04-10,2505.0,1539.0,60035.0
1973-04-11,2496.0,1521.0,60078.0
1973-04-12,2528.0,1547.0,60046.0
1973-04-13,2567.0,1575.0,60084.0
1973-04-14,2533.0,1538.0,60052.0
1973-04-15,2495.0,1527.0,60034.0
1973-04-16,2495.0,1545.0,60086.0
1973-04-17,2476.0,1539.0,60082.0
1973-04-18,2485.0,1536.0,60087.0
1973-04-19,2475.0,1545.0,60114.0
1973-04-20,2477.0,1535.0,60113.0
1973-04-21,2478.0,1515.0,60121.0
1973-04-22,2516.0,1534.0,60107.0
1973-04-23,2508.0,1526.0,60095.0
1973-04-24,2491.0,1535.0,60066.0
1973-04-25,2598.0,1572.0,60005.0
1973-04-26,2483.0,1533.0,60059.0
1973-04-27,2512.0,1527.0,60082.0
1973-04-28,2515.0,1548.0,60076.0
1973-04-29,2568.0,1561.0,60057.0
1973-04-30,2557.0,1561.0,60057.0
1973-05-01,NA,NA,NA
1973-05-02,NA,NA,NA
1973-05-03,NA,NA,NA
1973-05-04,NA,NA,NA
1973-05-05,NA,NA,NA
1973-05-06,NA,NA,NA
1973-05-07,NA,NA,NA
1973-05-08,NA,NA,NA
1973-05-09,NA,NA,NA
1973-05-10,NA,NA,NA
1973-05-11,NA,NA,NA
1973-05-12,2505.0,1555.0,60028.0
1973-05-13,2529.0,1541.0,60014.0
1973-05-14,2453.0,1491.0,60024.0
1973-05-15,2504.0,1538.0,60083.0
1973-05-16,2499.0,1497.0,60096.0
1973-05-17,2505.0,1534.0,60094.0
1973-05-18,2502.0,1531.0,60084.0
1973-05-19,2511.0,1540.0,60090.0
1973-05-20,2504.0,1538.0,60060.0
1973-05-21,2513.0,1482.0,60040.0
1973-05-22,2524.0,1512.0,60038.0
1973-05-23,2509.0,1506.0,60004.0
1973-05-24,2534.0,1540.0,60043.0
1973-05-25,2496.0,1539.0,60015.0
1973-05-26,2519.0,1535.0,60028.0
1973-05-27,2528.0,1539.0,60006.0
1973-05-28,2589.0,1604.0,60141.0
1973-05-29,2552.0,1569.0,60032.0
1973-05-30,2551.0,1568.0,60037.0
1973-05-31,2545.0,1576.0,60028.0
1973-06-01,2540.0,1548.0,60030.0
1973-06-02,2623.0,1592.0,60033.0
1973-06-03,2599.0,1574.0,60064.0
1973-06-04,2551.0,1565.0,60063.0
1973-06-05,2568.0,1547.0,60057.0
1973-06-06,2545.0,1534.0,60057.0
1973-06-07,2553.0,1554.0,60049.0
1973-06-08,2551.0,1522.0,60034.0
1973-06-09,2603.0,1580.0,60030.0
1973-06-10,2476.0,1560.0,60006.0
1973-06-11,2514.0,1533.0,60070.0
1973-06-12,2466.0,1509.0,60096.0
1973-06-13,2510.0,1528.0,60042.0
1973-06-14,2530.0,1529.0,60048.0
1973-06-15,2515.0,1548.0,60036.0
1973-06-16,2516.0,1546.0,60032.0
1973-06-17,2552.0,1538.0,60037.0
1973-06-18,2482.0,1530.0,60042.0
1973-06-19,2506.0,1523.0,60045.0
1973-06-20,2521.0,1516.0,60078.0
1973-06-21,2536.0,1533.0,60041.0
1973-06-22,2522.0,1545.0,60014.0
1973-06-23,2549.0,1552.0,60017.0
1973-06-24,2564.0,1582.0,60064.0
1973-06-25,2542.0,1560.0,60037.0
1973-06-26,2546.0,1562.0,60048.0
1973-06-27,2554.0,1551.0,60027.0
1973-06-28,2529.0,1515.0,60022.0
1973-06-29,2655.0,1584.0,NA
1973-06-30,2619.0,1568.0,60066.0
1973-07-01,2567.0,1565.0,NA
1973-07-02,2576.0,1552.0,60062.0
1973-07-03,2583.0,1553.0,60051.0
1973-07-04,2536.0,1548.0,60024.0
1973-07-05,2538.0,1542.0,60031.0
1973-07-06,2559.0,1556.0,60049.0
1973-07-07,2549.0,1550.0,60035.0
1973-07-08,2538.0,1535.0,60044.0
1973-07-09,2510.0,1535.0,60044.0
1973-07-10,2528.0,1535.0,60014.0
1973-07-11,2512.0,1531.0,60012.0
1973-07-12,2514.0,1537.0,60005.0
1973-07-13,2526.0,1535.0,60031.0
1973-07-14,2528.0,1526.0,60006.0
1973-07-15,2479.0,1515.0,60032.0
1973-07-16,2535.0,1529.0,60051.0
1973-07-17,2525.0,1537.0,60019.0
1973-07-18,2506.0,1522.0,60012.0
1973-07-19,2516.0,1530.0,60019.0
1973-07-20,2543.0,1540.0,60033.0
1973-07-21,2518.0,1542.0,60022.0
1973-07-22,2529.0,1538.0,60040.0
1973-07-23,2501.0,1541.0,60018.0
1973-07-24,2511.0,1527.0,60023.0
1973-07-25,2513.0,1522.0,60022.0
1973-07-26,2621.0,1585.0,60029.0
1973-07-27,2584.0,1500.0,60090.0
1973-07-28,NA,NA,NA
1973-07-29,2558.0,1553.0,60035.0
1973-07-30,2556.0,1564.0,60049.0
1973-07-31,2591.0,1558.0,60117.0
1973-08-01,2561.0,1558.0,60100.0
1973-08-02,2526.0,1538.0,60062.0
1973-08-03,2501.0,1540.0,60006.0
1973-08-04,2507.0,1550.0,60028.0
1973-08-05,2522.0,1554.0,60054.0
1973-08-06,2558.0,1549.0,60084.0
1973-08-07,2557.0,1579.0,60068.0
1973-08-08,2529.0,1535.0,60044.0
1973-08-09,2545.0,1550.0,60042.0
1973-08-10,2524.0,1531.0,60037.0
1973-08-11,2514.0,1551.0,60048.0
1973-08-12,2501.0,1538.0,60023.0
1973-08-13,2501.0,1515.0,60034.0
1973-08-14,2596.0,1542.0,60037.0
1973-08-15,2508.0,1537.0,60044.0
1973-08-16,2513.0,1545.0,60021.0
1973-08-17,2509.0,1547.0,60034.0
1973-08-18,2541.0,1554.0,60057.0
1973-08-19,2549.0,1560.0,60037.0
1973-08-20,2515.0,1546.0,60028.0
1973-08-21,2513.0,1542.0,60044.0
1973-08-22,2526.0,1574.0,60030.0
1973-08-23,2562.0,1587.0,60019.0
1973-08-24,2558.0,1566.0,60074.0
1973-08-25,2563.0,1556.0,60080.0
1973-08-26,2540.0,1559.0,60071.0
1973-08-27,2528.0,1539.0,60069.0
1973-08-28,2538.0,1563.0,60090.0
1973-08-29,2528.0,1545.0,60102.0
1973-08-30,2533.0,1541.0,60094.0
1973-08-31,2618.0,1429.0,60085.0
