date,X,Y,Z
1936-01-01,19716.734020288917,-3324.2178889449538,41346.0
1936-01-02,19721.857846540825,-3323.9017856784026,41345.0
1936-01-03,19722.84393943315,-3324.0679807676865,41346.0
1936-01-04,19726.594852507114,-3325.88041352057,41342.0
1936-01-05,19730.539185394395,-3326.5454233508167,41339.0
1936-01-06,19730.248814414666,-3328.2672250419787,41341.0
1936-01-07,19732.41456853352,-3327.4519223462853,41340.0
1936-01-08,19721.277415860968,-3327.3438485753322,41343.0
1936-01-09,19718.1067796943,-3322.0898579920645,41344.0
1936-01-10,19718.512738860587,-3325.6975760572022,41346.0
1936-01-11,19723.636602841656,-3325.381656147885,41346.0
1936-01-12,19722.84393943315,-3324.0679807676865,41344.0
1936-01-13,19722.437676458536,-3320.459621529635,41344.0
1936-01-14,19719.47931080707,-3319.9615525864056,41344.0
1936-01-15,19728.161139911714,-3322.603502929203,41342.0
1936-01-16,19732.008910514352,-3323.841806612072,41338.0
1936-01-17,19733.69096124875,-3325.89612674981,41333.0
1936-01-18,19721.56770629506,-3325.622829789901,41338.0
1936-01-19,19727.368285877652,-3321.2897364350174,41336.0
1936-01-20,19724.816125217807,-3324.4003709462545,41339.0
1936-01-21,19724.31331396725,-3321.365425913615,41336.0
1936-01-22,19722.74723787079,-3324.6416936355936,41335.0
1936-01-23,19732.801601570132,-3325.155929136429,41332.0
1936-01-24,19714.045094944257,-3316.098158152793,41344.0
1936-01-25,19706.466670998485,-3318.9497352062976,41350.0
1936-01-26,19716.424377535306,-3320.0370125845825,41343.0
1936-01-27,19724.603082673984,-3319.6441422188595,41349.0
1936-01-28,19724.409920226182,-3320.791667491788,41345.0
1936-01-29,19728.451016646395,-3320.881883443574,41345.0
1936-01-30,19726.575345755944,-3319.9760734399592,41343.0
1936-01-31,19724.892701169276,-3317.9228332435678,41340.0
1936-02-01,19732.10558880503,-3323.2678243333676,41335.0
1936-02-02,19726.98170272977,-3323.585097476058,41341.0
1936-02-03,19731.388537257993,-3315.4743841212016,41340.0
1936-02-04,19725.995600170274,-3323.418959755614,41344.0
1936-02-05,19736.726453414754,-3319.9133878880493,41344.0
1936-02-06,19739.7814699662,-3319.8368209866817,41347.0
1936-02-07,19748.65682757372,-3321.3294787969867,41344.0
1936-02-08,19742.546719867514,-3321.482954020446,41346.0
1936-02-09,19737.519411650665,-3321.2275553947175,41351.0
1936-02-10,19733.650170675064,-3314.0837257703697,41352.0
1936-02-11,19737.519411650665,-3321.2275553947175,41355.0
1936-02-12,19741.657183517036,-3320.7427856565837,41353.0
1936-02-13,19747.284108116513,-3323.461351261507,41351.0
1936-02-14,19742.450093492196,-3322.0572400200967,41354.0
1936-02-15,19733.553759538332,-3314.657752983026,41355.0
1936-02-16,19736.43666116574,-3321.635729545458,41348.0
1936-02-17,19721.407448871003,-3308.4886633650985,41356.0
1936-02-18,19720.63699460681,-3313.0779536475197,41359.0
1936-02-19,19722.898428571436,-3311.688176180593,41360.0
1936-02-20,19729.99448844498,-3311.6994860540512,41355.0
1936-02-21,19724.196008958497,-3316.035705505249,41358.0
1936-02-22,19726.14597881843,-3310.463535873122,41355.0
1936-02-23,19725.857011264856,-3312.184954245923,41354.0
1936-02-24,19730.20945207066,-3316.456539353647,41353.0
1936-02-25,19729.60902115562,-3313.9951527325547,41352.0
1936-02-26,19725.953350474043,-3311.6111509236453,41356.0
1936-02-27,19724.17356146228,-3310.13252262086,41354.0
1936-02-28,19731.388537257993,-3315.4743841212016,41349.0
1936-02-29,19737.016095360003,-3318.191020948055,41348.0
1936-03-01,19740.16761689567,-3317.539970650472,41345.0
1936-03-02,19741.732535235948,-3314.2601749419823,41341.0
1936-03-03,19749.139686481838,-3318.45711797337,41341.0
1936-03-04,19751.80850274635,-3320.6779233820625,41339.0
1936-03-05,19750.41539071012,-3316.8992891555818,41339.0
1936-03-06,19747.167336568076,-3318.1257031009063,41338.0
1936-03-07,19744.208811697437,-3317.628580792212,41340.0
1936-03-08,19744.905379299387,-3319.517368912859,41341.0
1936-03-09,19735.547138914055,-3320.8956815445654,41340.0
1936-03-10,19741.946897822116,-3319.019988426058,41337.0
1936-03-11,19747.574059639774,-3321.7380629788245,41337.0
1936-03-12,19747.36034387784,-3316.976853859676,41338.0
1936-03-13,19751.01548839419,-3319.3630680015813,41337.0
1936-03-14,19749.622127616898,-3315.5846869511506,41338.0
1936-03-15,19744.186812263728,-3311.719662415747,41339.0
1936-03-16,19742.525875399504,-3315.5743181507764,41343.0
1936-03-17,19738.654560538835,-3308.430464694625,41348.0
1936-03-18,19737.475817712962,-3309.413444282231,41345.0
1936-03-19,19735.695833463706,-3307.93454726712,41344.0
1936-03-20,19732.15954890575,-3310.882591776328,41348.0
1936-03-21,19724.149348698546,-3304.2296333994086,41347.0
1936-03-22,19732.54465401494,-3308.586628351515,41344.0
1936-03-23,19724.269840969366,-3309.55876826902,41351.0
1936-03-24,19726.915824530814,-3305.872963662664,41352.0
1936-03-25,19724.5336797551,-3301.9346020487455,41349.0
1936-03-26,19725.737225704386,-3306.855289011039,41348.0
1936-03-27,19725.42389322057,-3302.673497753458,41353.0
1936-03-28,19729.682175902017,-3307.5166270019417,41349.0
1936-03-29,19733.530886754543,-3308.7519915376583,41349.0
1936-03-30,19736.48958497336,-3309.248081096088,41347.0
1936-03-31,19740.434515931778,-3309.90953384066,41350.0
1936-04-01,19738.269473558754,-3310.7271390403976,41355.0
1936-04-02,19738.076829858044,-3311.8754594068087,41350.0
1936-04-03,19737.93163802254,-3300.6360982011997,41355.0
1936-04-04,19732.135549184786,-3304.9774081827104,41354.0
1936-04-05,19735.599601198464,-3308.5086339882955,41352.0
1936-04-06,19742.021683826235,-3312.5373711604625,41348.0
1936-04-07,19737.884119351085,-3313.02376856372,41350.0
1936-04-08,19736.58583874787,-3308.6739684860213,41350.0
1936-04-09,19741.22814291124,-3311.223400728072,41347.0
1936-04-10,19739.95290031145,-3312.780628638957,41349.0
1936-04-11,19740.3382262145,-3310.4837584036854,41345.0
1936-04-12,19740.04925684214,-3312.2064152836356,41349.0
1936-04-13,19737.379542427596,-3309.9875827804235,41348.0
1936-04-14,19733.31406277786,-3303.9945671525593,41350.0
1936-04-15,19723.16309191827,-3304.0644136567516,41355.0
1936-04-16,19729.342725006973,-3297.430005203212,41353.0
1936-04-17,19733.89041805602,-3300.550403820074,41353.0
1936-04-18,19725.369238299205,-3290.868033324874,41357.0
1936-04-19,19724.917743770027,-3299.6395259946694,41360.0
1936-04-20,19709.90373353084,-3292.413068700085,41362.0
1936-04-21,19714.766912793388,-3299.710074268198,41357.0
1936-04-22,19708.05481596501,-3297.4079776270382,41356.0
1936-04-23,19716.380133032977,-3308.2349447617125,41362.0
1936-04-24,19725.3278139974,-3303.2472856782297,41364.0
1936-04-25,19727.492507748462,-3302.4299170048007,41360.0
1936-04-26,19736.36899172855,-3303.915861872966,41357.0
1936-04-27,19738.245418751165,-3304.8202355269973,41353.0
1936-04-28,19739.01395088032,-3300.2268478018423,41359.0
1936-04-29,19738.05311870021,-3305.9685545039524,41358.0
1936-04-30,19742.574980040616,-3303.1836396837366,41355.0
1936-05-01,19738.12362784397,-3299.487786300728,41353.0
1936-05-02,19741.492600369224,-3303.592878907324,41352.0
1936-05-03,19749.19057969979,-3306.0622266825385,41349.0
1936-05-04,19744.860741084296,-3307.6992479952078,41356.0
1936-05-05,19734.588601158463,-3302.4375456662992,41356.0
1936-05-06,19741.204232335145,-3305.3156365516606,41356.0
1936-05-07,19745.245475708638,-3305.4018067411316,41354.0
1936-05-08,19745.053141811397,-3306.5505329639077,41357.0
1936-05-09,19745.629943010947,-3303.1043207367006,41349.0
1936-05-10,19748.22804964624,-3311.8068933990508,41351.0
1936-05-11,19748.13170473371,-3312.38134466598,41344.0
1936-05-12,19734.90199592166,-3306.621116996499,41354.0
1936-05-13,19733.192055880183,-3298.663408980545,41358.0
1936-05-14,19740.57598684308,-3296.9464217172845,41362.0
1936-05-15,19738.507407066965,-3297.191129000956,41359.0
1936-05-16,19734.108072356594,-3305.307790289791,41363.0
1936-05-17,19732.01380922841,-3299.646501129982,41360.0
1936-05-18,19731.341520388538,-3303.6642998027837,41362.0
1936-05-19,19722.24668774311,-3297.4234771721203,41365.0
1936-05-20,19726.698316346166,-3301.1171648194136,41365.0
1936-05-21,19729.24679830916,-3298.0039071243987,41366.0
1936-05-22,19729.054894831344,-3299.151702594373,41363.0
1936-05-23,19733.506247994905,-3302.8465238860426,41359.0
1936-05-24,19736.0805955284,-3305.6381723968716,41360.0
1936-05-25,19742.068885414992,-3300.1472881568743,41361.0
1936-05-26,19734.396439732976,-3303.5856519022627,41362.0
1936-05-27,19734.657956668147,-3295.9580296652057,41366.0
1936-05-28,19735.766990991462,-3301.4544184785905,41362.0
1936-05-29,19729.342725006973,-3297.430005203212,41367.0
1936-05-30,19739.712171799256,-3302.1143793818346,41363.0
1936-05-31,19739.17837767995,-3293.171871332002,41360.0
1936-06-01,19734.684656823334,-3301.863488356491,41367.0
1936-06-02,19735.1646846657,-3298.993159908618,41368.0
1936-06-03,19732.397606960076,-3297.3505547388113,41365.0
1936-06-04,19743.43907491802,-3298.0149325011066,41367.0
1936-06-05,19741.3704736452,-3298.259665685761,41364.0
1936-06-06,19746.78174093365,-3296.2115945323335,41360.0
1936-06-07,19755.902072109096,-3308.3673189710307,41356.0
1936-06-08,19749.165114673677,-3300.1524621381195,41363.0
1936-06-09,19736.0805955284,-3305.6381723968716,41366.0
1936-06-10,19734.15076328529,-3292.923116613337,41368.0
1936-06-11,19738.4114873139,-3297.765297512038,41365.0
1936-06-12,19741.3704736452,-3298.259665685761,41362.0
1936-06-13,19745.02782859326,-3300.6419145489845,41363.0
1936-06-14,19745.28819327211,-3293.01050174896,41366.0
1936-06-15,19741.178555267437,-3299.4081664821424,41364.0
1936-06-16,19739.397816091,-3297.930086903279,41367.0
1936-06-17,19739.685539621165,-3296.20748692662,41370.0
1936-06-18,19751.93202934256,-3301.7960427972407,41365.0
1936-06-19,19690.45018475976,-3305.6508468823868,41370.0
1936-06-20,19722.697201236075,-3288.6532362586877,41376.0
1936-06-21,19732.876978447042,-3294.4805589765892,41373.0
1936-06-22,19736.53473992654,-3296.861607600896,41376.0
1936-06-23,19737.52107349675,-3297.026368300926,41373.0
1936-06-24,19745.918118054466,-3301.3811768846695,41373.0
1936-06-25,19746.49401701801,-3297.9348137693632,41374.0
1936-06-26,19748.370742769075,-3298.8387360012566,41369.0
1936-06-27,19742.644569082957,-3296.7015968781902,41370.0
1936-06-28,19749.644893504206,-3297.280027611129,41365.0
1936-06-29,19746.877615487785,-3295.6371825411006,41363.0
1936-06-30,19748.56262800654,-3297.689816781331,41363.0
1936-07-01,19747.384409198865,-3298.6739753012266,41360.0
1936-07-02,19720.820083457955,-3287.750634686484,41375.0
1936-07-03,19723.32891195262,-3297.014654340179,41373.0
1936-07-04,19731.890630502505,-3294.3158843510278,41367.0
