date,X,Y,Z
1989-01-01,NA,NA,NA
1989-01-02,NA,NA,NA
1989-01-03,NA,NA,NA
1989-01-04,NA,NA,NA
1989-01-05,NA,NA,NA
1989-01-06,NA,NA,NA
1989-01-07,NA,NA,NA
1989-01-08,NA,NA,NA
1989-01-09,NA,NA,NA
1989-01-10,NA,NA,NA
1989-01-11,NA,NA,NA
1989-01-12,NA,NA,NA
1989-01-13,NA,NA,NA
1989-01-14,NA,NA,NA
1989-01-15,NA,NA,NA
1989-01-16,NA,NA,NA
1989-01-17,-246.0,-9582.0,-63996.0
1989-01-18,-222.0,-9681.0,-63964.0
1989-01-19,-199.0,-9654.0,-63982.0
1989-01-20,-228.0,-9587.0,-64021.0
1989-01-21,-357.0,-9561.0,-64041.0
1989-01-22,-296.0,-9611.0,-64088.0
1989-01-23,NA,NA,NA
1989-01-24,-275.0,-9599.0,-64032.0
1989-01-25,-288.0,-9582.0,-64029.0
1989-01-26,-280.0,-9595.0,-64023.0
1989-01-27,-284.0,-9613.0,-64054.0
1989-01-28,-244.0,-9624.0,-64046.0
1989-01-29,-333.0,-9575.0,-64039.0
1989-01-30,-316.0,-9593.0,-64029.0
1989-01-31,-222.0,-9640.0,-64022.0
1989-02-01,-183.0,-9663.0,-64008.0
1989-02-02,-165.0,-9689.0,-64018.0
1989-02-03,-155.0,-9666.0,-63982.0
1989-02-04,-191.0,-9642.0,-63998.0
1989-02-05,-193.0,-9662.0,-64001.0
1989-02-06,-209.0,-9663.0,-64002.0
1989-02-07,-223.0,-9653.0,-64003.0
1989-02-08,-218.0,-9633.0,-64012.0
1989-02-09,-188.0,-9667.0,-64011.0
1989-02-10,-233.0,-9664.0,-63972.0
1989-02-11,-205.0,-9617.0,-63989.0
1989-02-12,-173.0,-9667.0,-63959.0
1989-02-13,-188.0,-9650.0,-63978.0
1989-02-14,-239.0,-9644.0,-63975.0
1989-02-15,-237.0,-9634.0,-64014.0
1989-02-16,-247.0,-9633.0,-64014.0
1989-02-17,-345.0,-9578.0,-64014.0
1989-02-18,-353.0,-9576.0,-64063.0
1989-02-19,-330.0,-9586.0,-64032.0
1989-02-20,-306.0,-9590.0,-64050.0
1989-02-21,-321.0,-9604.0,-64037.0
1989-02-22,-342.0,-9591.0,-64024.0
1989-02-23,-249.0,-9618.0,-64030.0
1989-02-24,NA,NA,NA
1989-02-25,NA,NA,NA
1989-02-26,NA,NA,NA
1989-02-27,NA,NA,NA
1989-02-28,NA,NA,NA
1989-03-01,NA,NA,NA
1989-03-02,NA,NA,NA
1989-03-03,NA,NA,NA
1989-03-04,-229.0,-9632.0,-63924.0
1989-03-05,-286.0,-9619.0,-63959.0
1989-03-06,-274.0,-9597.0,-63997.0
1989-03-07,-268.0,-9649.0,-63979.0
1989-03-08,-243.0,-9651.0,-64027.0
1989-03-09,-232.0,-9654.0,-63950.0
1989-03-10,-250.0,-9655.0,-63943.0
1989-03-11,-271.0,-9637.0,-64003.0
1989-03-12,-256.0,-9614.0,-63948.0
1989-03-13,-239.0,-9613.0,-64052.0
1989-03-14,-377.0,-9683.0,-64157.0
1989-03-15,-306.0,-9610.0,-64076.0
1989-03-16,-320.0,-9530.0,-64065.0
1989-03-17,NA,NA,NA
1989-03-18,-325.0,-9554.0,-64050.0
1989-03-19,-362.0,-9544.0,-64028.0
1989-03-20,-345.0,-9624.0,-64088.0
1989-03-21,-349.0,-9637.0,-64073.0
1989-03-22,-272.0,-9633.0,-64013.0
1989-03-23,-319.0,-9558.0,-64071.0
1989-03-24,-334.0,-9614.0,-64055.0
1989-03-25,-288.0,-9589.0,-64006.0
1989-03-26,-314.0,-9595.0,-64021.0
1989-03-27,-279.0,-9588.0,-64015.0
1989-03-28,-295.0,-9586.0,-64030.0
1989-03-29,-273.0,-9637.0,-64029.0
1989-03-30,-311.0,-9626.0,-64061.0
1989-03-31,-288.0,-9617.0,-64032.0
1989-04-01,-292.0,-9627.0,-64010.0
1989-04-02,-287.0,-9597.0,-63995.0
1989-04-03,-263.0,-9628.0,-64004.0
1989-04-04,-271.0,-9611.0,-64021.0
1989-04-05,NA,NA,NA
1989-04-06,-260.0,-9623.0,-64003.0
1989-04-07,-293.0,-9594.0,-64011.0
1989-04-08,-290.0,-9615.0,-64000.0
1989-04-09,-278.0,-9627.0,-64002.0
1989-04-10,-281.0,-9615.0,-64013.0
1989-04-11,-284.0,-9612.0,-64005.0
1989-04-12,-365.0,-9558.0,-64021.0
1989-04-13,-316.0,-9594.0,-63997.0
1989-04-14,-299.0,-9593.0,-64062.0
1989-04-15,-327.0,-9622.0,-64043.0
1989-04-16,-302.0,-9604.0,-64032.0
1989-04-17,-306.0,-9594.0,-64012.0
1989-04-18,-311.0,-9607.0,-64053.0
1989-04-19,-299.0,-9591.0,-64005.0
1989-04-20,-301.0,-9608.0,-64000.0
1989-04-21,-316.0,-9595.0,-64022.0
1989-04-22,-269.0,-9612.0,-63990.0
1989-04-23,-283.0,-9589.0,-63993.0
1989-04-24,-306.0,-9598.0,-64014.0
1989-04-25,-284.0,-9619.0,-64048.0
1989-04-26,-313.0,-9608.0,-64029.0
1989-04-27,-308.0,-9621.0,-64052.0
1989-04-28,-312.0,-9596.0,-64020.0
1989-04-29,-293.0,-9593.0,-64032.0
1989-04-30,-304.0,-9601.0,-64014.0
1989-05-01,NA,NA,NA
1989-05-02,-301.0,-9605.0,-64025.0
1989-05-03,-279.0,-9593.0,-64013.0
1989-05-04,-286.0,-9618.0,-64000.0
1989-05-05,-312.0,-9635.0,-64002.0
1989-05-06,-296.0,-9598.0,-63991.0
1989-05-07,-298.0,-9578.0,-64024.0
1989-05-08,-287.0,-9609.0,-64005.0
1989-05-09,-289.0,-9603.0,-63998.0
1989-05-10,-294.0,-9607.0,-63991.0
1989-05-11,-292.0,-9594.0,-63979.0
1989-05-12,-297.0,-9603.0,-64000.0
1989-05-13,-291.0,-9600.0,-63991.0
1989-05-14,-306.0,-9599.0,-64010.0
1989-05-15,-306.0,-9590.0,-63997.0
1989-05-16,-302.0,-9596.0,-63997.0
1989-05-17,-300.0,-9605.0,-63993.0
1989-05-18,-297.0,-9598.0,-63993.0
1989-05-19,-300.0,-9599.0,-63995.0
1989-05-20,-304.0,-9592.0,-63986.0
1989-05-21,-309.0,-9589.0,-63984.0
1989-05-22,-299.0,-9601.0,-64008.0
1989-05-23,-300.0,-9577.0,-64000.0
1989-05-24,-332.0,-9600.0,-64037.0
1989-05-25,-314.0,-9608.0,-64044.0
1989-05-26,-280.0,-9604.0,-64039.0
1989-05-27,NA,NA,NA
1989-05-28,-294.0,-9598.0,-64007.0
1989-05-29,-296.0,-9603.0,-63989.0
1989-05-30,-291.0,-9608.0,-63997.0
1989-05-31,-294.0,-9602.0,-63995.0
1989-06-01,-289.0,-9607.0,-64005.0
1989-06-02,-293.0,-9585.0,-63986.0
1989-06-03,-294.0,-9600.0,-64020.0
1989-06-04,-300.0,-9621.0,-64006.0
1989-06-05,-295.0,-9604.0,-63993.0
1989-06-06,-301.0,-9600.0,-63975.0
1989-06-07,-340.0,-9591.0,-63986.0
1989-06-08,-297.0,-9608.0,-64007.0
1989-06-09,-293.0,-9610.0,-64020.0
1989-06-10,-335.0,-9587.0,-64036.0
