date,X,Y,Z
1974-01-01,NA,NA,NA
1974-01-02,NA,NA,NA
1974-01-03,NA,NA,NA
1974-01-04,NA,NA,NA
1974-01-05,NA,NA,NA
1974-01-06,NA,NA,NA
1974-01-07,NA,NA,NA
1974-01-08,NA,NA,NA
1974-01-09,NA,NA,NA
1974-01-10,NA,NA,NA
1974-01-11,NA,NA,NA
1974-01-12,NA,NA,NA
1974-01-13,NA,NA,NA
1974-01-14,NA,NA,NA
1974-01-15,NA,NA,NA
1974-01-16,NA,NA,NA
1974-01-17,NA,NA,NA
1974-01-18,NA,NA,NA
1974-01-19,NA,NA,NA
1974-01-20,NA,NA,NA
1974-01-21,NA,NA,NA
1974-01-22,NA,NA,NA
1974-01-23,NA,NA,NA
1974-01-24,NA,NA,NA
1974-01-25,NA,NA,NA
1974-01-26,NA,NA,NA
1974-01-27,12227.000898300674,-10777.655126833226,-33826.0
1974-01-28,12224.721645262613,-10790.82094633433,-33824.0
1974-01-29,NA,NA,NA
1974-01-30,12231.051241904765,-10788.181798519152,-33826.0
1974-01-31,NA,NA,NA
1974-02-01,12229.48203510348,-10789.960618699279,-33827.0
1974-02-02,12226.534984762173,-10791.788835331548,-33825.0
1974-02-03,12234.120296683399,-10787.725504770655,-33826.0
1974-02-04,12233.247696743483,-10785.691066877462,-33826.0
1974-02-05,12232.795417891171,-10792.251167574854,-33830.0
1974-02-06,12229.359849443501,-10788.587566165426,-33830.0
1974-02-07,12228.923752890503,-10787.570293907262,-33828.0
1974-02-08,12224.913510780925,-10789.092392501143,-33826.0
1974-02-09,12232.917371160294,-10793.624441788064,-33827.0
1974-02-10,12234.923102251092,-10792.862534193719,-33823.0
1974-02-11,12229.046016978436,-10788.943299258917,-33826.0
1974-02-12,12221.738166287665,-10780.599482158099,-33832.0
1974-02-13,12229.37438027473,-10781.011606852115,-33836.0
1974-02-14,12227.476699442564,-10790.721827782847,-33825.0
1974-02-15,12227.162804895144,-10791.077506096819,-33827.0
1974-02-16,12231.539599642994,-10793.674444894348,-33826.0
1974-02-17,12229.9874833294,-10787.87607259215,-33827.0
1974-02-18,12232.045537708624,-10791.589593911665,-33820.0
1974-02-19,12229.53388959042,-10794.435827932808,-33824.0
1974-02-20,12230.719300920782,-10796.11510600382,-33823.0
1974-02-21,12216.474868732632,-10783.541476788783,-33826.0
1974-02-22,12220.90322258338,-10790.613208907602,-33827.0
1974-02-23,12217.782728310242,-10786.593030415303,-33825.0
1974-02-24,12213.459434373273,-10788.467205535664,-33817.0
1974-02-25,12216.649460278402,-10789.38723768312,-33823.0
1974-02-26,12214.644518720626,-10790.146582937981,-33824.0
1974-02-27,12222.036627519803,-10787.81834642966,-33820.0
1974-02-28,12216.89288867744,-10792.132743187633,-33822.0
1974-03-01,12222.4725243908,-10788.835636458272,-33821.0
1974-03-02,12219.333662255123,-10792.390553092431,-33824.0
1974-03-03,12221.042354844674,-10784.411192137128,-33830.0
1974-03-04,12225.977131537311,-10789.398462339164,-33827.0
1974-03-05,12220.95419347635,-10795.087521690264,-33825.0
1974-03-06,12218.026712899791,-10789.338406170562,-33820.0
1974-03-07,12219.647595000848,-10792.03510251843,-33824.0
1974-03-08,12216.021738499056,-10790.097955279112,-33822.0
1974-03-09,12223.796855700606,-10784.312283616606,-33823.0
1974-03-10,12215.707862104196,-10790.453300382043,-33826.0
1974-03-11,12215.272243331347,-10789.435945465304,-33823.0
1974-03-12,12215.130417138107,-10795.637678817657,-33820.0
1974-03-13,12214.695122512403,-10794.620144501228,-33823.0
1974-03-14,12209.257483466168,-10791.71240825224,-33831.0
1974-03-15,12214.74441082349,-10799.094173969235,-33825.0
1974-03-16,12209.064888650792,-10793.440162650388,-33855.0
1974-03-17,12196.792887642021,-10795.23910138006,-33836.0
1974-03-18,12207.6159277874,-10796.588459306548,-33832.0
1974-03-19,12219.553776012175,-10802.712877566755,-33824.0
1974-03-20,12207.978248860734,-10800.706785916522,-33830.0
1974-03-21,12193.31292361451,-10787.099700420655,-33826.0
1974-03-22,12189.340747351627,-10773.476511551564,-33834.0
1974-03-23,12195.892792817966,-10781.163341035643,-33827.0
1974-03-24,12210.722284302881,-10780.991712065686,-33823.0
1974-03-25,12216.35246361454,-10782.169006500455,-33816.0
1974-03-26,12221.914451961966,-10786.445574373574,-33822.0
1974-03-27,12220.483703849493,-10782.021472986826,-33825.0
1974-03-28,12223.483147600822,-10784.667854890977,-33827.0
1974-03-29,12216.771233666766,-10790.759965092922,-33823.0
1974-03-30,12215.707862104196,-10790.453300382043,-33814.0
1974-03-31,12216.910870764656,-10784.55862684201,-33817.0
1974-04-01,12206.260427318033,-10789.063322665681,-33826.0
1974-04-02,12215.951050911752,-10793.198827119239,-33820.0
1974-04-03,12192.512719300095,-10781.966870182148,-33825.0
1974-04-04,12194.353630616113,-10767.802168106527,-33834.0
1974-04-05,12208.404589791682,-10782.105609386015,-33831.0
1974-04-06,12211.349476311441,-10780.281302794852,-33826.0
1974-04-07,12206.15598874985,-10780.11971075953,-33822.0
1974-04-08,12205.895149337006,-10784.946342165611,-33828.0
1974-04-09,12211.262414662584,-10790.953907799296,-33825.0
1974-04-10,12211.716435109589,-10784.39825435218,-33819.0
1974-04-11,12210.844642410651,-10782.363985643922,-33817.0
1974-04-12,12216.52756851784,-10788.014560967351,-33821.0
1974-04-13,12216.213752726251,-10788.36992078516,-33822.0
1974-04-14,12214.08706128378,-10787.756637011242,-33823.0
1974-04-15,12214.016752767753,-10790.857183889919,-33820.0
1974-04-16,12220.275429472718,-10791.324173975378,-33818.0
1974-04-17,12219.404001185774,-10789.289450923316,-33818.0
1974-04-18,12187.350894742183,-10766.667180164291,-33832.0
1974-04-19,12186.275305842426,-10773.924548195755,-33828.0
1974-04-20,12194.899247878953,-10777.757528079828,-33818.0
1974-04-21,12198.401353199151,-10778.324936012514,-33818.0
1974-04-22,12193.958664671178,-10778.821692758942,-33820.0
