date,X,Y,Z
2011-01-01,8328.0,3292.0,56927.0
2011-01-02,8350.0,3301.0,56911.0
2011-01-03,8352.0,3301.0,56916.0
2011-01-04,8353.0,3305.0,56913.0
2011-01-05,8343.0,3298.0,56899.0
2011-01-06,8361.0,3309.0,56903.0
2011-01-07,8341.0,3289.0,56888.0
2011-01-08,8352.0,3298.0,56917.0
2011-01-09,8359.0,3304.0,56900.0
2011-01-10,8363.0,3298.0,56902.0
2011-01-11,8321.0,3293.0,56919.0
2011-01-12,8364.0,3298.0,56906.0
2011-01-13,8320.0,3298.0,56911.0
2011-01-14,8344.0,3297.0,56922.0
2011-01-15,8360.0,3300.0,56911.0
2011-01-16,8355.0,3302.0,56907.0
2011-01-17,8361.0,3298.0,56904.0
2011-01-18,8367.0,3301.0,56910.0
2011-01-19,8338.0,3288.0,56925.0
2011-01-20,8334.0,3278.0,56906.0
2011-01-21,8345.0,3292.0,56914.0
2011-01-22,8358.0,3298.0,56910.0
2011-01-23,8343.0,3287.0,56910.0
2011-01-24,8348.0,3293.0,56890.0
2011-01-25,8354.0,3294.0,56899.0
2011-01-26,8364.0,3297.0,56898.0
2011-01-27,8357.0,3294.0,56904.0
2011-01-28,8331.0,3298.0,56888.0
2011-01-29,8360.0,3298.0,56910.0
2011-01-30,8364.0,3298.0,56910.0
2011-01-31,8358.0,3297.0,56901.0
2011-02-01,8305.0,3282.0,56903.0
2011-02-02,8352.0,3295.0,56896.0
2011-02-03,8360.0,3293.0,56904.0
2011-02-04,8326.0,3290.0,56921.0
2011-02-05,8322.0,3274.0,56871.0
2011-02-06,8276.0,3246.0,56938.0
2011-02-07,8358.0,3286.0,56904.0
2011-02-08,8366.0,3296.0,56903.0
2011-02-09,8354.0,3291.0,56904.0
2011-02-10,8353.0,3284.0,56912.0
2011-02-11,8335.0,3282.0,56903.0
2011-02-12,8351.0,3280.0,56897.0
2011-02-13,8361.0,3296.0,56908.0
2011-02-14,8320.0,3282.0,56899.0
2011-02-15,8334.0,3280.0,56923.0
2011-02-16,8358.0,3287.0,56915.0
2011-02-17,8358.0,3296.0,56913.0
2011-02-18,8330.0,3284.0,56928.0
2011-02-19,8337.0,3266.0,56898.0
2011-02-20,8336.0,3264.0,56903.0
2011-02-21,8317.0,3269.0,56926.0
2011-02-22,8358.0,3287.0,56908.0
2011-02-23,8361.0,3291.0,56903.0
2011-02-24,NA,NA,NA
2011-02-25,8364.0,3291.0,56907.0
2011-02-26,8352.0,3287.0,56912.0
2011-02-27,8356.0,3286.0,56914.0
2011-02-28,8361.0,3291.0,56910.0
2011-03-01,8309.0,3280.0,56978.0
2011-03-02,8294.0,3246.0,56929.0
2011-03-03,8332.0,3281.0,56942.0
2011-03-04,8314.0,3269.0,56938.0
2011-03-05,8359.0,3287.0,56924.0
2011-03-06,8350.0,3287.0,56921.0
2011-03-07,8309.0,3274.0,56912.0
2011-03-08,8338.0,3274.0,56898.0
2011-03-09,8370.0,3288.0,56909.0
2011-03-10,8306.0,3257.0,56979.0
2011-03-11,8196.0,3224.0,56968.0
2011-03-12,8348.0,3279.0,56923.0
2011-03-13,8336.0,3275.0,56938.0
2011-03-14,8366.0,3286.0,56916.0
2011-03-15,8364.0,3287.0,56917.0
2011-03-16,8362.0,3286.0,56915.0
2011-03-17,8363.0,3285.0,56913.0
2011-03-18,8356.0,3281.0,56921.0
2011-03-19,8350.0,3280.0,56924.0
2011-03-20,8343.0,3282.0,56919.0
2011-03-21,8350.0,3283.0,56915.0
2011-03-22,8382.0,3288.0,56916.0
2011-03-23,8348.0,3275.0,56924.0
2011-03-24,8365.0,3285.0,56916.0
2011-03-25,8350.0,3278.0,56921.0
2011-03-26,8367.0,3284.0,56913.0
2011-03-27,8361.0,3282.0,56911.0
2011-03-28,8358.0,3280.0,56917.0
2011-03-29,8367.0,3286.0,56909.0
2011-03-30,8370.0,3285.0,56907.0
2011-03-31,8341.0,3271.0,56923.0
2011-04-01,8328.0,3278.0,56926.0
2011-04-02,8337.0,3266.0,56870.0
2011-04-03,8301.0,3255.0,56901.0
2011-04-04,8362.0,3277.0,56905.0
2011-04-05,8370.0,3281.0,56905.0
2011-04-06,8297.0,3266.0,57006.0
2011-04-07,8384.0,3283.0,56908.0
2011-04-08,8337.0,3276.0,56927.0
2011-04-09,8361.0,3263.0,56893.0
2011-04-10,8333.0,3267.0,56927.0
2011-04-11,8377.0,3280.0,56923.0
2011-04-12,8330.0,3243.0,56960.0
2011-04-13,8359.0,3254.0,56934.0
2011-04-14,8369.0,3281.0,56912.0
2011-04-15,8372.0,3284.0,56926.0
2011-04-16,8360.0,3280.0,56917.0
2011-04-17,8358.0,3275.0,56923.0
2011-04-18,8371.0,3277.0,56948.0
2011-04-19,8367.0,3277.0,56927.0
2011-04-20,8370.0,3265.0,56908.0
2011-04-21,8371.0,3277.0,56918.0
2011-04-22,8365.0,3270.0,56926.0
2011-04-23,8370.0,3273.0,56931.0
2011-04-24,8351.0,3272.0,56931.0
2011-04-25,8375.0,3278.0,56917.0
2011-04-26,8367.0,3273.0,56916.0
2011-04-27,8360.0,3272.0,56914.0
2011-04-28,NA,NA,NA
2011-04-29,NA,NA,NA
2011-04-30,NA,NA,NA
2011-05-01,8300.0,3229.0,56947.0
2011-05-02,8348.0,3260.0,56903.0
2011-05-03,8356.0,3270.0,56916.0
2011-05-04,8345.0,3256.0,56917.0
2011-05-05,8374.0,3267.0,56910.0
2011-05-06,8378.0,3269.0,56912.0
2011-05-07,8348.0,3266.0,56914.0
2011-05-08,8365.0,3273.0,56918.0
2011-05-09,8374.0,3275.0,56922.0
2011-05-10,8362.0,3263.0,56929.0
2011-05-11,8389.0,3270.0,56924.0
2011-05-12,8386.0,3273.0,56916.0
2011-05-13,8383.0,3279.0,56916.0
2011-05-14,8380.0,3279.0,56916.0
2011-05-15,8379.0,3276.0,56924.0
2011-05-16,8388.0,3266.0,56933.0
2011-05-17,8364.0,3255.0,56932.0
2011-05-18,8373.0,3270.0,56924.0
2011-05-19,8372.0,3266.0,56918.0
2011-05-20,8375.0,3272.0,56916.0
2011-05-21,8369.0,3269.0,56901.0
2011-05-22,8383.0,3274.0,56913.0
2011-05-23,8361.0,3262.0,56924.0
2011-05-24,8393.0,3279.0,56927.0
2011-05-25,8387.0,3277.0,56919.0
2011-05-26,8348.0,3262.0,56917.0
2011-05-27,8324.0,3257.0,56924.0
2011-05-28,8389.0,3245.0,56930.0
2011-05-29,8323.0,3229.0,56944.0
2011-05-30,8365.0,3253.0,56924.0
2011-05-31,8387.0,3264.0,56917.0
2011-06-01,8343.0,3254.0,56931.0
2011-06-02,8395.0,3255.0,56957.0
2011-06-03,8375.0,3264.0,56920.0
2011-06-04,8390.0,3287.0,56906.0
2011-06-05,8408.0,3272.0,56897.0
2011-06-06,8389.0,3260.0,56920.0
2011-06-07,8344.0,3262.0,56906.0
2011-06-08,8363.0,3262.0,56899.0
2011-06-09,8332.0,3236.0,56875.0
2011-06-10,8354.0,3252.0,56914.0
2011-06-11,8407.0,3252.0,56864.0
2011-06-12,8369.0,3255.0,56940.0
2011-06-13,8382.0,3267.0,56952.0
2011-06-14,8396.0,3269.0,56914.0
