date,X,Y,Z
1996-01-01,39898.876936475644,-1876.9305282752628,1607.0
1996-01-02,39889.10604907147,-1871.8193304722759,1607.0
1996-01-03,39889.99598161342,-1874.1869135348509,1608.0
1996-01-04,39889.77764003793,-1878.828312627399,1607.0
1996-01-05,39897.987166264415,-1874.5623704214206,1606.0
1996-01-06,39901.873622523504,-1877.0714989480923,1605.0
1996-01-07,39900.98386050854,-1874.7031667538843,1607.0
1996-01-08,39897.09725555214,-1872.1943224499328,1607.0
1996-01-09,39896.98826818304,-1874.5154383105994,1608.0
1996-01-10,39901.873622523504,-1877.0714989480923,1607.0
1996-01-11,39900.98386050854,-1874.7031667538843,1611.0
1996-01-12,39893.99157393892,-1874.3746419781357,1611.0
1996-01-13,39835.16540532695,-1869.2881346230909,1610.0
1996-01-14,39854.14452071854,-1870.1787405700263,1614.0
1996-01-15,39864.91449459997,-1875.3328606498626,1614.0
1996-01-16,39877.11923935047,-1871.2568425057902,1613.0
1996-01-17,39880.00700079967,-1873.7175924266385,1612.0
1996-01-18,39877.90013414067,-1875.9437335654568,1609.0
1996-01-19,39887.99818545067,-1874.0930493132084,1613.0
1996-01-20,39876.90123879138,-1875.8967433411804,1612.0
1996-01-21,39887.99818545067,-1874.0930493132084,1614.0
1996-01-22,39896.87914577708,-1876.8365478267099,1613.0
1996-01-23,39894.99047202029,-1874.421574088957,1615.0
1996-01-24,39893.99157393892,-1874.3746419781357,1613.0
1996-01-25,39898.876936475644,-1876.9305282752628,1615.0
1996-01-26,39895.88025042779,-1876.7895576024334,1618.0
1996-01-27,39885.89129693495,-1876.3196553596686,1617.0
1996-01-28,39893.882459729226,-1876.6955771538803,1616.0
1996-01-29,39874.90344809282,-1875.8027628926275,1617.0
1996-01-30,39877.01030655555,-1873.5767960941748,1616.0
1996-01-31,39874.79425083072,-1878.1225875638088,1619.0
1996-02-01,39891.77542526556,-1878.9224093025446,1619.0
1996-02-02,39887.7798548103,-1878.7342159522536,1621.0
1996-02-03,39888.8879829828,-1876.460626032498,1618.0
1996-02-04,39894.66271610612,-1881.3845348924185,1619.0
1996-02-05,39892.88356437994,-1876.6485869296039,1619.0
1996-02-06,39896.769888334624,-1879.1576509904078,1621.0
1996-02-07,39897.65938573101,-1881.5258542445474,1619.0
1996-02-08,39888.66937685635,-1881.1018961881605,1621.0
1996-02-09,39893.66382623116,-1881.3374284417087,1618.0
1996-02-10,39870.90786669568,-1875.6148019955215,1618.0
1996-02-11,39873.01471423005,-1873.38906765089,1619.0
1996-02-12,39877.90013414067,-1875.9437335654568,1623.0
1996-02-13,39884.00259312517,-1873.9053208699236,1617.0
1996-02-14,39879.89792483924,-1876.0377140140097,1619.0
1996-02-15,39873.90455274353,-1875.755772668351,1621.0
1996-02-16,39896.87914577708,-1876.8365478267099,1620.0
1996-02-17,39878.899029489956,-1875.9907237897332,1622.0
1996-02-18,39903.98055475266,-1874.843963086348,1620.0
1996-02-19,39892.88356437994,-1876.6485869296039,1620.0
1996-02-20,39880.00700079967,-1873.7175924266385,1626.0
1996-02-21,39894.99047202029,-1874.421574088957,1622.0
1996-02-22,39890.994879694794,-1874.233845645672,1618.0
1996-02-23,39881.00589888105,-1873.7645245374597,1623.0
1996-02-24,39875.1214377303,-1871.163094511376,1623.0
1996-02-25,39870.018019985924,-1873.2482713184263,1620.0
1996-02-26,NA,NA,NA
1996-02-27,NA,NA,NA
1996-02-28,39873.01471423005,-1873.38906765089,1625.0
1996-02-29,39886.9992873693,-1874.0461172023872,1625.0
1996-03-01,39893.882459729226,-1876.6955771538803,1619.0
1996-03-02,39893.99157393892,-1874.3746419781357,1625.0
1996-03-03,39893.882459729226,-1876.6955771538803,1623.0
1996-03-04,39876.90123879138,-1875.8967433411804,1625.0
1996-03-05,39887.99818545067,-1874.0930493132084,1629.0
1996-03-06,39896.87914577708,-1876.8365478267099,1625.0
1996-03-07,39892.88356437994,-1876.6485869296039,1624.0
1996-03-08,39902.65383510582,-1881.7613864980956,1627.0
1996-03-09,39902.98165667129,-1874.7970309755267,1620.0
1996-03-10,39894.881355078505,-1876.742567378157,1626.0
1996-03-11,39873.79535821691,-1878.0755392262363,1627.0
1996-03-12,39885.89129693495,-1876.3196553596686,1624.0
1996-03-13,39873.01471423005,-1873.38906765089,1632.0
1996-03-14,39886.780962196484,-1878.6871676146811,1626.0
1996-03-15,39896.87914577708,-1876.8365478267099,1626.0
1996-03-16,39905.08846203281,-1872.56931442759,1625.0
1996-03-17,39893.10165231181,-1872.0068264611043,1622.0
1996-03-18,39890.994879694794,-1874.233845645672,1626.0
1996-03-19,39892.320293891484,-1867.31828287884,1626.0
1996-03-20,39878.11814016055,-1871.3037165029973,1629.0
1996-03-21,39880.89682018852,-1876.0847042382863,1627.0
1996-03-22,39877.01030655555,-1873.5767960941748,1626.0
1996-03-23,39882.00479696242,-1873.8114566482811,1629.0
1996-03-24,39885.89129693495,-1876.3196553596686,1628.0
1996-03-25,39860.91891320283,-1875.1448997527568,1631.0
1996-03-26,39881.78649912742,-1878.4519259268177,1628.0
1996-03-27,39888.77874742411,-1878.7812642898264,1628.0
1996-03-28,39889.77764003793,-1878.828312627399,1623.0
1996-03-29,39895.88025042779,-1876.7895576024334,1631.0
1996-03-30,39904.761029245135,-1879.5340376909892,1630.0
1996-03-31,39907.64828448062,-1881.9969187516438,1629.0
1996-04-01,39900.87472717422,-1877.0245087238159,1629.0
1996-04-02,39906.86809926992,-1877.3064500694745,1630.0
1996-04-03,39912.861471365635,-1877.5883914151334,1635.0
1996-04-04,39891.88466903065,-1876.6015967053274,1630.0
1996-04-05,39898.876936475644,-1876.9305282752628,1634.0
1996-04-06,39901.873622523504,-1877.0714989480923,1632.0
1996-04-07,39905.869203920636,-1877.259459845198,1635.0
1996-04-08,39916.85705276277,-1877.7763523122394,1633.0
1996-04-09,39897.20610788401,-1869.8732002525662,1631.0
1996-04-10,39898.20501141942,-1869.9200161360006,1633.0
1996-04-11,39902.20062556107,-1870.1072796697383,1634.0
1996-04-12,39880.33341880317,-1866.7571896448019,1630.0
1996-04-13,39886.890192284234,-1876.366645583945,1633.0
1996-04-14,39872.015816148676,-1873.3421355400687,1635.0
1996-04-15,39878.009204636925,-1873.623728204996,1634.0
1996-04-16,39885.11044583114,-1871.6318344834472,1633.0
1996-04-17,39869.34544997223,-1866.242854180267,1635.0
1996-04-18,NA,NA,NA
1996-04-19,39880.7876065136,-1878.404877589245,1634.0
1996-04-20,39878.009204636925,-1873.623728204996,1634.0
1996-04-21,39880.11594178072,-1871.3974644974116,1633.0
1996-04-22,39886.9992873693,-1874.0461172023872,1636.0
1996-04-23,39879.0081027183,-1873.6706603158173,1641.0
1996-04-24,39886.780962196484,-1878.6871676146811,1638.0
1996-04-25,39893.77321049318,-1879.0165059776898,1636.0
1996-04-26,39904.979452834035,-1874.8908951971691,1637.0
1996-04-27,39910.86368066706,-1877.4944109665805,1631.0
1996-04-28,NA,NA,NA
1996-04-29,39906.97724899679,-1874.9847594188118,1640.0
1996-04-30,39909.08406527314,-1872.7568104164184,1640.0
1996-05-01,39903.09066041264,-1872.4755664331756,1638.0
1996-05-02,39912.861471365635,-1877.5883914151334,1633.0
1996-05-03,39914.74995538327,-1880.004521066716,1632.0
1996-05-04,39906.86809926992,-1877.3064500694745,1635.0
1996-05-05,39898.76767356225,-1879.2517476655532,1636.0
1996-05-06,39899.87583182493,-1876.9775184995392,1641.0
1996-05-07,39908.64717435559,-1882.0440252023534,1643.0
1996-05-08,39901.98275858991,-1874.7500988647055,1639.0
1996-05-09,39906.86809926992,-1877.3064500694745,1641.0
1996-05-10,39903.09066041264,-1872.4755664331756,1642.0
1996-05-11,39907.86699461921,-1877.3534402937512,1642.0
1996-05-12,39905.19733616731,-1870.2477273200413,1643.0
1996-05-13,39897.20610788401,-1869.8732002525662,1638.0
1996-05-14,39892.10275150172,-1871.9599524638973,1635.0
1996-05-15,39890.21378313613,-1869.5454890685257,1641.0
1996-05-16,39891.21268667154,-1869.59230495196,1640.0
1996-05-17,39888.43322665125,-1864.8106399804344,1637.0
1996-05-18,NA,NA,NA
1996-05-19,39906.86809926992,-1877.3064500694745,1644.0
1996-05-20,39901.98275858991,-1874.7500988647055,1641.0
1996-05-21,39891.88466903065,-1876.6015967053274,1643.0
1996-05-22,39896.87914577708,-1876.8365478267099,1642.0
1996-05-23,39910.972841322284,-1875.1724878620967,1643.0
1996-05-24,39915.748847997085,-1880.0515694042888,1640.0
1996-05-25,39900.87472717422,-1877.0245087238159,1652.0
1996-05-26,39897.878041126365,-1876.8835380509863,1645.0
1996-05-27,39891.66604648124,-1881.2432155402894,1641.0
1996-05-28,39900.76545878988,-1879.3458443406985,1643.0
1996-05-29,39923.7399889076,-1880.4279561048702,1640.0
1996-05-30,39898.98606434579,-1874.6093025322418,1640.0
1996-05-31,39907.86699461921,-1877.3534402937512,1643.0
1996-06-01,39899.87583182493,-1876.9775184995392,1646.0
1996-06-02,39907.86699461921,-1877.3534402937512,1641.0
1996-06-03,39904.979452834035,-1874.8908951971691,1649.0
1996-06-04,39912.861471365635,-1877.5883914151334,1644.0
1996-06-05,39910.08296608323,-1872.8036844136254,1641.0
1996-06-06,39903.09066041264,-1872.4755664331756,1646.0
1996-06-07,39902.09175960256,-1872.4286924359685,1645.0
1996-06-08,39904.19843263189,-1870.200911436607,1647.0
1996-06-09,39910.972841322284,-1875.1724878620967,1645.0
1996-06-10,39903.199529096484,-1870.1540955531725,1645.0
1996-06-11,39907.19514323813,-1870.3413590869102,1647.0
1996-06-12,39908.08516446306,-1872.7099364192113,1644.0
1996-06-13,39908.30279400923,-1868.066407190891,1646.0
1996-06-14,39904.089561222725,-1872.5224404303826,1652.0
1996-06-15,39918.18308212766,-1870.8563338046883,1650.0
1996-06-16,39902.09175960256,-1872.4286924359685,1650.0
1996-06-17,39900.31154395035,-1867.6923450348654,1649.0
1996-06-18,39907.19514323813,-1870.3413590869102,1652.0
1996-06-19,39902.30935646508,-1867.7858605738718,1647.0
1996-06-20,39911.19075737978,-1870.5286226206476,1649.0
1996-06-21,39908.97504515954,-1875.0786236404542,1650.0
1996-06-22,NA,NA,NA
1996-06-23,39916.07637094373,-1873.0849283968682,1648.0
1996-06-24,39904.979452834035,-1874.8908951971691,1652.0
1996-06-25,39906.97724899679,-1874.9847594188118,1656.0
1996-06-26,39917.07527175381,-1873.1318023940753,1651.0
1996-06-27,39905.08846203281,-1872.56931442759,1651.0
1996-06-28,39907.08626365298,-1872.663062422004,1655.0
1996-06-29,39906.087362842896,-1872.616188424797,1649.0
1996-06-30,39903.199529096484,-1870.1540955531725,1649.0
1996-07-01,39911.08186689331,-1872.8505584108327,1650.0
1996-07-02,39909.08406527314,-1872.7568104164184,1654.0
1996-07-03,39902.20062556107,-1870.1072796697383,1651.0
1996-07-04,39890.104949881556,-1871.866204469483,1655.0
1996-07-05,39899.20391495484,-1869.966832019435,1653.0
1996-07-06,39903.199529096484,-1870.1540955531725,1652.0
1996-07-07,39900.202818490245,-1870.0136479028695,1655.0
1996-07-08,39900.98386050854,-1874.7031667538843,1653.0
1996-07-09,39902.20062556107,-1870.1072796697383,1655.0
1996-07-10,39902.09175960256,-1872.4286924359685,1653.0
1996-07-11,39915.96733172916,-1875.4071484162027,1651.0
1996-07-12,39893.210493742365,-1869.6859367188288,1652.0
1996-07-13,39899.312637692994,-1867.6455872653623,1654.0
1996-07-14,39916.185275056836,-1870.7627020378195,1654.0
1996-07-15,39909.192950308956,-1870.4349908537788,1652.0
1996-07-16,39911.299512781305,-1868.2066804994004,1652.0
1996-07-17,39902.20062556107,-1870.1072796697383,1655.0
1996-07-18,39909.192950308956,-1870.4349908537788,1657.0
1996-07-19,39912.18966091519,-1870.575438504082,1656.0
1996-07-20,39902.20062556107,-1870.1072796697383,1657.0
1996-07-21,39910.191853844364,-1870.4818067372132,1659.0
1996-07-22,39905.19733616731,-1870.2477273200413,1662.0
1996-07-23,39903.199529096484,-1870.1540955531725,1659.0
1996-07-24,39913.29732529602,-1868.3001960384067,1656.0
1996-07-25,39920.28966909754,-1868.627500424929,1656.0
1996-07-26,39911.97173940366,-1875.2194199729179,1656.0
1996-07-27,NA,NA,NA
1996-07-28,39914.96843364778,-1875.3602163053815,1658.0
1996-07-29,39904.87030857136,-1877.2124696209216,1657.0
1996-07-30,39913.96953556641,-1875.3132841945603,1657.0
1996-07-31,39899.312637692994,-1867.6455872653623,1657.0
1996-08-01,39899.09505717231,-1872.288070444347,1660.0
1996-08-02,NA,NA,NA
1996-08-03,39899.09505717231,-1872.288070444347,1664.0
1996-08-04,39904.307168979794,-1867.8793761128782,1661.0
1996-08-05,39894.20939727777,-1869.7327526022632,1664.0
1996-08-06,39905.30607523715,-1867.9261338823812,1665.0
1996-08-07,39913.188564450604,-1870.6222543875165,1662.0
1996-08-08,39908.19404677354,-1870.3881749703444,1664.0
1996-08-09,39917.07527175381,-1873.1318023940753,1661.0
1996-08-10,39917.18417859225,-1870.809517921254,1658.0
1996-08-11,39926.065379044565,-1873.5536683689395,1658.0
1996-08-12,39916.96622981053,-1875.454080527024,1660.0
1996-08-13,39917.07527175381,-1873.1318023940753,1658.0
1996-08-14,39906.087362842896,-1872.616188424797,1656.0
1996-08-15,39910.191853844364,-1870.4818067372132,1658.0
1996-08-16,39907.08626365298,-1872.663062422004,1662.0
1996-08-17,39906.087362842896,-1872.616188424797,1657.0
1996-08-18,39907.97614707816,-1875.031691529633,1659.0
1996-08-19,39914.29623155338,-1868.3469538079098,1653.0
1996-08-20,39909.41031514569,-1865.7913327441224,1657.0
1996-08-21,39915.18637152143,-1870.715886154385,1654.0
1996-08-22,39906.30498149451,-1867.9728916518845,1656.0
1996-08-23,39901.41904333828,-1865.4177355008126,1654.0
1996-08-24,39908.08516446306,-1872.7099364192113,1653.0
1996-08-25,39894.3181064062,-1867.4117984178463,1654.0
1996-08-26,39895.31701266356,-1867.4585561873496,1656.0
1996-08-27,39905.414679241985,-1865.6045341224676,1655.0
1996-08-28,39902.30935646508,-1867.7858605738718,1655.0
1996-08-29,39873.666221161846,-1859.4706460109637,1657.0
1996-08-30,39896.2072043486,-1869.826384369132,1661.0
1996-08-31,39893.31920014884,-1867.3650406483432,1659.0
1996-09-01,39900.42013436236,-1865.3710358453989,1662.0
1996-09-02,39905.30607523715,-1867.9261338823812,1664.0
1996-09-03,39905.30607523715,-1867.9261338823812,1666.0
1996-09-04,39915.29513781074,-1868.3937115774131,1663.0
1996-09-05,39905.414679241985,-1865.6045341224676,1659.0
1996-09-06,39908.30279400923,-1868.066407190891,1666.0
1996-09-07,39908.41140616976,-1865.7446330887087,1659.0
