D,H,X,Y,Z,date
NA,NA,NA,NA,NA,1978-01-01
NA,NA,NA,NA,NA,1978-01-02
NA,NA,NA,NA,NA,1978-01-03
NA,NA,NA,NA,NA,1978-01-04
NA,NA,NA,NA,NA,1978-01-05
NA,NA,NA,NA,NA,1978-01-06
NA,NA,NA,NA,NA,1978-01-07
NA,NA,NA,NA,NA,1978-01-08
NA,NA,NA,NA,NA,1978-01-09
NA,NA,NA,NA,NA,1978-01-10
NA,NA,NA,NA,NA,1978-01-11
NA,NA,NA,NA,NA,1978-01-12
NA,NA,NA,NA,NA,1978-01-13
NA,NA,NA,NA,NA,1978-01-14
NA,NA,NA,NA,NA,1978-01-15
NA,NA,NA,NA,NA,1978-01-16
NA,NA,NA,NA,NA,1978-01-17
NA,NA,NA,NA,NA,1978-01-18
NA,NA,NA,NA,NA,1978-01-19
NA,NA,NA,NA,NA,1978-01-20
NA,NA,NA,NA,NA,1978-01-21
NA,NA,NA,NA,NA,1978-01-22
NA,NA,NA,NA,NA,1978-01-23
NA,NA,NA,NA,NA,1978-01-24
NA,NA,NA,NA,NA,1978-01-25
NA,NA,NA,NA,NA,1978-01-26
NA,NA,NA,NA,NA,1978-01-27
NA,NA,NA,NA,NA,1978-01-28
NA,NA,NA,NA,NA,1978-01-29
NA,NA,NA,NA,NA,1978-01-30
NA,NA,NA,NA,NA,1978-01-31
NA,NA,NA,NA,NA,1978-02-01
NA,NA,NA,NA,NA,1978-02-02
NA,NA,NA,NA,NA,1978-02-03
NA,NA,NA,NA,NA,1978-02-04
NA,NA,NA,NA,NA,1978-02-05
NA,NA,NA,NA,NA,1978-02-06
NA,NA,NA,NA,NA,1978-02-07
NA,NA,NA,NA,NA,1978-02-08
NA,NA,NA,NA,NA,1978-02-09
NA,NA,NA,NA,NA,1978-02-10
NA,NA,NA,NA,NA,1978-02-11
NA,NA,NA,NA,NA,1978-02-12
NA,NA,NA,NA,NA,1978-02-13
NA,NA,NA,NA,NA,1978-02-14
NA,NA,NA,NA,NA,1978-02-15
NA,NA,NA,NA,NA,1978-02-16
NA,NA,NA,NA,NA,1978-02-17
NA,NA,NA,NA,NA,1978-02-18
NA,NA,NA,NA,NA,1978-02-19
NA,NA,NA,NA,NA,1978-02-20
NA,NA,NA,NA,NA,1978-02-21
NA,NA,NA,NA,NA,1978-02-22
NA,NA,NA,NA,NA,1978-02-23
NA,NA,NA,NA,NA,1978-02-24
NA,NA,NA,NA,NA,1978-02-25
NA,NA,NA,NA,NA,1978-02-26
NA,NA,NA,NA,NA,1978-02-27
NA,NA,NA,NA,NA,1978-02-28
