date,X,Y,Z
1990-01-01,NA,NA,NA
1990-01-02,8925.0,4892.0,59301.0
1990-01-03,8967.0,4890.0,59286.0
1990-01-04,8977.0,4891.0,59301.0
1990-01-05,8972.0,4887.0,59286.0
1990-01-06,8969.0,4890.0,59304.0
1990-01-07,8975.0,4901.0,59288.0
1990-01-08,8947.0,4886.0,59284.0
1990-01-09,8946.0,4890.0,59296.0
1990-01-10,8929.0,4880.0,59291.0
1990-01-11,8883.0,4867.0,59305.0
1990-01-12,8898.0,4854.0,59315.0
1990-01-13,8933.0,4883.0,59299.0
1990-01-14,8938.0,4891.0,59295.0
1990-01-15,8947.0,4906.0,59287.0
1990-01-16,8952.0,4904.0,59287.0
1990-01-17,8971.0,4903.0,59292.0
1990-01-18,8961.0,4902.0,59305.0
1990-01-19,8970.0,4900.0,59293.0
1990-01-20,8923.0,4889.0,59275.0
1990-01-21,8939.0,4887.0,59291.0
1990-01-22,8975.0,4905.0,59273.0
1990-01-23,8959.0,4896.0,59307.0
1990-01-24,8938.0,4879.0,59308.0
1990-01-25,8951.0,4891.0,59291.0
1990-01-26,8946.0,4883.0,59292.0
1990-01-27,8978.0,4888.0,59299.0
1990-01-28,8989.0,4891.0,59286.0
1990-01-29,8988.0,4896.0,59291.0
1990-01-30,8954.0,4896.0,59263.0
1990-01-31,8957.0,4895.0,59294.0
1990-02-01,8925.0,4891.0,59306.0
1990-02-02,8899.0,4868.0,59319.0
1990-02-03,8958.0,4891.0,59286.0
1990-02-04,8994.0,4915.0,59303.0
1990-02-05,8941.0,4884.0,59299.0
1990-02-06,8960.0,4903.0,59292.0
1990-02-07,8807.0,4859.0,59347.0
1990-02-08,NA,NA,NA
1990-02-09,8958.0,4897.0,59286.0
1990-02-10,8953.0,4896.0,59291.0
1990-02-11,8928.0,4889.0,59290.0
1990-02-12,8985.0,4908.0,59292.0
1990-02-13,8965.0,4904.0,59281.0
1990-02-14,8990.0,4903.0,59240.0
1990-02-15,8834.0,4875.0,59314.0
1990-02-16,8907.0,4865.0,59261.0
1990-02-17,8898.0,4879.0,59286.0
1990-02-18,8968.0,4912.0,59304.0
1990-02-19,8934.0,4912.0,59320.0
1990-02-20,8889.0,4885.0,59299.0
1990-02-21,8951.0,4907.0,59310.0
1990-02-22,8946.0,4903.0,59294.0
1990-02-23,8921.0,4900.0,59345.0
1990-02-24,8898.0,4889.0,59316.0
1990-02-25,8891.0,4903.0,59316.0
1990-02-26,8926.0,4914.0,59317.0
1990-02-27,8903.0,4901.0,59320.0
1990-02-28,8919.0,4927.0,59311.0
1990-03-01,8916.0,4917.0,59307.0
1990-03-02,8934.0,4904.0,59310.0
1990-03-03,8954.0,4920.0,59291.0
1990-03-04,8943.0,4920.0,59308.0
1990-03-05,8978.0,4942.0,59300.0
1990-03-06,8918.0,4922.0,59285.0
1990-03-07,8922.0,4938.0,59311.0
1990-03-08,8932.0,4919.0,59301.0
1990-03-09,8938.0,4908.0,59293.0
1990-03-10,8937.0,4906.0,59282.0
1990-03-11,8946.0,4910.0,59294.0
1990-03-12,8928.0,4922.0,59262.0
1990-03-13,8892.0,4894.0,59313.0
1990-03-14,8929.0,4935.0,59295.0
1990-03-15,8911.0,4916.0,59295.0
1990-03-16,8966.0,4938.0,59294.0
1990-03-17,8956.0,4941.0,59298.0
1990-03-18,8923.0,4959.0,59323.0
1990-03-19,8958.0,4945.0,59291.0
1990-03-20,8899.0,4918.0,59317.0
1990-03-21,8864.0,4875.0,59273.0
1990-03-22,8903.0,4899.0,59281.0
1990-03-23,8870.0,4885.0,59298.0
1990-03-24,8945.0,4929.0,59308.0
1990-03-25,8875.0,4930.0,59364.0
1990-03-26,8891.0,4888.0,59311.0
1990-03-27,8918.0,4925.0,59332.0
1990-03-28,8903.0,4938.0,59317.0
1990-03-29,8847.0,4929.0,59379.0
1990-03-30,8826.0,4879.0,59366.0
1990-03-31,8932.0,4954.0,59326.0
1990-04-01,8942.0,4956.0,59311.0
1990-04-02,8917.0,4947.0,59329.0
1990-04-03,8933.0,4949.0,59328.0
1990-04-04,8940.0,4963.0,59314.0
1990-04-05,8926.0,4959.0,59310.0
1990-04-06,8957.0,4977.0,59300.0
