date,X,Y,Z
2012-01-01,23811.0,-683.0,-52787.0
2012-01-02,23818.0,-682.0,-52785.0
2012-01-03,23790.0,-685.0,-52791.0
2012-01-04,23802.0,-680.0,-52786.0
2012-01-05,23814.0,-686.0,-52784.0
2012-01-06,23822.0,-682.0,-52780.0
2012-01-07,23811.0,-686.0,-52786.0
2012-01-08,23808.0,-684.0,-52783.0
2012-01-09,23808.0,-686.0,-52786.0
2012-01-10,23808.0,-683.0,-52791.0
2012-01-11,23809.0,-684.0,-52782.0
2012-01-12,23818.0,-677.0,-52782.0
2012-01-13,23812.0,-685.0,-52781.0
2012-01-14,23806.0,-681.0,-52784.0
2012-01-15,23815.0,-684.0,-52779.0
2012-01-16,23811.0,-688.0,-52784.0
2012-01-17,23802.0,-685.0,-52781.0
2012-01-18,23806.0,-684.0,-52782.0
2012-01-19,23811.0,-682.0,-52781.0
2012-01-20,23808.0,-686.0,-52786.0
2012-01-21,23812.0,-682.0,-52779.0
2012-01-22,23802.0,-692.0,-52790.0
2012-01-23,23767.0,-682.0,-52777.0
2012-01-24,23788.0,-691.0,-52792.0
2012-01-25,23773.0,-679.0,-52793.0
2012-01-26,23785.0,-689.0,-52793.0
2012-01-27,23796.0,-679.0,-52785.0
2012-01-28,23800.0,-684.0,-52787.0
2012-01-29,23799.0,-683.0,-52782.0
2012-01-30,23803.0,-683.0,-52785.0
2012-01-31,23810.0,-680.0,-52780.0
2012-02-01,23805.0,-679.0,-52783.0
2012-02-02,23807.0,-685.0,-52781.0
2012-02-03,23804.0,-685.0,-52784.0
2012-02-04,23798.0,-686.0,-52784.0
2012-02-05,23798.0,-682.0,-52782.0
2012-02-06,23801.0,-688.0,-52784.0
2012-02-07,23796.0,-677.0,-52778.0
2012-02-08,23795.0,-679.0,-52778.0
2012-02-09,23806.0,-690.0,-52778.0
2012-02-10,23812.0,-679.0,-52777.0
2012-02-11,23806.0,-684.0,-52777.0
2012-02-12,23814.0,-684.0,-52774.0
2012-02-13,23801.0,-686.0,-52779.0
2012-02-14,23804.0,-691.0,-52778.0
2012-02-15,23770.0,-685.0,-52787.0
2012-02-16,23798.0,-680.0,-52782.0
2012-02-17,23806.0,-680.0,-52780.0
2012-02-18,23808.0,-680.0,-52777.0
2012-02-19,23785.0,-681.0,-52782.0
2012-02-20,23795.0,-683.0,-52784.0
