date,X,Y,Z
1965-01-01,NA,NA,14993.0
1965-01-02,NA,NA,14996.0
1965-01-03,NA,NA,14997.0
1965-01-04,NA,NA,14998.0
1965-01-05,NA,NA,NA
1965-01-06,NA,NA,NA
1965-01-07,NA,NA,NA
1965-01-08,NA,NA,NA
1965-01-09,NA,NA,NA
1965-01-10,NA,NA,NA
1965-01-11,NA,NA,NA
1965-01-12,NA,NA,NA
1965-01-13,NA,NA,NA
1965-01-14,NA,NA,15002.0
1965-01-15,NA,NA,15002.0
1965-01-16,NA,NA,15004.0
1965-01-17,NA,NA,15000.0
1965-01-18,NA,NA,15002.0
1965-01-19,NA,NA,15004.0
1965-01-20,NA,NA,15001.0
1965-01-21,NA,NA,15000.0
1965-01-22,NA,NA,15007.0
1965-01-23,NA,NA,15004.0
1965-01-24,NA,NA,15001.0
1965-01-25,NA,NA,14999.0
1965-01-26,NA,NA,15001.0
1965-01-27,NA,NA,15002.0
1965-01-28,NA,NA,15003.0
1965-01-29,NA,NA,15000.0
1965-01-30,NA,NA,NA
1965-01-31,NA,NA,NA
1965-02-01,NA,NA,15001.0
1965-02-02,NA,NA,14998.0
1965-02-03,NA,NA,14997.0
1965-02-04,NA,NA,15001.0
1965-02-05,NA,NA,15001.0
1965-02-06,NA,NA,NA
1965-02-07,NA,NA,14998.0
1965-02-08,NA,NA,15000.0
1965-02-09,NA,NA,14993.0
1965-02-10,NA,NA,14993.0
1965-02-11,NA,NA,NA
1965-02-12,40123.84360672024,-1207.2026439066383,14997.0
1965-02-13,40130.8053013876,-1208.580515365476,14999.0
1965-02-14,40127.84179750363,-1207.3229371300858,14999.0
1965-02-15,40122.84405902439,-1207.1725706007765,14996.0
1965-02-16,40123.738105635726,-1210.70410520297,15000.0
1965-02-17,40128.73583097399,-1210.854907866664,14995.0
1965-02-18,40128.84134519948,-1207.3530104359477,14993.0
1965-02-19,40130.770128226955,-1209.7478726606287,14998.0
1965-02-20,40135.73264644754,-1211.066031595836,14997.0
1965-02-21,40122.914221577026,-1204.8383161121913,14996.0
1965-02-22,40129.875997267445,-1206.2157534780172,14997.0
1965-02-23,40127.876900127,-1206.1556650176467,14997.0
1965-02-24,40116.88186585456,-1205.8251784856088,14998.0
1965-02-25,40121.91467213327,-1204.808300957708,14997.0
1965-02-26,40126.94745319351,-1203.7911316532004,14998.0
1965-02-27,40125.91286990828,-1204.928361575641,14999.0
1965-02-28,40132.979760210816,-1202.8036275756954,14999.0
1965-03-01,40129.91106768328,-1205.0484221935742,14999.0
1965-03-02,40133.768766060646,-1209.8382670320448,14998.0
1965-03-03,40116.74129016217,-1210.492981473798,14999.0
1965-03-04,40087.92999104577,-1203.7877857052777,15001.0
1965-03-05,40125.80756728446,-1208.430003457911,14999.0
1965-03-06,40122.84405902439,-1207.1725706007765,15003.0
1965-03-07,40123.702870705354,-1211.871256920833,15001.0
1965-03-08,40129.73537604164,-1210.885068399403,15001.0
1965-03-09,40134.76831200521,-1209.8683984891834,15003.0
1965-03-10,40137.80212913199,-1208.791232036067,15002.0
1965-03-11,40135.73264644754,-1211.066031595836,15002.0
1965-03-12,40136.802582311364,-1208.761129654554,15004.0
1965-03-13,40129.7705822824,-1209.71774120349,15003.0
1965-03-14,40124.843154416085,-1207.2327172125001,15002.0
1965-03-15,40128.80620774634,-1208.52031060245,15003.0
1965-03-16,40133.80394184948,-1208.6708225100151,15002.0
1965-03-17,NA,NA,NA
1965-03-18,NA,NA,NA
1965-03-19,40139.76604172802,-1210.0190557748767,15003.0
1965-03-20,40139.90656212078,-1205.3485737384067,15005.0
1965-03-21,40129.91106768328,-1205.0484221935742,15005.0
1965-03-22,NA,NA,NA
1965-03-23,NA,NA,NA
1965-03-24,40114.423934790495,-1220.9346337571687,15003.0
1965-03-25,40121.38515603417,-1222.314673543787,15003.0
1965-03-26,40116.88186585456,-1205.8251784856088,15003.0
1965-03-27,40124.01876283727,-1201.3668546628671,14999.0
1965-03-28,40124.913320464526,-1204.8983464211578,14999.0
1965-03-29,40127.91196879578,-1204.9883918846076,14999.0
1965-03-30,40136.94295635784,-1204.0909924407588,14998.0
1965-03-31,40136.872837259,-1206.426063089314,15002.0
1965-04-01,40137.94250667427,-1204.1209785195147,15000.0
1965-04-02,40136.013387548395,-1201.7259897895663,15003.0
1965-04-03,40141.11587843359,-1198.3726608056857,15000.0
1965-04-04,40139.01204372618,-1201.815773571241,15001.0
1965-04-05,40136.013387548395,-1201.7259897895663,14998.0
1965-04-06,40142.870128680326,-1206.6063284704258,14999.0
1965-04-07,40124.01876283727,-1201.3668546628671,14997.0
1965-04-08,40134.118995763485,-1198.163775907515,14998.0
1965-04-09,40131.0156272521,-1201.5763501534416,14997.0
1965-04-10,40132.979760210816,-1202.8036275756954,14998.0
1965-04-11,40133.97931139908,-1202.8335845786985,14993.0
1965-04-12,40125.01831489653,-1201.396782590092,14991.0
1965-04-13,40128.086802819875,-1199.1520109449807,NA
