date,X,Y,Z
2011-01-01,NA,NA,NA
2011-01-02,NA,NA,NA
2011-01-03,NA,NA,NA
2011-01-04,NA,NA,NA
2011-01-05,NA,NA,NA
2011-01-06,NA,NA,NA
2011-01-07,NA,NA,NA
2011-01-08,NA,NA,NA
2011-01-09,NA,NA,NA
2011-01-10,NA,NA,NA
2011-01-11,NA,NA,NA
2011-01-12,NA,NA,NA
2011-01-13,NA,NA,NA
2011-01-14,NA,NA,NA
2011-01-15,NA,NA,NA
2011-01-16,NA,NA,NA
2011-01-17,NA,NA,NA
2011-01-18,NA,NA,NA
2011-01-19,NA,NA,NA
2011-01-20,NA,NA,NA
2011-01-21,NA,NA,NA
2011-01-22,NA,NA,NA
2011-01-23,NA,NA,NA
2011-01-24,NA,NA,NA
2011-01-25,NA,NA,NA
2011-01-26,NA,NA,NA
2011-01-27,NA,NA,NA
2011-01-28,NA,NA,NA
2011-01-29,NA,NA,NA
2011-01-30,NA,NA,NA
2011-01-31,NA,NA,NA
2011-02-01,NA,NA,NA
2011-02-02,NA,NA,NA
2011-02-03,NA,NA,NA
2011-02-04,NA,NA,NA
2011-02-05,NA,NA,NA
2011-02-06,NA,NA,NA
2011-02-07,NA,NA,NA
2011-02-08,NA,NA,NA
2011-02-09,NA,NA,NA
2011-02-10,NA,NA,NA
2011-02-11,NA,NA,NA
2011-02-12,NA,NA,NA
2011-02-13,NA,NA,NA
2011-02-14,NA,NA,NA
2011-02-15,NA,NA,NA
2011-02-16,NA,NA,NA
2011-02-17,NA,NA,NA
2011-02-18,NA,NA,NA
2011-02-19,NA,NA,NA
2011-02-20,NA,NA,NA
2011-02-21,NA,NA,NA
2011-02-22,NA,NA,NA
2011-02-23,NA,NA,NA
2011-02-24,NA,NA,NA
2011-02-25,15891.22617881012,-2003.3021574140766,-23216.0
2011-02-26,15889.7657371195,-1998.8921480317986,-23218.0
2011-02-27,15887.781376740217,-1998.642520539069,-23219.0
2011-02-28,15892.451328053618,-2001.5780737824846,-23217.0
2011-03-01,15876.281547442675,-1993.9120407709117,-23221.0
2011-03-02,15862.860750379734,-1996.4450440876496,-23224.0
2011-03-03,15873.832760044641,-1997.3568800125613,-23222.0
2011-03-04,15873.71653166814,-1998.2803787871212,-23223.0
2011-03-05,15874.007001870814,-1995.9716191760797,-23222.0
2011-03-06,15881.362934611461,-2001.589453196945,-23218.0
2011-03-07,15879.843935223078,-1997.6440105681509,-23221.0
2011-03-08,15871.96456705415,-1996.1838047077513,-23223.0
2011-03-09,15882.002584239066,-1996.5076794802512,-23222.0
2011-03-10,15863.788219981017,-1989.0619174856101,-23226.0
2011-03-11,15844.12544839596,-1993.1507156990192,-23229.0
2011-03-12,15862.21675946066,-1993.5517239052003,-23230.0
2011-03-13,15873.832760044641,-1997.3568800125613,-23226.0
2011-03-14,15874.650562992507,-1998.8670548292275,-23223.0
2011-03-15,15878.79364283733,-1997.9810930508802,-23222.0
2011-03-16,15883.754525630018,-1998.6053060891988,-23221.0
2011-03-17,15882.704208911608,-1998.942473464792,-23219.0
2011-03-18,15879.727690131826,-1998.5678590582206,-23219.0
2011-03-19,15880.777995954406,-1998.2307782662076,-23217.0
2011-03-20,15878.502880317901,-2000.290548829373,-23217.0
2011-03-21,15875.758998425452,-1998.0683731827921,-23218.0
2011-03-22,15884.746702188557,-1998.7301486968627,-23218.0
2011-03-23,15879.495038708325,-2000.4155357419468,-23219.0
2011-03-24,15880.777995954406,-1998.2307782662076,-23218.0
2011-03-25,15878.9098537935,-1997.0572989024724,-23218.0
2011-03-26,15876.16551947465,-1994.8356820159772,-23218.0
2011-03-27,15878.735517205232,-1998.4429875893636,-23216.0
2011-03-28,15879.611391293442,-1999.4917007838617,-23217.0
2011-03-29,15887.60690178148,-2000.0289834063487,-23214.0
2011-03-30,15879.902037613409,-1997.1820837874327,-23216.0
2011-03-31,15881.421151769422,-2001.1274822286562,-23214.0
2011-04-01,15871.266800495592,-2001.7240437898674,-23215.0
2011-04-02,15860.471017727876,-2007.3933585159702,-23218.0
2011-04-03,15859.361118079767,-2000.2224692117916,-23219.0
2011-04-04,15864.84509623292,-1996.694787025364,-23218.0
2011-04-05,15867.879700693415,-1996.6078243665786,-23219.0
2011-04-06,15860.580025368401,-1990.5341642094104,-23221.0
2011-04-07,15864.903171017802,-1996.2332965435874,-23221.0
2011-04-08,15866.364302368811,-2000.6368547331679,-23220.0
2011-04-09,15863.73674073045,-1997.4928337290326,-23220.0
2011-04-10,15867.937772947373,-1996.1462456117736,-23221.0
2011-04-11,15884.862956712943,-1997.8060082122336,-23216.0
2011-04-12,15868.111909148209,-1994.7614992145723,-23215.0
2011-04-13,15860.760243749888,-1997.118046156252,-23218.0
2011-04-14,15866.77134661147,-1997.4060764775077,-23219.0
2011-04-15,15871.499604226616,-1999.877324496271,-23219.0
2011-04-16,15878.44468750658,-2000.7524349089406,-23217.0
2011-04-17,15876.69303954957,-1998.6550797769557,-23217.0
2011-04-18,15878.619225633254,-1999.3667715929348,-23216.0
2011-04-19,15873.65839733232,-1998.7421256383006,-23217.0
2011-04-20,15868.115668852759,-2002.7334120919784,-23216.0
2011-04-21,15873.367524179504,-2001.0508345175633,-23217.0
2011-04-22,15870.332877732086,-2001.1372641515604,-23217.0
2011-04-23,15875.410027907665,-2000.8391853941598,-23216.0
2011-04-24,15875.642728652694,-1998.9919840201544,-23216.0
2011-04-25,15872.724362374329,-1998.1554784571765,-23216.0
2011-04-26,15872.840583486104,-1997.2320374048975,-23216.0
2011-04-27,15873.774652572265,-1997.8186302450779,-23216.0
2011-04-28,15875.526405146635,-1999.915588091652,-23215.0
2011-04-29,15869.16605221254,-2002.3970154055507,-23216.0
2011-04-30,15854.28405841553,-2000.5191813804754,-23219.0
2011-05-01,15854.807249788766,-1996.368471010691,-23220.0
2011-05-02,15853.934660478104,-2003.2862454704357,-23218.0
2011-05-03,15855.918882588301,-2003.5369696563519,-23219.0
2011-05-04,15860.934464783651,-1995.7339261129323,-23219.0
2011-05-05,15862.512063382774,-1999.213605154792,-23219.0
2011-05-06,15865.77917731766,-1997.2811761475627,-23218.0
2011-05-07,15867.589138023257,-1998.9156927910624,-23218.0
2011-05-08,15867.763515905279,-1997.5309768074524,-23217.0
2011-05-09,15872.491758980896,-2000.0023402695097,-23215.0
2011-05-10,15872.724362374329,-1998.1554784571765,-23214.0
2011-05-11,15866.422491823154,-2000.1753200578082,-23216.0
2011-05-12,15867.530985209492,-1999.377261403317,-23217.0
2011-05-13,15874.534246756213,-1999.7906011790783,-23215.0
2011-05-14,15873.30930925454,-2001.5125712153547,-23214.0
2011-05-15,15873.425725673067,-2000.5890961265648,-23213.0
2011-05-16,15865.604821242412,-1998.665718965915,-23214.0
2011-05-17,15864.380014687174,-2000.3866500239717,-23214.0
2011-05-18,15866.247883183756,-2001.5599190049224,-23215.0
2011-05-19,15868.290379891636,-2001.3486501453485,-23214.0
2011-05-20,15871.615925513404,-1998.953954694619,-23212.0
2011-05-21,15872.666231672132,-1998.617196447374,-23211.0
2011-05-22,15870.332877732086,-2001.1372641515604,-23212.0
2011-05-23,15869.282520092955,-2001.473781360188,-23212.0
2011-05-24,15868.991249683202,-2003.7818537650148,-23212.0
2011-05-25,15870.15818513234,-2002.5222043405558,-23212.0
2011-05-26,15865.255746622775,-2001.434758929947,-23212.0
2011-05-27,15859.477459466803,-1999.2998055980531,-23214.0
2011-05-28,15841.554352007359,-1989.5506307698506,-23216.0
2011-05-29,15838.060883596525,-2001.280451983106,-23218.0
2011-05-30,15847.80403689602,-1995.954961451344,-23219.0
2011-05-31,15851.1912691921,-2001.0658028880848,-23216.0
2011-06-01,15849.730286995657,-1996.665928364736,-23217.0
2011-06-02,15853.873145791937,-1995.782372188225,-23217.0
2011-06-03,15859.419295483083,-1999.761138250981,-23216.0
2011-06-04,15861.988126891127,-2003.3663325425343,-23215.0
2011-06-05,15845.063894693527,-2001.6970732555033,-23217.0
2011-06-06,15853.350107891023,-1999.9328380302436,-23216.0
2011-06-07,15854.574854444378,-1998.2132480844118,-23216.0
2011-06-08,15846.230641017477,-2000.4395696143513,-23218.0
2011-06-09,15841.211833928834,-2000.2741393601746,-23219.0
2011-06-10,15860.000331430236,-1995.1477356408554,-23216.0
2011-06-11,15857.202246797151,-2001.356016347761,-23215.0
2011-06-12,15858.775912429513,-1996.8681877743984,-23215.0
2011-06-13,15860.876404526547,-1996.1953011499354,-23214.0
2011-06-14,15863.67862930761,-1997.954290280194,-23213.0
2011-06-15,15860.6440292903,-1998.0407844030465,-23213.0
2011-06-16,15863.852923306327,-1996.5699155565067,-23213.0
2011-06-17,15865.89534757634,-1996.3581391512512,-23211.0
2011-06-18,15861.57805668381,-1998.6271667638862,-23212.0
2011-06-19,15864.61266285199,-1998.5407320533413,-23212.0
2011-06-20,15863.038517735837,-2003.0302006782633,-23211.0
2011-06-21,15862.279336939837,-2001.0592787050211,-23210.0
2011-06-22,15859.477459466803,-1999.2998055980531,-23212.0
2011-06-23,15856.79158110914,-1996.6183293925446,-23211.0
2011-06-24,15854.574854444378,-1998.2132480844118,-23212.0
2011-06-25,15859.826161554798,-1996.531774167894,-23210.0
2011-06-26,15858.485311987324,-1999.1747321038024,-23210.0
2011-06-27,15857.841822967177,-1996.2819735080043,-23210.0
2011-06-28,15863.852923306327,-1996.5699155565067,-23209.0
2011-06-29,15866.945592757731,-1996.0214318654089,-23208.0
2011-06-30,15866.538830455213,-1999.2522456300785,-23208.0
2011-07-01,15847.340417954074,-2007.6049605136984,-23210.0
2011-07-02,15854.574854444378,-1998.2132480844118,-23210.0
2011-07-03,15856.9692711093,-2003.201072058275,-23210.0
2011-07-04,15846.86992450727,-1995.3690374832763,-23211.0
2011-07-05,15838.23546795515,-1999.8983128167988,-23214.0
2011-07-06,15852.880976498127,-1995.6574718582801,-23211.0
2011-07-07,15855.155440333496,-1993.6012547305304,-23211.0
2011-07-08,15854.047250292382,-1994.398853162667,-23210.0
2011-07-09,15858.833992260988,-1996.406873837949,-23208.0
2011-07-10,15857.081809755544,-1994.312031433349,-23210.0
2011-07-11,15857.081809755544,-1994.312031433349,-23208.0
2011-07-12,15852.939021113796,-1995.1963293990784,-23209.0
2011-07-13,15856.907712820172,-1995.695815274507,-23209.0
2011-07-14,15861.224564754995,-1993.4270256050875,-23207.0
2011-07-15,15865.193343577654,-1993.9258188055392,-23206.0
2011-07-16,15862.918817900727,-1995.98361132826,-23205.0
