date,X,Y,Z
1962-01-01,NA,NA,NA
1962-01-02,NA,NA,NA
1962-01-03,NA,NA,NA
1962-01-04,NA,NA,NA
1962-01-05,NA,NA,NA
1962-01-06,NA,NA,NA
1962-01-07,NA,NA,NA
1962-01-08,NA,NA,NA
1962-01-09,NA,NA,NA
1962-01-10,NA,NA,NA
1962-01-11,NA,NA,NA
1962-01-12,NA,NA,NA
1962-01-13,NA,NA,NA
1962-01-14,NA,NA,NA
1962-01-15,NA,NA,NA
1962-01-16,NA,NA,NA
1962-01-17,NA,NA,NA
1962-01-18,NA,NA,NA
1962-01-19,NA,NA,NA
1962-01-20,NA,NA,NA
1962-01-21,NA,NA,NA
1962-01-22,NA,NA,NA
1962-01-23,NA,NA,NA
1962-01-24,NA,NA,NA
1962-01-25,NA,NA,NA
1962-01-26,NA,NA,NA
1962-01-27,NA,NA,NA
1962-01-28,NA,NA,NA
1962-01-29,NA,NA,NA
1962-01-30,NA,NA,NA
1962-01-31,NA,NA,NA
1962-02-01,NA,NA,NA
1962-02-02,NA,NA,NA
1962-02-03,NA,NA,NA
1962-02-04,NA,NA,NA
1962-02-05,NA,NA,NA
1962-02-06,NA,NA,NA
1962-02-07,NA,NA,NA
1962-02-08,NA,NA,NA
1962-02-09,NA,NA,NA
1962-02-10,NA,NA,NA
1962-02-11,NA,NA,NA
1962-02-12,NA,NA,NA
1962-02-13,NA,NA,NA
1962-02-14,NA,NA,NA
1962-02-15,NA,NA,NA
1962-02-16,NA,NA,NA
1962-02-17,NA,NA,NA
1962-02-18,NA,NA,NA
1962-02-19,NA,NA,NA
1962-02-20,NA,NA,NA
1962-02-21,NA,NA,NA
1962-02-22,NA,NA,NA
1962-02-23,NA,NA,NA
1962-02-24,NA,NA,NA
1962-02-25,NA,NA,NA
1962-02-26,NA,NA,NA
1962-02-27,NA,NA,NA
1962-02-28,NA,NA,NA
1962-03-01,NA,NA,NA
1962-03-02,NA,NA,NA
1962-03-03,NA,NA,NA
1962-03-04,NA,NA,NA
1962-03-05,NA,NA,NA
1962-03-06,NA,NA,NA
1962-03-07,NA,NA,NA
1962-03-08,NA,NA,NA
1962-03-09,NA,NA,NA
1962-03-10,NA,NA,NA
1962-03-11,NA,NA,NA
1962-03-12,NA,NA,NA
1962-03-13,NA,NA,NA
1962-03-14,NA,NA,NA
1962-03-15,NA,NA,NA
1962-03-16,NA,NA,NA
1962-03-17,NA,NA,NA
1962-03-18,NA,NA,NA
1962-03-19,NA,NA,NA
1962-03-20,NA,NA,NA
1962-03-21,NA,NA,NA
1962-03-22,NA,NA,NA
1962-03-23,NA,NA,NA
1962-03-24,NA,NA,NA
1962-03-25,NA,NA,NA
1962-03-26,NA,NA,NA
1962-03-27,NA,NA,NA
1962-03-28,NA,NA,NA
1962-03-29,NA,NA,NA
1962-03-30,NA,NA,NA
1962-03-31,NA,NA,NA
1962-04-01,30347.274514959467,-3223.5467289449475,33864.0
1962-04-02,30349.26332644875,-3223.7579843829803,33865.0
1962-04-03,NA,NA,NA
1962-04-04,30341.495530620017,-3221.1477714264265,33866.0
1962-04-05,30348.362680110295,-3222.7695599419817,33867.0
1962-04-06,30347.555706925312,-3220.89841737749,33864.0
1962-04-07,30314.421599863468,-3229.8667256918475,33867.0
1962-04-08,30324.30947149921,-3221.999391176726,33866.0
