date,X,Y,Z
1996-01-01,NA,NA,NA
1996-01-02,NA,NA,NA
1996-01-03,NA,NA,NA
1996-01-04,NA,NA,NA
1996-01-05,NA,NA,NA
1996-01-06,NA,NA,NA
1996-01-07,NA,NA,NA
1996-01-08,NA,NA,NA
1996-01-09,NA,NA,NA
1996-01-10,NA,NA,NA
1996-01-11,NA,NA,NA
1996-01-12,NA,NA,NA
1996-01-13,NA,NA,NA
1996-01-14,NA,NA,NA
1996-01-15,NA,NA,NA
1996-01-16,NA,NA,NA
1996-01-17,NA,NA,NA
1996-01-18,NA,NA,NA
1996-01-19,NA,NA,NA
1996-01-20,NA,NA,NA
1996-01-21,NA,NA,NA
1996-01-22,NA,NA,NA
1996-01-23,NA,NA,NA
1996-01-24,NA,NA,NA
1996-01-25,NA,NA,NA
1996-01-26,NA,NA,NA
1996-01-27,NA,NA,NA
1996-01-28,NA,NA,NA
1996-01-29,NA,NA,NA
1996-01-30,NA,NA,NA
1996-01-31,NA,NA,NA
1996-02-01,NA,NA,NA
1996-02-02,NA,NA,NA
1996-02-03,NA,NA,NA
1996-02-04,NA,NA,NA
1996-02-05,NA,NA,NA
1996-02-06,NA,NA,NA
1996-02-07,NA,NA,NA
1996-02-08,NA,NA,NA
1996-02-09,NA,NA,NA
1996-02-10,NA,NA,NA
1996-02-11,NA,NA,NA
1996-02-12,NA,NA,NA
1996-02-13,NA,NA,NA
1996-02-14,NA,NA,NA
1996-02-15,NA,NA,NA
1996-02-16,NA,NA,NA
1996-02-17,NA,NA,NA
1996-02-18,NA,NA,NA
1996-02-19,NA,NA,NA
1996-02-20,NA,NA,NA
1996-02-21,NA,NA,NA
1996-02-22,NA,NA,NA
1996-02-23,NA,NA,NA
1996-02-24,NA,NA,NA
1996-02-25,NA,NA,NA
1996-02-26,NA,NA,NA
1996-02-27,NA,NA,NA
1996-02-28,NA,NA,NA
1996-02-29,NA,NA,NA
1996-03-01,NA,NA,NA
1996-03-02,NA,NA,NA
1996-03-03,NA,NA,NA
1996-03-04,NA,NA,NA
1996-03-05,NA,NA,NA
1996-03-06,NA,NA,NA
1996-03-07,NA,NA,NA
1996-03-08,NA,NA,NA
1996-03-09,NA,NA,NA
1996-03-10,NA,NA,NA
1996-03-11,NA,NA,NA
1996-03-12,NA,NA,NA
1996-03-13,NA,NA,NA
1996-03-14,NA,NA,NA
1996-03-15,NA,NA,NA
1996-03-16,NA,NA,NA
1996-03-17,NA,NA,NA
1996-03-18,NA,NA,NA
1996-03-19,NA,NA,NA
1996-03-20,NA,NA,NA
1996-03-21,NA,NA,NA
1996-03-22,NA,NA,NA
1996-03-23,NA,NA,NA
1996-03-24,NA,NA,NA
1996-03-25,NA,NA,NA
1996-03-26,NA,NA,NA
1996-03-27,NA,NA,NA
1996-03-28,NA,NA,NA
1996-03-29,NA,NA,NA
1996-03-30,NA,NA,NA
1996-03-31,NA,NA,NA
1996-04-01,NA,NA,NA
1996-04-02,NA,NA,NA
1996-04-03,NA,NA,NA
1996-04-04,NA,NA,NA
1996-04-05,NA,NA,NA
1996-04-06,NA,NA,NA
1996-04-07,NA,NA,NA
1996-04-08,NA,NA,NA
1996-04-09,NA,NA,NA
1996-04-10,NA,NA,NA
1996-04-11,NA,NA,NA
1996-04-12,NA,NA,NA
1996-04-13,NA,NA,NA
1996-04-14,NA,NA,NA
1996-04-15,NA,NA,NA
1996-04-16,NA,NA,NA
1996-04-17,NA,NA,NA
1996-04-18,NA,NA,NA
1996-04-19,NA,NA,NA
1996-04-20,NA,NA,NA
1996-04-21,NA,NA,NA
1996-04-22,NA,NA,NA
1996-04-23,NA,NA,NA
1996-04-24,NA,NA,NA
1996-04-25,NA,NA,NA
1996-04-26,NA,NA,NA
1996-04-27,NA,NA,NA
1996-04-28,NA,NA,NA
1996-04-29,NA,NA,NA
1996-04-30,NA,NA,NA
1996-05-01,NA,NA,NA
1996-05-02,NA,NA,NA
1996-05-03,NA,NA,NA
1996-05-04,NA,NA,NA
1996-05-05,NA,NA,NA
1996-05-06,NA,NA,NA
1996-05-07,NA,NA,NA
1996-05-08,NA,NA,NA
1996-05-09,NA,NA,NA
1996-05-10,NA,NA,NA
1996-05-11,NA,NA,NA
1996-05-12,NA,NA,NA
1996-05-13,NA,NA,NA
1996-05-14,NA,NA,NA
1996-05-15,NA,NA,NA
1996-05-16,NA,NA,NA
1996-05-17,NA,NA,NA
1996-05-18,NA,NA,NA
1996-05-19,NA,NA,NA
1996-05-20,NA,NA,NA
1996-05-21,NA,NA,NA
1996-05-22,NA,NA,NA
1996-05-23,NA,NA,NA
1996-05-24,NA,NA,NA
1996-05-25,NA,NA,NA
1996-05-26,NA,NA,NA
