date,X,Y,Z
1980-01-01,13460.9352463728,-3836.5650382807903,-27173.0
1980-01-02,13458.53787871892,-3830.3795069272187,-27163.0
1980-01-03,13487.974705771096,-3843.847465298164,-27161.0
1980-01-04,13488.688787692257,-3837.6882089071783,-27164.0
1980-01-05,NA,NA,NA
1980-01-06,13491.530650014894,-3842.315020883719,-27158.0
1980-01-07,13506.292621059543,-3845.2449381427587,-27152.0
1980-01-08,13497.524803087354,-3843.1731928240843,-27152.0
1980-01-09,13503.33970511077,-3841.00739499145,-27150.0
1980-01-10,13499.60401858221,-3839.520327004286,-27152.0
1980-01-11,13493.20589186353,-3836.42786453483,-27157.0
1980-01-12,13493.540631973545,-3835.250345580977,-27148.0
1980-01-13,13472.560670239087,-3832.252338602838,-27158.0
1980-01-14,13475.627217472735,-3836.0907309014524,-27148.0
1980-01-15,13488.39650852597,-3835.060446562013,-27145.0
1980-01-16,NA,NA,NA
1980-01-17,13491.909196198976,-3837.331786739517,-27153.0
1980-01-18,13490.971665250254,-3844.27724382813,-27153.0
1980-01-19,13501.012560297098,-3838.2230063793822,-27154.0
1980-01-20,13501.862781871143,-3838.8892168859,-27148.0
1980-01-21,13496.227622285027,-3844.0771281896327,-27147.0
1980-01-22,NA,NA,-27140.0
1980-01-23,13499.380621498685,-3840.305695632282,-27150.0
1980-01-24,13503.33970511077,-3841.00739499145,-27153.0
1980-01-25,13506.448725276567,-3841.042414693569,-27146.0
1980-01-26,13509.600975631634,-3837.2669283244777,-27146.0
1980-01-27,13476.254169306816,-3837.5405619016774,-27151.0
1980-01-28,13470.677740544646,-3827.905068101214,-27152.0
1980-01-29,13452.348971537956,-3837.5028531535586,-27151.0
1980-01-30,13475.153104400648,-3830.4477300913004,-27150.0
1980-01-31,13481.774867848684,-3832.7538940875907,-27146.0
1980-02-01,13482.651418570395,-3840.6342868492106,-27147.0
1980-02-02,13492.57873144375,-3834.976945927029,-27138.0
1980-02-03,13491.015843229608,-3840.471392645398,-27142.0
1980-02-04,13496.091521866068,-3837.24831531852,-27136.0
1980-02-05,13499.242590515427,-3833.4760312820995,-27138.0
1980-02-06,13475.375928011983,-3829.6637709797956,-27142.0
1980-02-07,13466.524363715662,-3853.410250862535,-27181.0
1980-02-08,13468.976551567921,-3826.5747939003504,-27140.0
1980-02-09,13477.451349876703,-3826.0168728988447,-27142.0
