date,X,Y,Z
1990-01-01,29475.862591123805,-258.9469234964237,-44455.0
1990-01-02,29497.846616140076,-260.8563027292625,-44456.0
1990-01-03,29495.839094371346,-261.6966162470014,-44451.0
1990-01-04,29509.861279189015,-259.2456036673664,-44454.0
1990-01-05,29508.83858273378,-261.81195190863514,-44443.0
1990-01-06,29508.868846184116,-258.3784408660503,-44450.0
1990-01-07,29512.853609028232,-260.1304520219259,-44447.0
1990-01-08,29518.79978503738,-266.19400984446474,-44447.0
1990-01-09,29504.935622541016,-250.61905296700021,-44446.0
1990-01-10,29492.823939186736,-263.3858237146835,-44456.0
1990-01-11,29497.884244152712,-256.5660121044806,-44449.0
1990-01-12,29494.854308189224,-259.9718036470396,-44449.0
1990-01-13,29506.90618782643,-254.06932677993268,-44446.0
1990-01-14,29518.86846287208,-258.4659970981296,-44442.0
1990-01-15,29518.86846287208,-258.4659970981296,-44439.0
1990-01-16,29526.927520788762,-251.66482091702528,-44439.0
1990-01-17,29516.776525725378,-268.7518007147576,-44443.0
1990-01-18,29525.898075700537,-255.09179395492893,-44442.0
1990-01-19,29530.88299597674,-256.85302788126785,-44442.0
1990-01-20,29525.85310407863,-260.2450314037883,-44442.0
1990-01-21,29498.846577040993,-260.8651456155546,-44449.0
1990-01-22,29498.846577040993,-260.8651456155546,-44444.0
1990-01-23,29503.831152524388,-262.62582380903996,-44452.0
1990-01-24,29499.85411397784,-260.0158726400636,-44448.0
1990-01-25,29492.86193515641,-259.0962635818951,-44454.0
1990-01-26,29496.84665523916,-260.84745984297047,-44443.0
1990-01-27,NA,NA,NA
1990-01-28,NA,NA,NA
1990-01-29,29513.876159239015,-257.56369523450667,-44445.0
1990-01-30,29498.808323734553,-265.15557616050916,-44446.0
1990-01-31,29490.831667522427,-262.5101100076667,-44450.0
1990-02-01,29496.84665523916,-260.84745984297047,-44447.0
1990-02-02,29475.832261750937,-262.3765940830053,-44449.0
1990-02-03,29506.913565919785,-253.2110055641377,-44444.0
1990-02-04,29501.854036293284,-260.0335002372732,-44449.0
1990-02-05,29483.907040397935,-253.87129253444203,-44449.0
1990-02-06,29503.913676374654,-253.18526227361676,-44444.0
1990-02-07,29484.884735858395,-256.4529452833219,-44456.0
1990-02-08,29484.824258183362,-263.31438252021286,-44452.0
1990-02-09,29513.905928348144,-254.12959807203853,-44445.0
1990-02-10,29512.861163430065,-259.2719578000967,-44444.0
1990-02-11,29514.883601152967,-256.7138687167649,-44448.0
1990-02-12,29509.891244024257,-255.81197364601826,-44445.0
1990-02-13,29520.875892700464,-257.6247809829953,-44444.0
1990-02-14,29495.86934448976,-258.2646177643472,-44446.0
1990-02-15,29500.815944047725,-264.3154089712738,-44447.0
1990-02-16,29460.90050144916,-254.5302412537717,-44445.0
1990-02-17,29466.817308629867,-264.0107949144295,-44458.0
1990-02-18,29485.839487938698,-261.6078965072831,-44453.0
1990-02-19,29477.82453730541,-263.251871475051,-44457.0
1990-02-20,29473.877682316448,-257.2146338145717,-44453.0
1990-02-21,29490.86953614578,-258.2208396483075,-44454.0
1990-02-22,29489.899419192083,-254.78078015121108,-44446.0
1990-02-23,29477.892446294296,-255.53458612419004,-44451.0
1990-02-24,29470.82481642746,-263.1893604298892,-44456.0
1990-02-25,29462.87060941948,-257.97568219848546,-44456.0
1990-02-26,29473.85512387705,-259.7867138763389,-44453.0
1990-02-27,29481.88484932894,-256.42685293997766,-44456.0
1990-02-28,29469.900165576273,-254.60799470470116,-44452.0
1990-03-01,29479.914560013596,-252.9793159494491,-44454.0
1990-03-02,29487.8994938305,-254.76350160656008,-44450.0
1990-03-03,NA,NA,NA
1990-03-04,29507.891319166134,-255.794636925904,-44444.0
