date,X,Y,Z
1952-01-01,NA,NA,NA
1952-01-02,NA,NA,NA
1952-01-03,NA,NA,NA
1952-01-04,NA,NA,NA
1952-01-05,NA,NA,NA
1952-01-06,NA,NA,NA
1952-01-07,NA,NA,NA
1952-01-08,NA,NA,NA
1952-01-09,NA,NA,NA
1952-01-10,NA,NA,NA
1952-01-11,NA,NA,NA
1952-01-12,NA,NA,NA
1952-01-13,NA,NA,NA
1952-01-14,NA,NA,NA
1952-01-15,NA,NA,NA
1952-01-16,NA,NA,NA
1952-01-17,NA,NA,NA
1952-01-18,NA,NA,NA
1952-01-19,NA,NA,NA
1952-01-20,NA,NA,NA
1952-01-21,NA,NA,NA
1952-01-22,NA,NA,NA
1952-01-23,NA,NA,NA
1952-01-24,NA,NA,NA
1952-01-25,NA,NA,NA
1952-01-26,NA,NA,NA
1952-01-27,NA,NA,NA
1952-01-28,NA,NA,NA
1952-01-29,NA,NA,NA
1952-01-30,NA,NA,NA
1952-01-31,NA,NA,NA
1952-02-01,NA,NA,NA
1952-02-02,NA,NA,NA
1952-02-03,NA,NA,NA
1952-02-04,NA,NA,NA
1952-02-05,NA,NA,NA
1952-02-06,NA,NA,NA
1952-02-07,NA,NA,NA
1952-02-08,NA,NA,NA
1952-02-09,NA,NA,NA
1952-02-10,NA,NA,NA
1952-02-11,NA,NA,NA
1952-02-12,NA,NA,NA
1952-02-13,NA,NA,NA
1952-02-14,NA,NA,NA
1952-02-15,NA,NA,NA
1952-02-16,NA,NA,NA
1952-02-17,NA,NA,NA
1952-02-18,NA,NA,NA
1952-02-19,NA,NA,NA
1952-02-20,NA,NA,NA
1952-02-21,NA,NA,NA
1952-02-22,NA,NA,NA
1952-02-23,NA,NA,NA
1952-02-24,NA,NA,NA
1952-02-25,NA,NA,NA
1952-02-26,NA,NA,NA
1952-02-27,NA,NA,NA
1952-02-28,NA,NA,NA
1952-02-29,NA,NA,NA
1952-03-01,NA,NA,NA
1952-03-02,NA,NA,NA
1952-03-03,NA,NA,NA
1952-03-04,NA,NA,NA
1952-03-05,NA,NA,NA
1952-03-06,NA,NA,NA
1952-03-07,30211.730486034223,-8382.240156380061,10670.0
1952-03-08,30209.534985378286,-8390.149281580469,10669.0
1952-03-09,30207.167484533788,-8376.242687585216,10665.0
1952-03-10,30215.59649080958,-8379.526520309822,10666.0
1952-03-11,30217.036168392195,-8381.818967150142,10659.0
1952-03-12,30226.42840966346,-8385.371166232877,10659.0
1952-03-13,30234.844169543474,-8392.441959490874,10652.0
1952-03-14,30244.029674734087,-8385.516921085069,10654.0
1952-03-15,30232.68565841486,-8389.001304057385,10650.0
1952-03-16,30236.77130601932,-8392.976884722533,10650.0
1952-03-17,30240.625578971012,-8394.04673518585,10646.0
1952-03-18,30242.09015590346,-8388.768622521846,10644.0
1952-03-19,30255.33662352121,-8393.39084026332,10643.0
1952-03-20,30263.031987505412,-8399.318062987264,10638.0
1952-03-21,30244.7613339712,-8382.877599674264,10640.0
1952-03-22,30237.04026955374,-8384.526208283054,10640.0
1952-03-23,30230.306294302263,-8378.871126391005,10642.0
1952-03-24,30238.711267892704,-8389.72597031744,10639.0
1952-03-25,30239.18670604433,-8391.75257958622,10640.0
1952-03-26,30257.50799437193,-8393.045333519818,10640.0
1952-03-27,30255.811856209344,-8395.418388720249,10638.0
1952-03-28,30270.510046511627,-8398.548536743638,10633.0
1952-03-29,30270.510046511627,-8398.548536743638,10631.0
1952-03-30,30251.957489910263,-8394.348874609772,10633.0
1952-03-31,30215.352727480113,-8380.40545283819,10638.0
1952-04-01,30228.843444988237,-8384.147182533932,10631.0
1952-04-02,30227.879822309085,-8383.879916127093,10641.0
1952-04-03,30217.512082146754,-8383.844259366642,10645.0
1952-04-04,30218.719552634724,-8383.232586491426,10641.0
1952-04-05,30228.123686701292,-8383.00061919884,10642.0
1952-04-06,30238.23569628634,-8387.699444772354,10636.0
1952-04-07,30235.83273032696,-8385.138526207465,10637.0
1952-04-08,30238.967546006643,-8385.060628973239,10635.0
1952-04-09,30243.30993296752,-8384.37000009352,10636.0
1952-04-10,30244.993320732963,-8385.784103398948,10636.0
1952-04-11,30249.07952125042,-8389.759777077548,10637.0
1952-04-12,30258.48436471723,-8389.524655793251,10630.0
1952-04-13,30253.190427021986,-8386.161516829085,10628.0
1952-04-14,30263.315033728177,-8387.07214523174,10625.0
1952-04-15,30260.655700836287,-8389.17877717744,10628.0
1952-04-16,30261.606616079393,-8393.234240366452,10630.0
1952-04-17,30254.398027083826,-8385.548581863104,10627.0
1952-04-18,30269.829030908935,-8386.033057384317,10626.0
1952-04-19,30249.799075137693,-8390.906978020832,10626.0
1952-04-20,30261.606616079393,-8393.234240366452,10625.0
1952-04-21,30229.79488369055,-8388.199168474526,10625.0
1952-04-22,30229.80706766739,-8384.414448940772,10627.0
1952-04-23,30256.801085754338,-8388.11016004768,10628.0
1952-04-24,30255.079102539854,-8398.05867442329,10626.0
1952-04-25,30264.26624071049,-8391.127749676523,10625.0
1952-04-26,30274.86634669813,-8394.06675512919,10621.0
1952-04-27,30285.710698868952,-8396.124788520876,10619.0
1952-04-28,30248.359926218673,-8388.612625096483,10619.0
1952-04-29,30242.822098912442,-8386.129470353604,10626.0
1952-04-30,30231.513690074087,-8378.258829068427,10628.0
1952-05-01,30242.13623367616,-8373.625022878174,10632.0
1952-05-02,30242.379799759587,-8372.745311252063,10630.0
1952-05-03,30244.30729369201,-8373.278947027158,10637.0
1952-05-04,30240.685301062214,-8375.117522884066,10636.0
1952-05-05,30246.711299211795,-8375.839097196973,10635.0
1952-05-06,30243.820104886556,-8375.038475330108,10637.0
1952-05-07,30211.498236763506,-8379.336387210833,10638.0
1952-05-08,30245.74756777005,-8375.572223241352,10637.0
1952-05-09,30260.923498306303,-8380.722464659793,10629.0
1952-05-10,30271.535982069818,-8379.869288136437,10629.0
1952-05-11,30276.586973905934,-8384.112189821257,10625.0
1952-05-12,30276.586973905934,-8384.112189821257,10627.0
1952-05-13,30275.147196610826,-8381.817119428692,10630.0
1952-05-14,30276.598542216205,-8380.322530396523,10628.0
1952-05-15,30283.344879628126,-8382.189863126518,10626.0
1952-05-16,30283.112462611854,-8379.280433116115,10627.0
1952-05-17,30294.20171217564,-8380.451456933235,10627.0
1952-05-18,30266.25147516708,-8372.719429310078,10633.0
1952-05-19,30260.22514870619,-8371.999937267643,10629.0
1952-05-20,30268.41203633181,-8376.160743374236,10629.0
1952-05-21,30281.195780807113,-8374.957079557453,10633.0
1952-05-22,30276.598542216205,-8380.322530396523,10628.0
1952-05-23,30286.735004558286,-8377.437481931081,10626.0
1952-05-24,30280.69738409483,-8380.508751434634,10628.0
1952-05-25,30266.971703346473,-8373.866485012997,10627.0
1952-05-26,30278.769843601236,-8379.975283867148,10627.0
1952-05-27,30224.321531062273,-8363.013092597988,10635.0
1952-05-28,30250.100254229972,-8371.093334149116,10632.0
1952-05-29,30251.79445602472,-8368.720104677412,10630.0
1952-05-30,30257.820733614524,-8369.439673744411,10630.0
1952-05-31,30264.800533112804,-8374.21355656129,10629.0
1952-06-01,30260.965394822037,-8365.571670446874,10625.0
1952-06-02,30263.126719369287,-8369.012018595547,10623.0
1952-06-03,30264.323872614765,-8372.186186025723,10626.0
1952-06-04,30262.883261874165,-8369.892333726668,10621.0
1952-06-05,30263.126719369287,-8369.012018595547,10628.0
1952-06-06,30268.666162589834,-8371.491727146917,10623.0
1952-06-07,30273.972306474145,-8371.06330084994,10618.0
1952-06-08,30282.900476422423,-8368.790996021744,10626.0
1952-06-09,30264.10029327339,-8365.490687263333,10616.0
