date,X,Y,Z
1952-01-01,NA,NA,NA
1952-01-02,NA,NA,NA
1952-01-03,NA,NA,NA
1952-01-04,NA,NA,NA
1952-01-05,NA,NA,NA
1952-01-06,NA,NA,NA
1952-01-07,NA,NA,NA
1952-01-08,NA,NA,NA
1952-01-09,NA,NA,NA
1952-01-10,NA,NA,NA
1952-01-11,NA,NA,NA
1952-01-12,NA,NA,NA
1952-01-13,NA,NA,NA
1952-01-14,NA,NA,NA
1952-01-15,NA,NA,NA
1952-01-16,NA,NA,NA
1952-01-17,NA,NA,NA
1952-01-18,NA,NA,NA
1952-01-19,NA,NA,NA
1952-01-20,NA,NA,NA
1952-01-21,NA,NA,NA
1952-01-22,NA,NA,NA
1952-01-23,NA,NA,NA
1952-01-24,NA,NA,NA
1952-01-25,NA,NA,NA
1952-01-26,NA,NA,NA
1952-01-27,NA,NA,NA
1952-01-28,NA,NA,NA
1952-01-29,NA,NA,NA
1952-01-30,NA,NA,NA
1952-01-31,NA,NA,NA
1952-02-01,NA,NA,NA
1952-02-02,NA,NA,NA
1952-02-03,NA,NA,NA
1952-02-04,NA,NA,NA
1952-02-05,NA,NA,NA
1952-02-06,NA,NA,NA
1952-02-07,NA,NA,NA
1952-02-08,NA,NA,NA
1952-02-09,NA,NA,NA
1952-02-10,NA,NA,NA
1952-02-11,NA,NA,NA
1952-02-12,NA,NA,NA
1952-02-13,NA,NA,NA
1952-02-14,NA,NA,NA
1952-02-15,NA,NA,NA
1952-02-16,NA,NA,NA
1952-02-17,NA,NA,NA
1952-02-18,NA,NA,NA
1952-02-19,NA,NA,NA
1952-02-20,NA,NA,NA
1952-02-21,NA,NA,NA
1952-02-22,NA,NA,NA
1952-02-23,NA,NA,NA
1952-02-24,NA,NA,NA
1952-02-25,NA,NA,NA
1952-02-26,NA,NA,NA
1952-02-27,NA,NA,NA
1952-02-28,NA,NA,NA
1952-02-29,NA,NA,NA
1952-03-01,NA,NA,NA
1952-03-02,NA,NA,NA
1952-03-03,NA,NA,NA
1952-03-04,NA,NA,NA
1952-03-05,NA,NA,NA
1952-03-06,NA,NA,NA
1952-03-07,NA,NA,NA
1952-03-08,NA,NA,NA
1952-03-09,NA,NA,NA
1952-03-10,NA,NA,NA
1952-03-11,NA,NA,NA
1952-03-12,NA,NA,NA
1952-03-13,NA,NA,NA
1952-03-14,NA,NA,NA
1952-03-15,NA,NA,NA
1952-03-16,NA,NA,NA
1952-03-17,NA,NA,NA
1952-03-18,NA,NA,NA
1952-03-19,NA,NA,NA
1952-03-20,NA,NA,NA
1952-03-21,NA,NA,NA
1952-03-22,NA,NA,NA
1952-03-23,NA,NA,NA
1952-03-24,NA,NA,NA
1952-03-25,NA,NA,NA
1952-03-26,NA,NA,NA
1952-03-27,NA,NA,NA
1952-03-28,NA,NA,NA
1952-03-29,NA,NA,NA
1952-03-30,NA,NA,NA
1952-03-31,NA,NA,NA
1952-04-01,NA,NA,NA
1952-04-02,NA,NA,NA
1952-04-03,NA,NA,NA
1952-04-04,NA,NA,NA
1952-04-05,NA,NA,NA
1952-04-06,NA,NA,NA
1952-04-07,12163.0,5416.0,-64548.0
1952-04-08,12133.0,5429.0,-64531.0
1952-04-09,12177.0,5428.0,-64545.0
1952-04-10,12207.0,5444.0,-64565.0
1952-04-11,12168.0,5430.0,-64561.0
1952-04-12,12216.0,5450.0,-64576.0
1952-04-13,12226.0,5455.0,-64576.0
1952-04-14,12209.0,5452.0,-64558.0
1952-04-15,12164.0,5426.0,-64563.0
1952-04-16,12214.0,5453.0,-64578.0
1952-04-17,12234.0,5454.0,-64577.0
1952-04-18,12208.0,5447.0,-64556.0
1952-04-19,12142.0,5423.0,-64533.0
1952-04-20,12214.0,5453.0,-64566.0
1952-04-21,12132.0,5411.0,-64635.0
1952-04-22,12237.0,5458.0,-64545.0
1952-04-23,12202.0,5445.0,-64564.0
1952-04-24,12200.0,5445.0,-64555.0
1952-04-25,12212.0,5447.0,-64564.0
1952-04-26,12216.0,5451.0,-64552.0
1952-04-27,12223.0,5453.0,-64561.0
1952-04-28,12136.0,5411.0,-64552.0
1952-04-29,12107.0,5409.0,-64550.0
1952-04-30,12164.0,5423.0,-64597.0
1952-05-01,12154.0,5418.0,-64581.0
1952-05-02,12135.0,5412.0,-64583.0
1952-05-03,12144.0,5427.0,-64534.0
1952-05-04,12170.0,5431.0,-64585.0
1952-05-05,12178.0,5432.0,-64577.0
1952-05-06,12174.0,5438.0,-64577.0
1952-05-07,NA,NA,NA
1952-05-08,12171.0,5426.0,-64564.0
1952-05-09,12202.0,5451.0,-64577.0
1952-05-10,12206.0,5451.0,-64566.0
1952-05-11,NA,NA,NA
1952-05-12,12213.0,5457.0,-64572.0
1952-05-13,12204.0,5449.0,-64563.0
1952-05-14,12212.0,5454.0,-64568.0
1952-05-15,12208.0,5446.0,-64554.0
1952-05-16,12217.0,5452.0,-64562.0
1952-05-17,12224.0,5456.0,-64559.0
1952-05-18,12197.0,5446.0,-64537.0
1952-05-19,12209.0,5447.0,-64556.0
1952-05-20,12208.0,5446.0,-64562.0
1952-05-21,12224.0,5450.0,-64563.0
1952-05-22,12215.0,5450.0,-64560.0
1952-05-23,12216.0,5453.0,-64553.0
1952-05-24,12203.0,5440.0,-64538.0
1952-05-25,12216.0,5455.0,-64571.0
1952-05-26,12166.0,5433.0,-64538.0
1952-05-27,NA,NA,NA
1952-05-28,12137.0,5423.0,-64546.0
1952-05-29,12169.0,5436.0,-64550.0
1952-05-30,12208.0,5447.0,-64576.0
1952-05-31,NA,NA,NA
1952-06-01,12216.0,5434.0,-64568.0
1952-06-02,12212.0,5433.0,-64568.0
1952-06-03,12210.0,5437.0,-64566.0
1952-06-04,12211.0,5435.0,-64568.0
1952-06-05,12178.0,5423.0,-64547.0
1952-06-06,12221.0,5439.0,-64567.0
1952-06-07,12220.0,5438.0,-64558.0
1952-06-08,12246.0,5457.0,-64546.0
1952-06-09,12181.0,5424.0,-64565.0
1952-06-10,12206.0,5434.0,-64554.0
1952-06-11,12227.0,5436.0,-64568.0
1952-06-12,12225.0,5441.0,-64564.0
1952-06-13,12218.0,5440.0,-64558.0
1952-06-14,12219.0,5434.0,-64542.0
1952-06-15,12239.0,5444.0,-64560.0
1952-06-16,12215.0,5436.0,-64559.0
1952-06-17,12204.0,5428.0,-64548.0
1952-06-18,12214.0,5437.0,-64564.0
1952-06-19,12217.0,5438.0,-64560.0
1952-06-20,12215.0,5437.0,-64558.0
1952-06-21,12220.0,5442.0,-64554.0
1952-06-22,NA,NA,NA
1952-06-23,NA,NA,NA
1952-06-24,12136.0,5398.0,-64562.0
1952-06-25,12189.0,5420.0,-64557.0
1952-06-26,12188.0,5424.0,-64558.0
1952-06-27,12207.0,5433.0,-64561.0
1952-06-28,12219.0,5437.0,-64568.0
1952-06-29,12211.0,5442.0,-64558.0
1952-06-30,12106.0,5415.0,-64528.0
1952-07-01,12193.0,5452.0,-64570.0
1952-07-02,12211.0,5461.0,-64571.0
1952-07-03,12196.0,5449.0,-64562.0
1952-07-04,NA,NA,NA
1952-07-05,12129.0,5426.0,-64490.0
1952-07-06,12218.0,5452.0,-64571.0
1952-07-07,12199.0,5453.0,-64558.0
1952-07-08,12204.0,5448.0,-64551.0
1952-07-09,NA,NA,NA
1952-07-10,12213.0,5451.0,-64532.0
1952-07-11,12218.0,5460.0,-64568.0
1952-07-12,12211.0,5458.0,-64566.0
1952-07-13,12203.0,5455.0,-64542.0
1952-07-14,12199.0,5451.0,-64534.0
1952-07-15,12221.0,5465.0,-64568.0
1952-07-16,12210.0,5455.0,-64557.0
