date,X,Y,Z
1956-01-01,NA,NA,NA
1956-01-02,NA,NA,NA
1956-01-03,NA,NA,NA
1956-01-04,NA,NA,NA
1956-01-05,NA,NA,NA
1956-01-06,NA,NA,NA
1956-01-07,NA,NA,NA
1956-01-08,NA,NA,NA
1956-01-09,NA,NA,NA
1956-01-10,NA,NA,NA
1956-01-11,NA,NA,NA
1956-01-12,NA,NA,NA
1956-01-13,NA,NA,NA
1956-01-14,NA,NA,NA
1956-01-15,NA,NA,NA
1956-01-16,NA,NA,NA
1956-01-17,NA,NA,NA
1956-01-18,NA,NA,NA
1956-01-19,NA,NA,NA
1956-01-20,NA,NA,NA
1956-01-21,NA,NA,NA
1956-01-22,NA,NA,NA
1956-01-23,NA,NA,NA
1956-01-24,NA,NA,NA
1956-01-25,NA,NA,NA
1956-01-26,NA,NA,NA
1956-01-27,NA,NA,NA
1956-01-28,NA,NA,NA
1956-01-29,NA,NA,NA
1956-01-30,NA,NA,NA
1956-01-31,NA,NA,NA
1956-02-01,NA,NA,NA
1956-02-02,NA,NA,NA
1956-02-03,NA,NA,NA
1956-02-04,NA,NA,NA
1956-02-05,NA,NA,NA
1956-02-06,NA,NA,NA
1956-02-07,NA,NA,NA
1956-02-08,NA,NA,NA
1956-02-09,NA,NA,NA
1956-02-10,NA,NA,NA
1956-02-11,NA,NA,NA
1956-02-12,NA,NA,NA
1956-02-13,NA,NA,NA
1956-02-14,NA,NA,NA
1956-02-15,NA,NA,NA
1956-02-16,NA,NA,NA
1956-02-17,NA,NA,NA
1956-02-18,NA,NA,NA
1956-02-19,NA,NA,NA
1956-02-20,NA,NA,NA
1956-02-21,NA,NA,NA
1956-02-22,NA,NA,NA
1956-02-23,NA,NA,NA
1956-02-24,NA,NA,NA
1956-02-25,NA,NA,NA
1956-02-26,NA,NA,NA
1956-02-27,NA,NA,NA
1956-02-28,NA,NA,NA
1956-02-29,NA,NA,NA
1956-03-01,NA,NA,NA
1956-03-02,NA,NA,NA
1956-03-03,NA,NA,NA
1956-03-04,NA,NA,NA
1956-03-05,NA,NA,NA
1956-03-06,NA,NA,NA
1956-03-07,NA,NA,NA
1956-03-08,NA,NA,NA
1956-03-09,NA,NA,NA
1956-03-10,NA,NA,NA
1956-03-11,NA,NA,NA
1956-03-12,NA,NA,NA
1956-03-13,NA,NA,NA
1956-03-14,NA,NA,NA
1956-03-15,NA,NA,NA
1956-03-16,NA,NA,NA
1956-03-17,NA,NA,NA
1956-03-18,NA,NA,NA
1956-03-19,NA,NA,NA
1956-03-20,NA,NA,NA
1956-03-21,NA,NA,NA
1956-03-22,NA,NA,NA
1956-03-23,NA,NA,NA
1956-03-24,NA,NA,NA
1956-03-25,NA,NA,NA
1956-03-26,NA,NA,NA
1956-03-27,NA,NA,NA
1956-03-28,NA,NA,NA
1956-03-29,NA,NA,NA
1956-03-30,NA,NA,NA
1956-03-31,NA,NA,NA
1956-04-01,NA,NA,NA
1956-04-02,NA,NA,NA
1956-04-03,NA,NA,NA
1956-04-04,NA,NA,NA
1956-04-05,NA,NA,NA
1956-04-06,NA,NA,NA
1956-04-07,NA,NA,NA
1956-04-08,NA,NA,NA
1956-04-09,NA,NA,NA
1956-04-10,NA,NA,NA
1956-04-11,NA,NA,NA
1956-04-12,NA,NA,NA
1956-04-13,NA,NA,NA
1956-04-14,NA,NA,NA
1956-04-15,NA,NA,NA
1956-04-16,NA,NA,NA
1956-04-17,NA,NA,NA
1956-04-18,NA,NA,NA
1956-04-19,NA,NA,NA
1956-04-20,NA,NA,NA
1956-04-21,NA,NA,NA
1956-04-22,NA,NA,NA
1956-04-23,NA,NA,NA
1956-04-24,NA,NA,NA
1956-04-25,NA,NA,NA
1956-04-26,NA,NA,NA
1956-04-27,NA,NA,NA
1956-04-28,NA,NA,NA
1956-04-29,NA,NA,NA
1956-04-30,NA,NA,NA
1956-05-01,NA,NA,NA
1956-05-02,NA,NA,NA
1956-05-03,NA,NA,NA
1956-05-04,NA,NA,NA
1956-05-05,NA,NA,NA
1956-05-06,NA,NA,NA
1956-05-07,NA,NA,NA
1956-05-08,NA,NA,NA
