date,X,Y,Z
1953-01-01,14962.0,867.0,48227.0
1953-01-02,14959.0,871.0,48232.0
1953-01-03,14962.0,863.0,48228.0
1953-01-04,14967.0,860.0,48228.0
1953-01-05,14943.0,862.0,48258.0
1953-01-06,14941.0,870.0,48252.0
1953-01-07,14951.0,863.0,48246.0
1953-01-08,14962.0,865.0,48230.0
1953-01-09,14966.0,861.0,48229.0
1953-01-10,14971.0,861.0,48230.0
1953-01-11,14970.0,863.0,48226.0
1953-01-12,14969.0,862.0,48227.0
1953-01-13,14968.0,858.0,48236.0
1953-01-14,14968.0,866.0,48231.0
1953-01-15,14971.0,861.0,48225.0
1953-01-16,14972.0,858.0,48223.0
1953-01-17,14975.0,857.0,48221.0
1953-01-18,14965.0,861.0,48228.0
1953-01-19,14954.0,856.0,48226.0
1953-01-20,14958.0,862.0,48227.0
1953-01-21,14968.0,862.0,48222.0
1953-01-22,14970.0,860.0,48221.0
1953-01-23,14972.0,862.0,48218.0
1953-01-24,14964.0,861.0,48235.0
1953-01-25,14957.0,862.0,48231.0
1953-01-26,14953.0,875.0,48201.0
1953-01-27,14954.0,872.0,48238.0
1953-01-28,14953.0,867.0,48226.0
1953-01-29,14960.0,873.0,48230.0
1953-01-30,14963.0,868.0,48231.0
1953-01-31,14961.0,865.0,48224.0
1953-02-01,14971.0,866.0,48227.0
1953-02-02,14969.0,865.0,48226.0
1953-02-03,NA,NA,NA
1953-02-04,NA,NA,NA
1953-02-05,NA,NA,NA
1953-02-06,NA,NA,NA
1953-02-07,NA,NA,NA
1953-02-08,NA,NA,NA
1953-02-09,14971.0,862.0,48225.0
1953-02-10,14966.0,859.0,48238.0
1953-02-11,14968.0,864.0,48227.0
1953-02-12,14967.0,864.0,48230.0
1953-02-13,14986.0,860.0,48232.0
1953-02-14,14978.0,861.0,48225.0
1953-02-15,14978.0,859.0,48219.0
1953-02-16,14965.0,869.0,48229.0
1953-02-17,14974.0,862.0,48226.0
1953-02-18,14976.0,862.0,48224.0
1953-02-19,14972.0,864.0,48224.0
1953-02-20,14972.0,862.0,48222.0
1953-02-21,14971.0,861.0,48218.0
1953-02-22,14967.0,865.0,48214.0
1953-02-23,14953.0,875.0,48205.0
1953-02-24,14958.0,869.0,48195.0
1953-02-25,14954.0,873.0,48225.0
1953-02-26,14961.0,872.0,48226.0
1953-02-27,14960.0,868.0,48234.0
1953-02-28,14963.0,869.0,48221.0
1953-03-01,14962.0,866.0,48228.0
1953-03-02,14957.0,890.0,48242.0
1953-03-03,14963.0,862.0,48222.0
1953-03-04,14967.0,866.0,48225.0
1953-03-05,14969.0,865.0,48226.0
1953-03-06,14967.0,867.0,48229.0
1953-03-07,14955.0,874.0,48229.0
1953-03-08,14960.0,880.0,48215.0
1953-03-09,14939.0,879.0,48208.0
1953-03-10,14954.0,874.0,48232.0
1953-03-11,14964.0,870.0,48232.0
1953-03-12,14968.0,860.0,48231.0
1953-03-13,14971.0,864.0,48228.0
1953-03-14,14972.0,864.0,48222.0
1953-03-15,14968.0,862.0,48232.0
1953-03-16,14970.0,868.0,48222.0
1953-03-17,14970.0,865.0,48226.0
1953-03-18,14976.0,861.0,48226.0
1953-03-19,14968.0,864.0,48219.0
1953-03-20,14961.0,875.0,48221.0
1953-03-21,14961.0,867.0,48212.0
1953-03-22,14958.0,868.0,48220.0
1953-03-23,14959.0,878.0,48219.0
1953-03-24,14944.0,882.0,48203.0
1953-03-25,14951.0,873.0,48223.0
1953-03-26,14963.0,872.0,48222.0
1953-03-27,14961.0,869.0,48223.0
1953-03-28,14958.0,865.0,48220.0
1953-03-29,14967.0,863.0,48218.0
1953-03-30,14970.0,870.0,48225.0
1953-03-31,14965.0,870.0,48222.0
1953-04-01,14966.0,865.0,48227.0
1953-04-02,14964.0,870.0,48220.0
1953-04-03,14968.0,870.0,48218.0
1953-04-04,14954.0,873.0,48221.0
1953-04-05,14967.0,868.0,48231.0
1953-04-06,14965.0,867.0,48227.0
1953-04-07,14966.0,868.0,48229.0
1953-04-08,14970.0,866.0,48223.0
1953-04-09,14976.0,862.0,48221.0
1953-04-10,14975.0,863.0,48223.0
1953-04-11,14964.0,865.0,48232.0
1953-04-12,14969.0,864.0,48227.0
1953-04-13,14971.0,869.0,48227.0
1953-04-14,14971.0,868.0,48229.0
