date,X,Y,Z
1964-01-01,NA,NA,17724.0
1964-01-02,NA,NA,17736.0
1964-01-03,NA,NA,17729.0
1964-01-04,NA,NA,17729.0
1964-01-05,NA,NA,17727.0
1964-01-06,NA,NA,17731.0
1964-01-07,NA,NA,17726.0
1964-01-08,NA,NA,17727.0
1964-01-09,NA,NA,17725.0
1964-01-10,28286.22421428583,-6270.904934628655,17727.0
1964-01-11,NA,NA,17723.0
1964-01-12,28284.57150031403,-6264.496391859713,17724.0
1964-01-13,28291.53452958252,-6274.672498341246,17726.0
1964-01-14,28293.852106774084,-6273.459488989776,17720.0
1964-01-15,28300.321023621866,-6276.621221640362,17720.0
1964-01-16,28285.49436988896,-6274.196143808386,17723.0
1964-01-17,28281.954206302005,-6271.684564184993,17722.0
1964-01-18,28286.041789088213,-6271.727744884607,17718.0
1964-01-19,28286.653144005104,-6273.589874286182,17715.0
1964-01-20,28286.77134627012,-6268.4364720264675,17714.0
1964-01-21,28295.257078055143,-6276.3616759051,17716.0
1964-01-22,28292.87581706335,-6273.24302097663,17714.0
1964-01-23,28309.83787081311,-6275.2759882156415,17712.0
1964-01-24,28291.53452958252,-6274.672498341246,17716.0
1964-01-25,28291.105694321428,-6271.987132698345,17714.0
1964-01-26,28282.930489715527,-6271.901060597164,17710.0
1964-01-27,28290.558252467035,-6274.455973530234,17712.0
1964-01-28,28297.32838744849,-6271.639509163587,17711.0
1964-01-29,28276.406407128354,-6278.22153948955,17717.0
1964-01-30,28284.335584437325,-6274.802351224486,17710.0
1964-01-31,28289.28005030597,-6280.216416283808,17713.0
1964-02-01,28282.01797953814,-6276.014579737787,17709.0
1964-02-02,28294.16121533639,-6281.300034272676,17708.0
1964-02-03,28290.37572397205,-6275.278909856743,17707.0
1964-02-04,28294.95471445566,-6282.339827397381,17709.0
1964-02-05,28291.963111600548,-6277.357986592283,17706.0
1964-02-06,28274.699509997725,-6281.294740683205,17706.0
1964-02-07,28279.636744989246,-6272.896824550358,17707.0
1964-02-08,28282.383055403472,-6274.369188008192,17707.0
1964-02-09,28275.731661722773,-6272.0306117116725,17708.0
1964-02-10,28280.67656863851,-6277.4432550251295,17707.0
1964-02-11,28288.85174294362,-6277.531048569619,17713.0
1964-02-12,28295.565388945717,-6284.202759292311,17709.0
1964-02-13,28270.30295655732,-6273.414918883218,17712.0
1964-02-14,28278.541487239047,-6277.832456708298,17707.0
1964-02-15,28282.446419263382,-6278.6993510993925,17707.0
1964-02-16,28289.708104407728,-6282.901906556214,17706.0
1964-02-17,28290.256283312054,-6280.433139881582,17708.0
1964-02-18,28296.11368134856,-6281.7334814682235,17706.0
1964-02-19,28293.002261052785,-6281.906323407083,17703.0
1964-02-20,28298.494031214712,-6284.8531856603595,17705.0
1964-02-21,28270.001174580066,-6279.388074425858,17709.0
1964-02-22,28281.104871083306,-6280.127966115678,17705.0
1964-02-23,28281.960716330013,-6285.497755943101,17702.0
1964-02-24,28293.978487754222,-6282.123075402232,17705.0
1964-02-25,28284.64429131817,-6282.640632218475,17704.0
1964-02-26,28276.103621055336,-6284.196051313263,17705.0
1964-02-27,28280.253016714345,-6288.57140458937,17702.0
1964-02-28,28284.70639534981,-6286.971379675391,17702.0
1964-02-29,28288.183514899145,-6285.153731404541,17704.0
1964-03-01,28289.22140436244,-6289.702086344154,17700.0
1964-03-02,28293.064490728204,-6286.238201300912,17701.0
1964-03-03,28301.911531286412,-6292.523553808698,17699.0
1964-03-04,28246.33262766201,-6284.477869121395,17706.0
1964-03-05,28257.863316237585,-6287.905994910726,17705.0
1964-03-06,28267.258583639687,-6291.722591282005,17701.0
1964-03-07,28270.369948659936,-6291.552031566239,17704.0
1964-03-08,28273.419915643724,-6287.051954110197,17703.0
1964-03-09,28273.60278660986,-6286.229511003177,17703.0
1964-03-10,28278.178903828408,-6293.28990934583,17702.0
1964-03-11,28282.63254269948,-6291.690746900731,17698.0
1964-03-12,28270.735928477283,-6289.907317465316,17699.0
1964-03-13,28279.94805363476,-6294.547011796756,17695.0
1964-03-14,28278.605703440313,-6295.974941925432,17699.0
1964-03-15,28282.51010518046,-6296.844221541866,17693.0
1964-03-16,28292.02771625376,-6295.508216397543,17691.0
1964-03-17,28286.048072931368,-6299.3591273887305,17696.0
1964-03-18,28285.92698350994,-6290.696597638794,17692.0
1964-03-19,28296.054549629196,-6291.221338055831,17692.0
1964-03-20,28295.932219112754,-6296.377041710322,17690.0
1964-03-21,28282.63254269948,-6291.690746900731,17692.0
1964-03-22,28277.080086835682,-6298.225286751885,17696.0
