D,H,X,Y,Z,date
NA,NA,24000.00428673076,2258.103238761478,-12048.0,1941-01-01
NA,NA,24021.04339322405,2258.6729070069755,-12046.0,1941-01-02
NA,NA,24026.677576099144,2252.1520051218795,-12040.0,1941-01-03
NA,NA,24027.279754742816,2256.438917260134,-12044.0,1941-01-04
NA,NA,24044.061792520286,2248.8427062527444,-12048.0,1941-01-05
NA,NA,24005.441698038656,2253.683625105118,-12051.0,1941-01-06
NA,NA,24002.06117345099,2257.5923958758535,-12048.0,1941-01-07
NA,NA,24004.249321810134,2255.684928436976,-12045.0,1941-01-08
NA,NA,24010.419807967326,2254.1509810059733,-12044.0,1941-01-09
NA,NA,24009.620798185613,2251.9622837278807,-12049.0,1941-01-10
NA,NA,24014.205460060573,2256.6205090792146,-12046.0,1941-01-11
NA,NA,24010.55090852215,2252.7541075905688,-12048.0,1941-01-12
NA,NA,24018.450366037323,2254.200083000957,-12046.0,1941-01-13
NA,NA,24021.502810163955,2253.7816534183803,-12045.0,1941-01-14
NA,NA,24028.603319197435,2253.037622556291,-12046.0,1941-01-15
NA,NA,24020.57272971288,2252.989510977352,-12046.0,1941-01-16
NA,NA,NA,NA,-12051.0,1941-01-17
NA,NA,NA,NA,-12048.0,1941-01-18
NA,NA,NA,NA,-12049.0,1941-01-19
NA,NA,NA,NA,-12048.0,1941-01-20
NA,NA,NA,NA,-12047.0,1941-01-21
NA,NA,24024.75180181144,2251.2665016292462,-12043.0,1941-01-22
NA,NA,23990.245140995812,2255.072964435271,-12048.0,1941-01-23
NA,NA,23984.93891278019,2258.0935211373776,-12052.0,1941-01-24
NA,NA,23993.494234209844,2252.561970943065,-12053.0,1941-01-25
NA,NA,NA,NA,-12049.0,1941-01-26
NA,NA,NA,NA,-12049.0,1941-01-27
NA,NA,NA,NA,-12041.0,1941-01-28
NA,NA,NA,NA,-12050.0,1941-01-29
NA,NA,NA,NA,-12047.0,1941-01-30
NA,NA,NA,NA,-12051.0,1941-01-31
NA,NA,24015.26670887651,2256.015492306654,-12051.0,1941-02-01
NA,NA,24001.393653817802,2254.0079135785045,-12048.0,1941-02-02
NA,NA,23981.95212033744,2257.812325646804,-12048.0,1941-02-03
NA,NA,23999.336844138645,2254.519026659421,-12057.0,1941-02-04
NA,NA,23991.69945568645,2250.2813664105634,-12056.0,1941-02-05
NA,NA,23988.31950060943,2254.1879994093947,-12053.0,1941-02-06
NA,NA,23992.95676640355,2247.5830586410298,-12056.0,1941-02-07
NA,NA,23997.86956813349,2248.747471561116,-12053.0,1941-02-08
NA,NA,24000.725599261346,2250.4236732138042,-12053.0,1941-02-09
NA,NA,23998.865206417857,2248.8407689710466,-12055.0,1941-02-10
NA,NA,23996.074424148625,2246.466832766549,-12052.0,1941-02-11
NA,NA,24007.69502924537,2251.077160549426,-12052.0,1941-02-12
NA,NA,24002.716864971066,2250.610383881125,-12054.0,1941-02-13
NA,NA,24000.122357600747,2246.1415405518865,-12056.0,1941-02-14
NA,NA,23998.865206417857,2248.8407689710466,-12052.0,1941-02-15
NA,NA,24001.721232116208,2250.5170285474646,-12051.0,1941-02-16
NA,NA,23989.249529892684,2254.9793774098544,-12052.0,1941-02-17
NA,NA,23998.392225634958,2243.1628528895767,-12053.0,1941-02-18
NA,NA,24002.244301307983,2244.9315135051106,-12053.0,1941-02-19
NA,NA,24001.052656260188,2246.932885385271,-12056.0,1941-02-20
NA,NA,23988.239862934937,2244.32557315094,-12054.0,1941-02-21
NA,NA,23984.25725556135,2243.952962754036,-12052.0,1941-02-22
