date,X,Y,Z
1995-01-01,36857.681504902015,-1808.0149565764498,26655.0
1995-01-02,36844.907166187324,-1803.0909336574805,26655.0
1995-01-03,36830.71393131163,-1806.692090503403,26657.0
1995-01-04,36828.7163332679,-1806.5941004239182,26659.0
1995-01-05,36831.71273033349,-1806.7410855431456,26656.0
1995-01-06,36835.81298742037,-1804.7940480266802,26656.0
1995-01-07,36834.81418554978,-1804.7451110947923,26651.0
1995-01-08,36839.70312250842,-1807.1330458610853,26653.0
1995-01-09,36842.909556755454,-1802.993176009745,26652.0
1995-01-10,36844.697117617754,-1807.3780210597977,26653.0
1995-01-11,36821.724740114834,-1806.251135145721,26654.0
1995-01-12,36844.8022042557,-1805.2344804136715,26654.0
1995-01-13,36843.69831859589,-1807.3290260200552,26655.0
1995-01-14,36847.798609867474,-1805.3812912093354,26657.0
1995-01-15,36848.797411738065,-1805.430228141223,26656.0
1995-01-16,36830.818978067415,-1804.5493633672406,26658.0
1995-01-17,36803.956172833925,-1801.0869018789026,26658.0
1995-01-18,36795.44037715468,-1811.3993075120275,26661.0
1995-01-19,36826.71873522417,-1806.4961103444332,26659.0
1995-01-20,36843.80340238511,-1805.1855434817835,26657.0
1995-01-21,36845.69591663962,-1807.4270160995402,26655.0
1995-01-22,36842.804600514515,-1805.1366065498955,26657.0
1995-01-23,36845.905970903266,-1803.1398124813481,26655.0
1995-01-24,36847.69351468335,-1807.525006179025,26657.0
1995-01-25,36844.8022042557,-1805.2344804136715,26657.0
1995-01-26,36852.89760391482,-1803.4819642484224,26656.0
1995-01-27,36853.89640863076,-1803.53084307229,26658.0
1995-01-28,36863.77943979694,-1806.1642821195421,26657.0
1995-01-29,36834.709127399095,-1806.888070662373,26660.0
1995-01-30,36818.72834304923,-1806.1041500264935,26661.0
1995-01-31,36821.93465772078,-1801.9667207085222,26662.0
1995-02-01,36829.82017619682,-1804.5004264353527,26663.0
1995-02-02,36829.82017619682,-1804.5004264353527,26661.0
1995-02-03,36821.724740114834,-1806.251135145721,26659.0
1995-02-04,36826.82377058505,-1804.3536156396888,26662.0
1995-02-05,36838.704323486556,-1807.0840508213428,26660.0
1995-02-06,36848.90238505107,-1803.2864489529513,26661.0
1995-02-07,36835.602740746006,-1809.0800772617224,26659.0
