date,X,Y,Z
1927-01-01,16878.0,-1970.0,44664.0
1927-01-02,16868.0,-1966.0,44662.0
1927-01-03,16876.0,-1971.0,44663.0
1927-01-04,16870.0,-1965.0,44666.0
1927-01-05,16873.0,-1971.0,44667.0
1927-01-06,16874.0,-1966.0,44662.0
1927-01-07,16840.0,-1947.0,44669.0
1927-01-08,16847.0,-1954.0,44665.0
1927-01-09,16861.0,-1965.0,44669.0
1927-01-10,16868.0,-1968.0,44665.0
1927-01-11,16866.0,-1969.0,44667.0
1927-01-12,16864.0,-1967.0,44668.0
1927-01-13,16865.0,-1965.0,44666.0
1927-01-14,16867.0,-1962.0,44664.0
1927-01-15,16868.0,-1965.0,44663.0
1927-01-16,16869.0,-1969.0,44661.0
1927-01-17,16869.0,-1967.0,44661.0
1927-01-18,16865.0,-1968.0,44662.0
1927-01-19,16865.0,-1966.0,44663.0
1927-01-20,16870.0,-1965.0,44661.0
1927-01-21,16872.0,-1966.0,44660.0
1927-01-22,16877.0,-1970.0,44658.0
1927-01-23,16875.0,-1968.0,44658.0
1927-01-24,16883.0,-1972.0,44657.0
1927-01-25,16876.0,-1966.0,44658.0
1927-01-26,16861.0,-1968.0,44659.0
1927-01-27,16865.0,-1963.0,44661.0
1927-01-28,16871.0,-1966.0,44659.0
1927-01-29,16869.0,-1967.0,44659.0
1927-01-30,16872.0,-1962.0,44656.0
1927-01-31,16872.0,-1964.0,44655.0
1927-02-01,16869.0,-1965.0,44658.0
1927-02-02,16869.0,-1963.0,44656.0
1927-02-03,16874.0,-1962.0,44657.0
1927-02-04,16868.0,-1955.0,44656.0
1927-02-05,16870.0,-1961.0,44654.0
1927-02-06,16873.0,-1962.0,44655.0
1927-02-07,16875.0,-1966.0,44653.0
1927-02-08,16877.0,-1967.0,44655.0
1927-02-09,16864.0,-1957.0,44655.0
1927-02-10,16851.0,-1956.0,44664.0
1927-02-11,16864.0,-1956.0,44662.0
1927-02-12,16860.0,-1957.0,44663.0
1927-02-13,16863.0,-1956.0,44665.0
1927-02-14,16867.0,-1961.0,44657.0
