date,X,Y,Z
1975-01-01,18501.22765462849,-2827.2303181046377,-24448.0
1975-01-02,18504.934907712985,-2829.4494272394136,-24446.0
1975-01-03,18512.59487879107,-2825.6609587419703,-24443.0
1975-01-04,18498.262080629564,-2826.7771394898527,-24442.0
1975-01-05,18495.375390071462,-2819.178990475579,-24444.0
1975-01-06,18494.143530591624,-2827.2488517772913,-24451.0
1975-01-07,18481.210632190276,-2825.8219279737223,-24453.0
1975-01-08,18493.64414969283,-2817.2637548749526,-24444.0
1975-01-09,18491.25705378105,-2819.652030125796,-24445.0
1975-01-10,18493.155014715278,-2827.0977347292514,-24442.0
1975-01-11,18489.200951209885,-2826.493266537092,-24444.0
1975-01-12,NA,NA,NA
1975-01-13,18491.837443486045,-2829.098259814853,-24445.0
1975-01-14,18480.95617302693,-2814.230788449615,-24448.0
1975-01-15,18489.036481207728,-2827.5689198620285,-24441.0
1975-01-16,18482.19590416488,-2819.3705964400906,-24446.0
1975-01-17,18486.31760192854,-2825.502171407256,-24444.0
1975-01-18,18489.27990787848,-2819.350543675101,-24445.0
1975-01-19,18489.036481207728,-2827.5689198620285,-24442.0
1975-01-20,18488.209319907204,-2819.7376018517016,-24442.0
1975-01-21,18489.611852429825,-2823.804091378592,-24446.0
1975-01-22,18487.220751341283,-2819.5868298699966,-24443.0
1975-01-23,18492.577465964754,-2824.257011196499,-24444.0
1975-01-24,18490.271683015522,-2826.1065245801146,-24442.0
1975-01-25,18492.002002456855,-2828.022443533948,-24441.0
1975-01-26,18496.778062533227,-2823.246766648209,-24437.0
1975-01-27,18497.602323628147,-2824.4738053142783,-24442.0
1975-01-28,18490.682527974805,-2823.4171936940775,-24444.0
1975-01-29,18495.29650663064,-2826.323960875068,-24443.0
1975-01-30,18496.12056234432,-2827.551085873371,-24440.0
1975-01-31,18494.14073130275,-2820.642233741933,-24437.0
1975-02-01,18477.998984658192,-2833.582453886028,-24434.0
1975-02-02,18484.75127455765,-2822.511526591048,-24438.0
1975-02-03,NA,NA,NA
1975-02-04,18495.29650663064,-2826.323960875068,-24438.0
1975-02-05,18489.283162743777,-2825.9554362869,-24436.0
1975-02-06,18489.365358632786,-2825.4176036454983,-24435.0
1975-02-07,18487.88110338819,-2821.888783595468,-24434.0
1975-02-08,NA,NA,NA
1975-02-09,18483.2698559518,-2825.586564248853,-24433.0
1975-02-10,18478.32727657006,-2824.8309790086537,-24438.0
1975-02-11,NA,NA,NA
1975-02-12,18468.192072887217,-2818.3338267397835,-24439.0
1975-02-13,18472.310262367617,-2817.8625890607364,-24435.0
1975-02-14,18472.888767723343,-2820.7001923849894,-24443.0
1975-02-15,18478.32727657006,-2824.8309790086537,-24438.0
1975-02-16,NA,NA,NA
1975-02-17,NA,NA,NA
1975-02-18,18476.927732227912,-2827.3672520610216,-24442.0
1975-02-19,18488.045242935368,-2820.8131974973007,-24435.0
1975-02-20,NA,NA,NA
1975-02-21,18493.730289908453,-2823.3320676326043,-24433.0
1975-02-22,NA,NA,-24431.0
1975-02-23,18481.28933994574,-2818.682197979765,-24433.0
1975-02-24,18478.986965762982,-2827.132242956052,-24433.0
1975-02-25,NA,NA,-24436.0
1975-02-26,18489.200951209885,-2826.493266537092,-24436.0
1975-02-27,18486.235403580842,-2826.0399153929725,-24433.0
1975-02-28,18489.69398573861,-2823.2662491769056,-24433.0
1975-03-01,18477.749398290114,-2821.9924121069635,-24435.0
1975-03-02,18480.139917460354,-2826.208348846269,-24434.0
1975-03-03,NA,NA,-24424.0
1975-03-04,NA,NA,-24421.0
1975-03-05,18477.089071530616,-2819.691550989899,-24430.0
1975-03-06,18476.510406273435,-2816.8534230359646,-24435.0
1975-03-07,18480.38648029806,-2824.595641647968,-24435.0
1975-03-08,18483.1876551505,-2826.1242195791965,-24430.0
1975-03-09,18485.246887704492,-2825.8887983449326,-24428.0
1975-03-10,18439.202781592874,-2829.28008145139,-24440.0
1975-03-11,18458.392761633444,-2822.8825085855246,-24436.0
1975-03-12,18453.61437966136,-2821.053052807658,-24440.0
1975-03-13,18454.931032623568,-2819.056860211865,-24440.0
1975-03-14,18462.42891406813,-2822.9501577217166,-24438.0
1975-03-15,18466.71137049606,-2821.406060600186,-24439.0
1975-03-16,18472.304139792224,-2811.263909172353,-24439.0
1975-03-17,18464.48805430119,-2822.7153403360962,-24440.0
1975-03-18,18456.083549708077,-2818.1341355930726,-24441.0
1975-03-19,18468.68842861613,-2821.7081221665476,-24439.0
1975-03-20,18469.019781133444,-2826.1571654990435,-24437.0
1975-03-21,18471.325517389145,-2824.3104699463506,-24435.0
1975-03-22,18481.53930639657,-2823.6715223478977,-24436.0
1975-03-23,18470.99676890706,-2826.459687139538,-24435.0
1975-03-24,18481.28933994574,-2818.682197979765,-24434.0
1975-03-25,18475.19738204515,-2825.4524760597365,-24435.0
1975-03-26,18472.067477758257,-2826.0736184936204,-24436.0
1975-03-27,18450.070338630787,-2817.765160473163,-24438.0
1975-03-28,18455.176971472145,-2817.446352930997,-24438.0
1975-03-29,18461.932792770498,-2819.576839744792,-24437.0
1975-03-30,18464.405937028354,-2823.252449327191,-24439.0
1975-03-31,18465.147989753532,-2825.014994031189,-24437.0
1975-04-01,18472.724634776187,-2821.7748967153634,-24434.0
1975-04-02,18476.432399211073,-2823.9912884751093,-24436.0
1975-04-03,18476.432399211073,-2823.9912884751093,-24432.0
1975-04-04,18473.220367879065,-2825.1501269451232,-24432.0
1975-04-05,18467.289325380818,-2824.2430796012836,-24435.0
1975-04-06,18472.064287130346,-2819.4745915017065,-24433.0
1975-04-07,18467.371471468694,-2823.705886735402,-24432.0
1975-04-08,18458.14261135186,-2817.899100215736,-24433.0
1975-04-09,18445.957113203378,-2831.4148720845665,-24430.0
1975-04-10,18453.12173195779,-2824.2737731223956,-24434.0
1975-04-11,18449.906376475483,-2818.8385372861126,-24435.0
1975-04-12,18459.213123920847,-2817.513060425525,-24435.0
1975-04-13,18459.709618643534,-2820.8858174976494,-24434.0
1975-04-14,18463.170993180753,-2824.7125298990654,-24436.0
1975-04-15,18459.873699888183,-2819.8118703517257,-24437.0
1975-04-16,18463.581635678373,-2822.0271406633187,-24438.0
1975-04-17,18472.806709065237,-2821.2375457437847,-24433.0
1975-04-18,18470.25484662994,-2824.6966032732034,-24436.0
1975-04-19,18472.47831812409,-2823.3869353022505,-24434.0
1975-04-20,18453.936772540437,-2812.31338848995,-24437.0
1975-04-21,18461.68666797615,-2821.1879365741725,-24438.0
1975-04-22,18459.463379627792,-2822.4967203135047,-24437.0
1975-04-23,18460.451891107903,-2822.6478661162423,-24434.0
1975-04-24,18461.60459513488,-2821.7249640768896,-24434.0
1975-04-25,18464.652241975076,-2821.6411151889574,-24434.0
1975-04-26,18464.48805430119,-2822.7153403360962,-24435.0
1975-04-27,18467.781967511568,-2821.019886575503,-24434.0
1975-04-28,18471.407665435625,-2823.773159672375,-24434.0
1975-04-29,18470.583389972926,-2822.5474724185274,-24432.0
1975-04-30,18470.665486736198,-2822.010183732909,-24430.0
1975-05-01,18470.665486736198,-2822.010183732909,-24429.0
1975-05-02,18458.392761633444,-2822.8825085855246,-24430.0
1975-05-03,18458.723819126957,-2827.3292997447506,-24431.0
1975-05-04,18457.07209194427,-2818.285080110244,-24432.0
1975-05-05,18454.110221444185,-2824.4250626967005,-24430.0
1975-05-06,18448.425612649127,-2821.907407154192,-24428.0
1975-05-07,18451.88343459555,-2819.1405988524743,-24433.0
1975-05-08,18455.837550835688,-2819.7447219851974,-24432.0
1975-05-09,18455.50933370734,-2821.8921371025563,-24433.0
1975-05-10,18448.097143931107,-2824.053959838745,-24431.0
1975-05-11,18456.001565700644,-2818.6710001089773,-24433.0
