date,X,Y,Z
1964-01-01,17327.95082365921,-2814.275262451806,44734.0
1964-01-02,17299.897640137173,-2806.1036404196334,44743.0
1964-01-03,17304.090905005545,-2805.2340279029077,44739.0
1964-01-04,17309.434408054844,-2803.5166261763247,44738.0
1964-01-05,17311.987809012393,-2806.5142259761096,44740.0
1964-01-06,17313.63532781409,-2808.848827450136,44738.0
1964-01-07,17313.47188631322,-2809.8560891693,44740.0
1964-01-08,17317.583705311878,-2809.4893859056547,44740.0
1964-01-09,17317.078020414203,-2800.102290075733,44740.0
1964-01-10,17313.553614388667,-2809.3524594982982,44733.0
1964-01-11,17316.923374016675,-2807.31434977186,44738.0
1964-01-12,17318.897600018387,-2807.6343992901607,44736.0
1964-01-13,17321.695540229146,-2809.1222137183236,44735.0
1964-01-14,NA,NA,NA
1964-01-15,17326.05853813178,-2813.450645245235,44734.0
1964-01-16,17314.04367518835,-2806.3306315668387,44742.0
1964-01-17,17311.41598279607,-2810.0392649557066,44739.0
1964-01-18,17319.88471301924,-2807.794424049311,44738.0
1964-01-19,17321.53208280967,-2810.129944361174,44739.0
1964-01-20,17320.62671981553,-2809.465969328044,44736.0
1964-01-21,17324.656851297113,-2809.602460278681,44735.0
1964-01-22,17324.57511594474,-2810.1064129296465,44734.0
1964-01-23,17330.00682242236,-2814.0917779622055,44733.0
1964-01-24,17321.61381884783,-2809.626080228445,44737.0
1964-01-25,17321.6878940372,-2802.9158927026506,44735.0
1964-01-26,17318.73422916118,-2808.641967157966,44737.0
1964-01-27,17324.90196939742,-2808.0905880632604,44738.0
1964-01-28,17328.6052660544,-2810.2427890258245,44734.0
1964-01-29,17315.936261015817,-2807.15432501271,44738.0
1964-01-30,17321.53208280967,-2810.129944361174,44734.0
1964-01-31,17318.3186344405,-2804.955556865551,44738.0
1964-02-01,17318.652521750922,-2809.145747527243,44738.0
1964-02-02,17321.77724695354,-2808.618344831237,44738.0
1964-02-03,17326.712788681074,-2809.418612196416,44737.0
1964-02-04,17321.286786754783,-2811.6415224907482,44736.0
1964-02-05,17325.636532070832,-2803.554843154056,44734.0
1964-02-06,17316.84170522601,-2807.818077466058,44734.0
