date,X,Y,Z
1930-01-01,NA,NA,50554.0
1930-01-02,NA,NA,NA
1930-01-03,NA,NA,NA
1930-01-04,NA,NA,NA
1930-01-05,NA,NA,50558.0
1930-01-06,NA,NA,NA
1930-01-07,NA,NA,50553.0
1930-01-08,NA,NA,50554.0
1930-01-09,NA,NA,NA
1930-01-10,NA,NA,NA
1930-01-11,NA,NA,50551.0
1930-01-12,16004.215442134764,3649.2893940786826,50549.0
1930-01-13,16006.37769806506,3648.8028155664256,50545.0
1930-01-14,16003.89692061921,3650.6860114497645,50547.0
1930-01-15,16005.528149694535,3652.527569962447,50546.0
1930-01-16,NA,NA,50547.0
1930-01-17,15996.772348090484,3654.935764602117,50555.0
1930-01-18,NA,NA,NA
1930-01-19,NA,NA,50542.0
1930-01-20,NA,NA,50541.0
1930-01-21,NA,NA,50549.0
1930-01-22,NA,NA,50550.0
1930-01-23,NA,NA,50551.0
1930-01-24,NA,NA,50547.0
1930-01-25,NA,NA,50546.0
1930-01-26,16005.01419996403,3659.268295568091,50543.0
1930-01-27,16002.851620120256,3659.7535469501827,50545.0
1930-01-28,NA,NA,NA
1930-01-29,NA,NA,NA
1930-01-30,NA,NA,50537.0
1930-01-31,NA,NA,NA
1930-02-01,15993.135458372131,3666.34452965894,50541.0
1930-02-02,15996.912525494292,3663.292324082781,50540.0
1930-02-03,15998.100400803414,3662.5848202893017,50545.0
1930-02-04,15997.887293182153,3663.5155458440436,50545.0
1930-02-05,16000.156508636519,3662.565726254807,50543.0
1930-02-06,16003.18742254837,3662.769624039943,50540.0
1930-02-07,NA,NA,NA
1930-02-08,16000.705002648905,3664.650654319767,50542.0
1930-02-09,16004.358605426969,3657.648784245926,50537.0
1930-02-10,16009.232930396643,3658.762766332862,50538.0
1930-02-11,16015.277512032171,3654.7524146782675,50536.0
1930-02-12,15996.80595787214,3663.757653855723,50534.0
1930-02-13,NA,NA,NA
1930-02-14,NA,NA,NA
1930-02-15,15974.631234254299,3666.504729246507,50546.0
1930-02-16,15979.702528596488,3662.2865941331015,50538.0
