D,H,X,Y,Z,date
NA,NA,7084.347215322005,-1893.386788999903,59344.0,1957-01-01
NA,NA,NA,NA,NA,1957-01-02
NA,NA,7085.734123723171,-1915.19501041148,59420.0,1957-01-03
NA,NA,7096.593171734313,-1909.4937430884459,59396.0,1957-01-04
NA,NA,NA,NA,NA,1957-01-05
NA,NA,7115.254018454132,-1909.410708274237,59411.0,1957-01-06
NA,NA,7128.032294761494,-1911.950732847786,59409.0,1957-01-07
NA,NA,7086.38980260411,-1901.2229131662846,59414.0,1957-01-08
NA,NA,7029.466882052558,-1901.083731487463,59445.0,1957-01-09
NA,NA,7055.959958103179,-1914.1969777545335,59415.0,1957-01-10
NA,NA,7121.142466914399,-1918.3208714676261,59376.0,1957-01-11
NA,NA,7108.382231778192,-1908.009970346088,59375.0,1957-01-12
NA,NA,7112.000978692903,-1906.0983917602975,59366.0,1957-01-13
NA,NA,7109.348044581424,-1908.2692108311894,59399.0,1957-01-14
NA,NA,7094.939437194647,-1907.9421853243098,59417.0,1957-01-15
NA,NA,7112.167290076215,-1905.4777453357847,59373.0,1957-01-16
NA,NA,7104.907134453132,-1905.526334322616,59360.0,1957-01-17
NA,NA,7105.207322528616,-1908.265679585979,59402.0,1957-01-18
NA,NA,7067.210696811913,-1899.3833122535507,59398.0,1957-01-19
NA,NA,7113.04465031374,-1909.9269102882163,59411.0,1957-01-20
NA,NA,NA,NA,59520.0,1957-01-21
NA,NA,NA,NA,59472.0,1957-01-22
NA,NA,NA,NA,59452.0,1957-01-23
NA,NA,7054.043634954733,-1905.968886460277,59451.0,1957-01-24
NA,NA,7054.697295194556,-1911.2108918626986,59443.0,1957-01-25
NA,NA,7064.07093488802,-1914.853212878284,59449.0,1957-01-26
NA,NA,7101.608244586728,-1913.9449679700333,59452.0,1957-01-27
NA,NA,7094.738151175742,-1912.5361607696234,59448.0,1957-01-28
NA,NA,7012.670082872033,-1898.0735783397727,59499.0,1957-01-29
NA,NA,7096.854217372818,-1931.4981794859768,59446.0,1957-01-30
NA,NA,NA,NA,NA,1957-01-31
NA,NA,7100.511360932487,-1910.326520066313,59437.0,1957-02-01
NA,NA,7103.463935204518,-1910.8992964697927,59478.0,1957-02-02
NA,NA,7066.300207290469,-1898.9182132063174,59458.0,1957-02-03
NA,NA,NA,NA,59472.0,1957-02-04
NA,NA,7075.85794764188,-1913.4090793119087,59400.0,1957-02-05
NA,NA,7119.991731096258,-1914.901237432601,59445.0,1957-02-06
NA,NA,7072.663744043907,-1909.896218040872,59451.0,1957-02-07
NA,NA,7101.90517659143,-1916.6843409137157,59452.0,1957-02-08
NA,NA,7091.487289762356,-1909.2260262051075,59453.0,1957-02-09
NA,NA,7112.507989744236,-1915.7729760659024,59414.0,1957-02-10
NA,NA,7076.480563886852,-1903.4197721290013,59409.0,1957-02-11
NA,NA,7110.724125499483,-1910.85619841986,59443.0,1957-02-12
NA,NA,NA,NA,59470.0,1957-02-13
NA,NA,NA,NA,59463.0,1957-02-14
NA,NA,7082.206662795575,-1912.9152583044477,59454.0,1957-02-15
NA,NA,7069.899109923729,-1912.459823238037,59453.0,1957-02-16
NA,NA,7078.497299872525,-1899.7676109717675,59419.0,1957-02-17
NA,NA,7009.087336186151,-1915.058932178045,59431.0,1957-02-18
NA,NA,7015.6879203921335,-1921.249334069866,59443.0,1957-02-19
NA,NA,NA,NA,59441.0,1957-02-20
NA,NA,7053.026763038658,-1917.3665481228231,59457.0,1957-02-21
NA,NA,NA,NA,59443.0,1957-02-22
NA,NA,NA,NA,59469.0,1957-02-23
NA,NA,7071.374714015437,-1926.1102393121453,59386.0,1957-02-24
NA,NA,7091.414752347327,-1917.1731299469825,59434.0,1957-02-25
NA,NA,7101.441194339055,-1914.5646929117584,59444.0,1957-02-26
NA,NA,7096.966444831564,-1915.794425541225,59438.0,1957-02-27
NA,NA,7105.915883103778,-1913.3322926908077,59439.0,1957-02-28
NA,NA,7093.925114473857,-1900.1480127182385,59424.0,1957-03-01
NA,NA,NA,NA,59455.0,1957-03-02
NA,NA,7038.123527331191,-1918.812709470926,59453.0,1957-03-03
NA,NA,7099.287385829364,-1914.8701296443246,59424.0,1957-03-04
NA,NA,7040.851360938471,-1908.7789586986964,59443.0,1957-03-05
NA,NA,7066.482502248798,-1909.7709405610844,59430.0,1957-03-06
NA,NA,7058.182450546684,-1905.985701623917,59448.0,1957-03-07
NA,NA,7082.317939708722,-1912.503228985509,59442.0,1957-03-08
NA,NA,7065.4995860921645,-1917.2262774465223,59455.0,1957-03-09
NA,NA,NA,NA,59452.0,1957-03-10
NA,NA,7084.422650765341,-1927.6720948654581,59471.0,1957-03-11
NA,NA,7092.563882697656,-1920.5836534378673,59477.0,1957-03-12
NA,NA,7050.2044943109095,-1908.6729914781772,59478.0,1957-03-13
NA,NA,7106.453428870762,-1919.0207563471008,59457.0,1957-03-14
NA,NA,7075.615579129239,-1910.4725008184719,59450.0,1957-03-15
NA,NA,NA,NA,59453.0,1957-03-16
NA,NA,7076.858836303955,-1909.7039066375276,59429.0,1957-03-17
