date,X,Y,Z
1999-01-01,NA,NA,NA
1999-01-02,NA,NA,NA
1999-01-03,40849.764938536486,-588.2350434267702,-8573.0
1999-01-04,40836.85138232397,-582.1083902374868,-8572.0
1999-01-05,40833.902326387935,-578.5022031158213,-8572.0
1999-01-06,40851.79888587855,-585.8871800374363,-8570.0
1999-01-07,NA,NA,NA
1999-01-08,NA,NA,NA
1999-01-09,40830.83504416857,-583.2105930929059,-8571.0
1999-01-10,40845.83351424724,-583.4248249747816,-8571.0
1999-01-11,40841.88467514729,-579.8035718836944,-8570.0
1999-01-12,40847.81632100472,-584.6416042846332,-8570.0
1999-01-13,40804.75249390617,-588.7740747165238,-8571.0
1999-01-14,NA,NA,NA
1999-01-15,NA,NA,NA
1999-01-16,NA,NA,NA
1999-01-17,40846.86728623794,-581.062733674024,-8568.0
1999-01-18,40848.81621859409,-584.6559154959394,-8567.0
1999-01-19,NA,NA,NA
1999-01-20,40842.81683305786,-584.5700482281018,-8569.0
1999-01-21,40840.81703787912,-584.5414258054891,-8569.0
1999-01-22,40839.74885101579,-589.2790391267049,-8568.0
1999-01-23,NA,NA,NA
1999-01-24,NA,NA,NA
1999-01-25,NA,NA,NA
1999-01-26,NA,NA,NA
1999-01-27,NA,NA,NA
1999-01-28,NA,NA,NA
1999-01-29,NA,NA,NA
1999-01-30,40851.83290227871,-583.5105177275318,-8565.0
1999-01-31,40849.8500617875,-582.2936797522657,-8567.0
1999-02-01,NA,NA,NA
1999-02-02,40863.89931619624,-578.9271765742051,-8565.0
1999-02-03,40865.84843651186,-582.5217283858398,-8560.0
1999-02-04,40849.816116183465,-584.6702267072458,-8562.0
1999-02-05,NA,NA,NA
1999-02-06,40838.81724270038,-584.5128033828765,-8562.0
1999-02-07,NA,NA,NA
1999-02-08,40849.8669827413,-581.105405535203,-8555.0
1999-02-09,40848.93442041859,-576.33819614981,-8561.0
1999-02-10,40849.88386912959,-579.9171308264323,-8558.0
1999-02-11,40846.901021971535,-578.686358281121,-8560.0
1999-02-12,NA,NA,NA
1999-02-13,NA,NA,NA
1999-02-14,40845.88427213844,-579.8603513550634,-8565.0
1999-02-15,40853.832698289196,-583.5390819784486,-8560.0
1999-02-16,40853.781619337926,-587.1042492151918,-8561.0
1999-02-17,40834.81765234289,-584.4555585376514,-8558.0
1999-02-18,40760.84218380144,-582.2108443108193,-8563.0
1999-02-19,40777.85737552793,-581.2674609011823,-8561.0
1999-02-20,40820.81908609169,-584.2552015793633,-8554.0
1999-02-21,40838.95215920811,-575.0091633283348,-8554.0
1999-02-22,40847.8671850724,-581.0769576277503,-8556.0
1999-02-23,40839.93531607414,-576.2112276587482,-8557.0
1999-02-24,40844.88437289065,-579.8461564872212,-8558.0
1999-02-25,40839.85107758478,-582.151149356282,-8555.0
1999-02-26,NA,NA,NA
1999-02-27,NA,NA,NA
1999-02-28,40855.88326461632,-580.0023000334857,-8555.0
1999-03-01,NA,NA,-8560.0
1999-03-02,40811.870827032086,-580.5648952936026,-8554.0
1999-03-03,40821.869815376616,-580.7071348308659,-8556.0
1999-03-04,40821.886690191524,-579.5196745268498,-8558.0
1999-03-05,NA,NA,NA
1999-03-06,NA,NA,NA
1999-03-07,NA,NA,NA
1999-03-08,NA,NA,-8559.0
1999-03-09,40822.86971421107,-580.7213587845922,-8557.0
1999-03-10,NA,NA,NA
1999-03-11,NA,NA,-8554.0
1999-03-12,NA,NA,NA
1999-03-13,NA,NA,-8554.0
1999-03-14,NA,NA,-8551.0
1999-03-15,NA,NA,-8549.0
1999-03-16,40851.83290227871,-583.5105177275318,-8553.0
1999-03-17,NA,NA,-8550.0
1999-03-18,NA,NA,-8553.0
1999-03-19,40856.86627458247,-581.2049732112872,-8552.0
1999-03-20,40846.901021971535,-578.686358281121,-8547.0
1999-03-21,NA,NA,NA
1999-03-22,40869.94908688079,-575.4455975781005,-8551.0
1999-03-23,NA,NA,NA
1999-03-24,NA,NA,NA
1999-03-25,NA,NA,NA
1999-03-26,NA,NA,NA
1999-03-27,NA,NA,NA
1999-03-28,40863.91613921648,-577.7384936823219,-8545.0
1999-03-29,NA,NA,NA
1999-03-30,NA,NA,NA
1999-03-31,NA,NA,NA
1999-04-01,NA,NA,-8546.0
1999-04-02,NA,NA,-8547.0
1999-04-03,NA,NA,NA
1999-04-04,NA,NA,NA
1999-04-05,40847.90092163181,-578.7005240630671,-8539.0
1999-04-06,40849.95106902745,-575.1640270943807,-8545.0
1999-04-07,40838.95215920811,-575.0091633283348,-8536.0
1999-04-08,40853.52155779935,-604.9300177900847,-8534.0
1999-04-09,40865.93272862477,-576.5780255218156,-8541.0
1999-04-10,40861.949879739455,-575.3329693846126,-8543.0
1999-04-11,40848.86708390685,-581.0911815814766,-8544.0
1999-04-12,NA,NA,NA
1999-04-13,40859.966795605724,-574.1162443245737,NA
1999-04-14,40860.04986525276,-568.1733969994449,NA
1999-04-15,NA,NA,NA
1999-04-16,NA,NA,NA
1999-04-17,40803.98898292158,-572.1425360990803,-8534.0
1999-04-18,40838.90182468932,-578.573032025552,-8534.0
1999-04-19,NA,NA,NA
1999-04-20,NA,NA,NA
