date,X,Y,Z
2003-01-01,15155.0,945.0,48651.0
2003-01-02,15155.0,945.0,48652.0
2003-01-03,15156.0,951.0,48666.0
2003-01-04,15149.0,955.0,48653.0
2003-01-05,15155.0,948.0,48654.0
2003-01-06,15158.0,948.0,48651.0
2003-01-07,15155.0,946.0,48654.0
2003-01-08,15159.0,946.0,48651.0
2003-01-09,15160.0,945.0,48651.0
2003-01-10,15157.0,947.0,48658.0
2003-01-11,15151.0,950.0,48654.0
2003-01-12,15153.0,949.0,48655.0
2003-01-13,15156.0,949.0,48652.0
2003-01-14,15155.0,953.0,48651.0
2003-01-15,15158.0,947.0,48652.0
2003-01-16,15153.0,949.0,48653.0
2003-01-17,15157.0,946.0,48650.0
2003-01-18,15153.0,946.0,48651.0
2003-01-19,15149.0,954.0,48656.0
2003-01-20,15147.0,957.0,48644.0
2003-01-21,15151.0,957.0,48649.0
2003-01-22,15150.0,958.0,48647.0
2003-01-23,15150.0,959.0,48643.0
2003-01-24,15146.0,960.0,48648.0
2003-01-25,15140.0,950.0,48656.0
2003-01-26,15147.0,960.0,48652.0
2003-01-27,15157.0,953.0,48652.0
2003-01-28,15155.0,953.0,48648.0
2003-01-29,15148.0,961.0,48655.0
2003-01-30,15137.0,959.0,48662.0
2003-01-31,15141.0,953.0,48665.0
2003-02-01,15147.0,964.0,48655.0
2003-02-02,15140.0,977.0,48665.0
2003-02-03,15139.0,970.0,48652.0
2003-02-04,15139.0,966.0,48659.0
2003-02-05,15146.0,960.0,48664.0
2003-02-06,15147.0,948.0,48672.0
2003-02-07,15142.0,950.0,48661.0
2003-02-08,15146.0,958.0,48659.0
2003-02-09,15145.0,961.0,48667.0
2003-02-10,15146.0,958.0,48656.0
2003-02-11,15148.0,955.0,48655.0
2003-02-12,15153.0,957.0,48655.0
2003-02-13,15156.0,954.0,48653.0
2003-02-14,15151.0,951.0,48656.0
2003-02-15,15146.0,956.0,48663.0
2003-02-16,15153.0,954.0,48658.0
2003-02-17,15155.0,953.0,48657.0
2003-02-18,15162.0,948.0,48651.0
2003-02-19,15159.0,957.0,48652.0
2003-02-20,15157.0,956.0,48653.0
2003-02-21,15155.0,950.0,48652.0
2003-02-22,15156.0,952.0,48656.0
2003-02-23,15158.0,952.0,48653.0
2003-02-24,15159.0,955.0,48653.0
2003-02-25,15160.0,952.0,48652.0
2003-02-26,15157.0,950.0,48651.0
2003-02-27,15134.0,969.0,48654.0
2003-02-28,15139.0,957.0,48668.0
2003-03-01,15143.0,958.0,48656.0
2003-03-02,15152.0,959.0,48662.0
2003-03-03,15152.0,959.0,48660.0
2003-03-04,15135.0,969.0,48652.0
2003-03-05,15145.0,964.0,48659.0
2003-03-06,15141.0,961.0,48660.0
2003-03-07,15146.0,954.0,48655.0
2003-03-08,15150.0,961.0,48668.0
2003-03-09,15150.0,958.0,48656.0
2003-03-10,15152.0,952.0,48667.0
2003-03-11,15153.0,949.0,48656.0
2003-03-12,15162.0,957.0,48653.0
2003-03-13,15160.0,950.0,48650.0
2003-03-14,15153.0,960.0,48659.0
2003-03-15,15147.0,959.0,48650.0
2003-03-16,15137.0,966.0,48650.0
2003-03-17,15135.0,957.0,48663.0
2003-03-18,15142.0,954.0,48654.0
2003-03-19,15154.0,955.0,48657.0
2003-03-20,15156.0,959.0,48668.0
2003-03-21,15146.0,959.0,48648.0
2003-03-22,15151.0,957.0,48653.0
2003-03-23,15149.0,958.0,48659.0
2003-03-24,15152.0,957.0,48660.0
2003-03-25,15158.0,954.0,48659.0
2003-03-26,15164.0,953.0,48658.0
2003-03-27,15148.0,958.0,48665.0
2003-03-28,15134.0,967.0,48637.0
2003-03-29,15127.0,966.0,48641.0
2003-03-30,15131.0,977.0,48644.0
2003-03-31,15145.0,972.0,48683.0
2003-04-01,15139.0,975.0,48652.0
2003-04-02,15140.0,959.0,48661.0
2003-04-03,15148.0,967.0,48660.0
2003-04-04,15144.0,970.0,48659.0
2003-04-05,15135.0,961.0,48661.0
2003-04-06,15148.0,958.0,48671.0
2003-04-07,15155.0,952.0,48669.0
2003-04-08,15154.0,947.0,48673.0
2003-04-09,15151.0,946.0,48663.0
2003-04-10,15147.0,958.0,48668.0
2003-04-11,15151.0,959.0,48662.0
2003-04-12,15157.0,959.0,48663.0
2003-04-13,15158.0,956.0,48661.0
2003-04-14,15160.0,952.0,48668.0
2003-04-15,15155.0,948.0,48656.0
2003-04-16,15156.0,961.0,48658.0
2003-04-17,15145.0,962.0,48672.0
2003-04-18,15153.0,955.0,48666.0
2003-04-19,15156.0,959.0,48663.0
2003-04-20,15158.0,951.0,48651.0
2003-04-21,15141.0,975.0,48646.0
2003-04-22,15151.0,968.0,48656.0
2003-04-23,15146.0,959.0,48666.0
2003-04-24,15148.0,961.0,48659.0
2003-04-25,15131.0,964.0,48651.0
2003-04-26,15152.0,963.0,48664.0
2003-04-27,15155.0,959.0,48657.0
2003-04-28,15144.0,957.0,48655.0
2003-04-29,15155.0,960.0,48670.0
2003-04-30,15131.0,959.0,48647.0
2003-05-01,15130.0,976.0,48661.0
2003-05-02,15147.0,955.0,48668.0
2003-05-03,15152.0,962.0,48668.0
2003-05-04,15157.0,956.0,48665.0
2003-05-05,15176.0,952.0,48666.0
2003-05-06,15172.0,962.0,48671.0
2003-05-07,15155.0,961.0,48670.0
2003-05-08,15153.0,962.0,48662.0
2003-05-09,15144.0,965.0,48658.0
2003-05-10,15116.0,962.0,48622.0
