date,X,Y,Z
1943-01-01,17553.0,-1682.0,44226.0
1943-01-02,17542.0,-1685.0,44229.0
1943-01-03,17548.0,-1686.0,44227.0
1943-01-04,17530.0,-1677.0,44238.0
1943-01-05,17536.0,-1679.0,44232.0
1943-01-06,17538.0,-1681.0,44233.0
1943-01-07,17549.0,-1683.0,44232.0
1943-01-08,17549.0,-1682.0,44232.0
1943-01-09,17545.0,-1682.0,44233.0
1943-01-10,17549.0,-1680.0,44235.0
1943-01-11,17550.0,-1683.0,44234.0
1943-01-12,17549.0,-1682.0,44235.0
1943-01-13,17552.0,-1685.0,44236.0
1943-01-14,17557.0,-1683.0,44235.0
1943-01-15,17552.0,-1683.0,44237.0
1943-01-16,17541.0,-1681.0,44240.0
1943-01-17,17532.0,-1676.0,44245.0
1943-01-18,17535.0,-1675.0,44242.0
1943-01-19,17538.0,-1674.0,44241.0
1943-01-20,17515.0,-1656.0,44247.0
1943-01-21,17516.0,-1671.0,44251.0
1943-01-22,17519.0,-1666.0,44249.0
1943-01-23,17526.0,-1674.0,44246.0
1943-01-24,17530.0,-1673.0,44245.0
1943-01-25,17536.0,-1678.0,44243.0
1943-01-26,17533.0,-1677.0,44244.0
1943-01-27,17533.0,-1677.0,44245.0
1943-01-28,17533.0,-1678.0,44247.0
1943-01-29,17538.0,-1677.0,44242.0
1943-01-30,17539.0,-1677.0,44241.0
1943-01-31,17537.0,-1680.0,44241.0
1943-02-01,17537.0,-1676.0,44242.0
1943-02-02,17542.0,-1679.0,44238.0
1943-02-03,17538.0,-1675.0,44240.0
1943-02-04,17532.0,-1678.0,44241.0
1943-02-05,17535.0,-1675.0,44241.0
1943-02-06,17533.0,-1675.0,44242.0
1943-02-07,17537.0,-1676.0,44241.0
1943-02-08,17542.0,-1678.0,44238.0
1943-02-09,17543.0,-1680.0,44237.0
1943-02-10,17544.0,-1682.0,44237.0
1943-02-11,17539.0,-1677.0,44238.0
1943-02-12,17541.0,-1677.0,44238.0
1943-02-13,17541.0,-1680.0,44237.0
1943-02-14,17544.0,-1680.0,44236.0
1943-02-15,17541.0,-1678.0,44238.0
1943-02-16,17545.0,-1678.0,44236.0
1943-02-17,17532.0,-1675.0,44241.0
1943-02-18,17532.0,-1676.0,44240.0
1943-02-19,17537.0,-1674.0,44238.0
1943-02-20,17537.0,-1678.0,44240.0
1943-02-21,17540.0,-1676.0,44240.0
1943-02-22,17543.0,-1678.0,44238.0
1943-02-23,17542.0,-1676.0,44236.0
1943-02-24,17538.0,-1676.0,44238.0
1943-02-25,17529.0,-1668.0,44246.0
1943-02-26,17519.0,-1655.0,44248.0
1943-02-27,17528.0,-1668.0,44245.0
1943-02-28,17542.0,-1669.0,44243.0
1943-03-01,17539.0,-1684.0,44246.0
1943-03-02,17531.0,-1678.0,44247.0
1943-03-03,17531.0,-1671.0,44247.0
1943-03-04,17531.0,-1671.0,44247.0
1943-03-05,17530.0,-1669.0,44246.0
1943-03-06,17534.0,-1673.0,44247.0
1943-03-07,17535.0,-1672.0,44247.0
1943-03-08,17535.0,-1674.0,44246.0
1943-03-09,17539.0,-1677.0,44248.0
1943-03-10,17541.0,-1675.0,44246.0
1943-03-11,17537.0,-1674.0,44248.0
1943-03-12,17534.0,-1673.0,44248.0
1943-03-13,17537.0,-1677.0,44242.0
1943-03-14,17538.0,-1678.0,44244.0
1943-03-15,17541.0,-1677.0,44244.0
1943-03-16,17530.0,-1673.0,44248.0
1943-03-17,17530.0,-1670.0,44249.0
1943-03-18,17535.0,-1674.0,44247.0
1943-03-19,17544.0,-1673.0,44245.0
1943-03-20,17533.0,-1672.0,44247.0
1943-03-21,17536.0,-1678.0,44248.0
1943-03-22,17541.0,-1667.0,44246.0
1943-03-23,17526.0,-1667.0,44237.0
1943-03-24,17534.0,-1672.0,44250.0
1943-03-25,17536.0,-1676.0,44248.0
1943-03-26,17544.0,-1678.0,44247.0
1943-03-27,17544.0,-1673.0,44247.0
1943-03-28,17544.0,-1675.0,44247.0
